city,veh_type,vmt_2018,vmt_2019,vmt_2020,vmt_2030,vmt_2040,vmt_2050
Algona,heavy,11139.32599,11284.456493847505,11429.586997695009,12880.892036170062,14966.112370829733,16487.58651166397
Algona,light,146112.4691,146570.03783086516,147027.60656173032,151603.29387038192,158499.7970178566,166142.6266473205
Algona,medium,10972.97239,10905.229762992209,10837.487135984418,10160.060865906504,9915.234401776894,9499.567633084163
Auburn,heavy,65835.77341,66687.73562174567,67539.69783349133,76059.31995094802,86917.96907025065,96772.6933545513
Auburn,light,1822554.446,1835591.6894578077,1848628.9329156152,1979001.367493691,2090614.3928594936,2220955.29386258
Auburn,medium,85870.41575,86003.679637816,86136.94352563201,87469.58240379208,90709.80356389534,91438.60651688588
Beaux Arts,heavy,0.0,0.0,0.0,0.0,0.0,0.0
Beaux Arts,light,463.8496716,464.51449768225217,465.1793237645043,471.82758458702574,492.2131333140767,514.5574114248573
Beaux Arts,medium,7.288847027,7.343789391561699,7.398731756123398,7.9481554017403875,7.365274310312063,8.122869193180657
Bellevue,heavy,88391.75712,90751.42003919091,93111.08295838183,116707.71215029096,130244.24925589804,141870.6291382261
Bellevue,light,3879024.978,3902168.8748039813,3925312.771607962,4156751.739647772,4338711.733204013,4525903.425942937
Bellevue,medium,203930.0093,206385.46851526832,208840.9277305366,233395.5198832197,240412.0833508926,241486.55805086636
Black Diamond,heavy,497.3734014,501.8290608406735,506.28472028134706,550.8413146880824,633.8178264899493,715.2326187639711
Black Diamond,light,47766.60392,48579.15758767232,49391.711255344635,57517.24793206781,64206.06482796194,71207.23821149427
Black Diamond,medium,1444.787346,1461.3978620841428,1478.0083781682856,1644.1135390097131,1807.1802700344367,1936.635404971227
Bothell,heavy,35996.2292,37000.919310919104,38005.6094218382,48052.5105310292,53793.022390620165,58094.36584879983
Bothell,light,1584686.117,1596256.3439076568,1607826.5708153136,1723528.839891882,1863738.3776539976,1976131.1189107
Bothell,medium,78390.21148,79330.94268975905,80271.67389951811,89678.98599710864,91716.48299171009,90441.70603276264
Burien,heavy,2956.174177,4319.212540022892,5682.250903045785,19312.63453327471,19836.878848554043,20205.12040858717
Burien,light,452291.5104,461549.8099420028,470808.10948400566,563391.1049040337,600774.0950788899,642371.9665498269
Burien,medium,15470.58742,16061.057763053948,16651.528106107897,22556.23153664739,22909.788177393453,22944.14866288477
Carnation,heavy,826.1722116,813.0127429450991,799.8532742901983,668.2585877411899,821.3936472826616,1096.544744625632
Carnation,light,11876.28461,11888.739305537149,11901.194001074296,12025.740956445778,13339.352595070864,14130.835207779122
Carnation,medium,375.067307,374.6938894137285,374.3204718274571,370.5862959647423,379.05908175458455,376.0058716783338
Clyde Hill,heavy,32.3386273,32.75107889159723,33.16353048319446,37.28804639916675,40.258963434166944,47.12881330596671
Clyde Hill,light,26669.23584,26841.581191415462,27013.926542830923,28737.38005698553,31673.943975314,33347.30063804812
Clyde Hill,medium,2055.312158,2085.0330303352407,2114.7539026704817,2411.9626260228883,2688.3883140576195,2863.206056992832
Covington,heavy,7600.625663,7637.265799307728,7673.905935615457,8040.307298692742,9261.465654325464,10594.411664112396
Covington,light,270806.1487,273237.4239350104,275668.6991700207,299981.45152012416,309523.91497818375,326581.8903139752
Covington,medium,7343.949029,7378.239539855949,7412.530050711898,7755.435159271386,8345.90190208999,8392.544874249084
Des Moines,heavy,1529.426734,1462.9380337854604,1396.449333570921,731.5623314255264,841.112858724684,957.3966449370688
Des Moines,light,243172.3513,243396.803109924,243621.254919848,245865.77301908785,267794.8432122915,295940.7904886881
Des Moines,medium,6290.993219,6216.105184104443,6141.217149208886,5392.336800253319,6527.486029921528,7650.441924119842
