,fraction_with_jobs_outside,hh515,hhcu5,hhexpfac,hhftw,hhhsc,hhincome,hhno,hhoad,hhparcel,hhptw,hhret,hhsize,hhtaz,hhuni,hhvehs,hhwkrs,hownrent,hrestype,samptype,year,zone_id
0,,0,0,324.86,1,0,45000,2001,0,46929,0,0,1,1309,0,1,1,Own,Detached Single House,Random Proportional,2006,
1,,0,0,356.76,1,0,-1,2006,2,462748,0,0,3,916,0,1,3,Own,Detached Single House,Random Proportional,2006,
2,,2,0,411.65,1,0,55000,2015,0,128540,0,0,3,1786,0,1,1,Own,Detached Single House,Random Proportional,2006,
3,,0,0,98.36,1,0,105000,2016,0,147174,0,0,1,318,0,1,1,Own,Detached Single House,Random Proportional,2006,
4,,0,0,218.57,1,0,85000,2033,0,988551,1,0,2,2603,0,2,2,Own,Detached Single House,Random Proportional,2006,
5,,0,0,416.17,2,0,15000,2058,0,743488,0,0,2,3174,0,2,2,Own,Detached Single House,Random Proportional,2006,
6,,0,0,223.48,0,0,25000,2062,1,42639,0,0,1,447,0,0,1,Rent,Apartment/Condo,Random Proportional,2006,
7,,0,0,205.05,2,0,75000,2065,0,1007437,0,0,2,2252,0,2,2,Own,Detached Single House,Random Proportional,2006,
8,,0,0,267.69,0,0,25000,2067,0,1137646,1,1,2,2560,0,2,2,Own,Detached Single House,Random Proportional,2006,
9,,0,0,442.41,3,0,175000,2070,0,378615,0,0,3,1963,0,4,3,Own,Detached Single House,Random Proportional,2006,
10,,2,0,171.91,2,0,115000,2071,0,292249,0,0,4,718,0,3,2,Own,Detached Single House,Random Proportional,2006,
11,,1,0,235.57,2,0,75000,2089,0,636984,0,0,4,3668,1,4,3,Own,Detached Single House,Random Proportional,2006,
12,,0,0,980.92,1,0,35000,2109,0,306868,0,0,1,1692,0,1,1,Rent,Duplex/Triplex/Rowhouse,Random Proportional,2006,
13,,2,0,696.56,1,0,45000,2110,0,509158,0,0,3,2009,0,1,1,Own,Detached Single House,Random Proportional,2006,
14,,0,0,66.21,0,0,65000,2116,1,639483,0,1,2,3691,0,3,2,Own,Detached Single House,Random Proportional,2006,
15,,0,0,335.56,2,0,115000,2120,0,66869,0,0,2,1832,0,2,2,Own,Detached Single House,Random Proportional,2006,
16,,0,0,256.11,1,0,35000,2128,0,421224,0,0,1,429,0,0,1,Rent,Apartment/Condo,Random Proportional,2006,
