veh_type,vmt_2018,vmt_2019,vmt_2020,vmt_2030,vmt_2040,vmt_2050,geography
heavy,555689.0940942026,563180.7810426158,570672.4679910288,645589.3374751598,742744.2618315787,820033.4848607262,Pierce County Total
light,17414811.843792453,17541131.943488564,17667452.04318467,18930653.04014577,20235734.878161944,21518371.16615977,Pierce County Total
medium,567541.6986206253,571847.2459249387,576152.7932292521,619208.266272386,649519.445101382,651708.8897043632,Pierce County Total
