year,heavy,hov2,hov3,medium,sov,transit
2018,1462327.867155684,8269950.475053926,3923765.733461148,2094468.569474561,31620644.292119525,128701.15397521568
2019,1461234.4527730865,8263782.433844859,3920839.363672644,2092901.9412088264,31597039.5285362,128604.87229367008
2020,1204257.9984772948,6814156.944103879,3233078.031667661,1724709.8053303664,26049400.36565705,105976.55723672496
2021,1289405.5106955292,7294481.121810485,3460963.370737355,1846707.9256417437,27887575.285993885,113474.30537894016
2022,1310310.4132819446,7412407.410944107,3516912.401895356,1876660.1668099707,28338872.882897813,115315.10718802584
