year,heavy,light,medium,transit
2018,465.38554402567854,320257.7915123082,53600.70671743502,202.75143082053913
2019,472.25850443829165,321485.96518498176,53730.664058305636,202.33691357991685
2020,479.1496305193462,322634.86526910955,53845.372135240796,201.9223963392946
2021,486.058922268842,323704.4917646916,53944.830948240524,201.5078790986724
2022,492.9863796867794,324694.84467172803,54029.04049730481,201.0933618580501
2023,499.93200277315833,325605.9239902186,54098.000782433635,200.67884461742784
