tractce10,veh_type,vmt_total,total_daily_tons_co2e
000100,heavy,26.84125927888207,0.0704822842446113
000100,light,55294.80563873911,31.40683053921586
000100,medium,1332.3879225806518,1.848835904329538
000200,heavy,102.92450802631504,0.2798818975145701
000200,light,71697.49155531144,42.82417202125902
000200,medium,1836.5720032546164,2.523763947147896
000300,heavy,7373.4749964995935,16.88954711759385
000300,light,192030.1332327447,89.20483723684306
000300,medium,10994.96453352926,8.135766820818631
000401,heavy,104.14657572005709,0.2639553832803646
000401,light,46449.47207822856,25.717997121438877
000401,medium,1200.6151352525862,1.5579802559669331
000402,heavy,50.34194898306344,0.1264706741783829
000402,light,40462.67596336272,22.60145151356951
000402,medium,1023.8541197706328,1.3183225958562947
000500,heavy,12.476862845115472,0.0361698921021982
000500,light,6586.6614151953445,5.457418543656639
000500,medium,120.16465751113792,0.4442881049905336
000600,heavy,8124.704374624646,18.889944156406145
000600,light,278767.56332379946,137.20115060994542
000600,medium,13634.935965909674,10.980161637013987
000700,heavy,35.64106562225993,0.0947142807831038
000700,light,32351.119999812727,19.46085258611814
000700,medium,760.3505847234676,1.1215137315334398
000800,heavy,0.0,0.0021480143260465
000800,light,13444.1059076583,9.159072047324424
000800,medium,263.4707451962637,0.5035331526495928
000900,heavy,0.0,0.0259882377931434
000900,light,6382.609286077863,22.000835075067823
000900,medium,135.48438038827268,3.1408498462946333
001000,heavy,5.305948983816227,0.0382258102221721
001000,light,11197.26395574856,20.270097312358445
001000,medium,265.83529096048454,2.529018172247847
001100,heavy,50.423797565326645,0.1444125319246344
001100,light,35230.067512373265,34.97347137131986
001100,medium,929.8926582117202,3.791962343440027
001200,heavy,7949.343944457278,17.870350770404876
001200,light,238087.11003712643,156.1020904857644
001200,medium,12773.05277226642,16.859146659477805
001300,heavy,83.51236332540127,0.2585891350461182
001300,light,50036.44440884184,57.182515582327056
001300,medium,1423.4803313512448,6.744161939033878
001400,heavy,187.5154997261056,0.5015951646531612
001400,light,76577.68227483043,71.72256765873078
001400,medium,2383.6460612419337,7.888426576542442
001500,heavy,1.261002862383952,0.0306004215392799
001500,light,4961.129840281751,21.42039882328589
001500,medium,80.87686951116102,3.244412866315973
001600,heavy,52.91748135804927,0.1844248260289366
001600,light,26065.25839189674,43.20935114313956
001600,medium,847.3168675881966,5.689671248180385
001701,heavy,18.091032812440886,0.0588212049264649
001701,light,25704.143147500305,17.39664387326576
001701,medium,563.7580967992734,1.1713473908722878
001702,heavy,34.2962150864387,0.1011225198988409
001702,light,16631.66303784531,12.500495713295876
001702,medium,439.7076782964313,0.95455364649557
001800,heavy,58.25588553270626,0.2065553528468072
001800,light,35188.07420306329,52.06868800961124
001800,medium,928.9489771686942,6.381111520764964
001900,heavy,5602.897459811135,13.528919124625167
001900,light,159271.7774012382,99.84321096512043
001900,medium,8722.636532780494,10.961783483181415
002000,heavy,53.90219883766081,0.1616561169739113
002000,light,35968.30852044218,40.67830771593083
002000,medium,1047.219372239878,4.668565934066276
002100,heavy,4.150783430468897,0.0465442265591707
002100,light,15647.726192467033,33.20612176994495
002100,medium,333.60335066522185,4.474314814425643
002200,heavy,0.0,0.0505181123565389
002200,light,24665.408335759003,48.15075632045013
002200,medium,477.6570062751037,6.263507374270526
002400,heavy,0.0,0.0250726419135247
002400,light,10655.129911284324,22.164296148464214
002400,medium,195.48799794589053,3.0475479586475247
002500,heavy,8.570527609304012,0.0457349017659887
002500,light,21136.63816672945,27.186816569079596
002500,medium,450.43062433406726,3.1512447152844216
002600,heavy,67.12998725085096,0.1936823547992633
002600,light,56918.75962594536,54.32804094862296
002600,medium,1540.0312402146917,5.79111173582228
002700,heavy,5061.291402319872,11.967736838260658
002700,light,180485.81943283835,116.663576489965
002700,medium,9387.992887322482,12.27509598463393
002800,heavy,47.58952271334695,0.1574614577318874
002800,light,42770.23717488422,46.41542757302183
002800,medium,1172.4806614886372,5.170882215255464
002900,heavy,4.016257754769497,0.0441170718040324
002900,light,15476.66810566394,29.71838989374058
002900,medium,286.09900644668585,3.919404019821148
003000,heavy,110.9691620236934,0.3072405231371134
003000,light,46425.46950899515,51.303293625435145
003000,medium,1235.2489405357303,5.99691942962101
003100,heavy,7.623976355024713,0.0657247151152607
003100,light,15803.840182678525,40.244124255127694
003100,medium,319.8480288697254,5.772193321628358
003200,heavy,23.017287284117376,0.1264042598866667
003200,light,22405.67981841333,57.68321192587538
003200,medium,479.1513498805454,8.194232595416116
003300,heavy,73.75569619605935,0.2449957324238366
003300,light,39617.06978561772,58.04052948107001
003300,medium,994.3471656386369,7.240737482221069
003400,heavy,58.58014148069491,0.1684437053778874
003400,light,21176.626144993774,26.67786661937439
003400,medium,502.32189850806816,3.1674612385638574
003500,heavy,78.40627248884242,0.204967002384022
003500,light,58013.93021224509,43.02883087805331
003500,medium,1931.165241806633,4.34671801857345
003600,heavy,7017.594962369955,15.627973176261682
003600,light,228890.35020003124,139.94554223599062
003600,medium,12531.910408834176,14.665623746602677
003800,heavy,2.4450089301437608,0.0204189391352084
003800,light,14714.080495324712,17.598519003003435
003800,medium,289.9009655622149,1.932695074630855
003900,heavy,0.0,0.0167430285827982
003900,light,8767.34160981614,16.17022633825924
003900,medium,148.76985048634913,2.066501418263329
004000,heavy,0.0,0.0168704215341135
004000,light,11995.071858831352,17.420855560848388
004000,medium,247.4109160190008,2.148551860609308
004100,heavy,0.0,0.0420155889643505
004100,light,22391.895243768573,41.536021684816674
004100,medium,614.4461852757717,5.433750615276103
004200,heavy,0.0,0.0398392180826853
