description,id,mode,route_code
20 Navy Yard City EB,5129,b,4020
17 South to Mall St*,5219,b,7017
14SEP-Weekday-51051*,5423,b,6512
10 capitol hill,4101,b,1010
131 Normandy Park,4169,b,1131
232 Bellevue/Redmond,4300,b,1232
240 Bellevue\Renton,4317,b,1240
28 Broadview,4373,b,1028
331 S03: Kenmore - *,4416,b,1331
48 Loyal Heights/Mt*,4484,p,1048
48 Loyal Heights/Mt*,4485,b,1048
545 Redmond to CBD *,4506,b,6545
93 Manzanita SB,5191,b,4093
97 Crystal Sprngs EB,5197,b,4097
661 test,5318,b,1661
40 CBD-NGTC via Fre*,4454,b,1040
47 Summit,4475,b,1047
17 Silverdale EastS,5074,b,4017
32 Poulsbo/Silverda*,5081,b,4032
13 Parkwood East Li*,5253,b,4013
17 Silverdale East,5257,b,4017
36 Ridgetop Shuttle,5260,b,4036
91 Kingston/Bainbri*,5274,b,4091
91 Kingston/Bainbri*,5275,b,4091
9 South Park,5277,b,4009
Mt Baker,5333,b,1014
Vashon Is--Tahlequa*,5336,b,1118
Dockton,5338,b,1119
Normandy Park expre*,5339,b,1121
Maple Valley & Rent*,5341,b,1143
Kent-Southcenter to*,5342,b,1150
Federal Way/Twin La*,5345,b,1187
Eastgate\Redmond,5346,b,1221
seattle pacific uni*,5348,b,1013
Sandpoint/U-Dist,5350,b,1030
Ft Lawton,5351,b,1033
Lake City/Northgate*,5352,b,1041
Jackson Park,5357,b,1073
UW - NTC - Ballard,5358,b,1075
301 Aurora Village-*,5366,b,1301
capitol hill,5367,b,1010
seattle pacific uni*,5368,b,1013
Sandpoint/U-Dist,5372,b,1030
Ft Lawton,5373,b,1033
Lake City/Northgate*,5376,b,1041
cbd/u-district,5377,b,1043
cbd/u-district,5378,b,1043
Northgate to UW Cam*,5379,b,1067
View Ridge,5380,b,1071
Eastgate Factoria B*,5382,b,1241
Lakeside School to *,5384,b,1984
Route 3,5386,b,1003
Judkins / E QA,5388,b,1004
Route 7,5390,b,1007
Seattle Center to U*,5391,b,1032
Vashon Is--Tahlequa*,5393,b,1118
Federal Way P&R Via*,5397,b,1177
South Fed Way & Fed*,5398,b,1178
Bellevue/Overlake/R*,5405,b,1249
Issaquah to U Dist,5406,b,1271
Bellevue/Overlake/R*,5411,b,1249
ST Issaquah - CBD,5413,b,6554
810-nb-Weekday,5415,b,3810
14SEP-Weekday-855-8*,5424,b,3810
Union Ave,5429,b,2051
University Place,5430,b,2053
University Place,5431,b,2053
Washington,5433,b,2214
Pacific Hwy/Tillicu*,5436,b,2206
Lakewood/Tacoma,5437,b,2003
Lakewood/Tacoma,5438,b,2003
Meridian/Federal Way,5439,b,2402
Puyallup/72nd,5440,b,2409
111 East Renton to *,4655,b,1111
119 Dockton,4662,p,1119
121 Normandy Park e*,4663,b,1121
14 Mt Baker,4665,b,1014
16 Meridian,4672,b,1016
19 Magnolia,4682,b,1019
342 Renton/Shorelin*,4734,b,1342
66 5 & Main to NTC,4756,p,1066
910 Supermall - Nor*,4769,b,1910
916 Kent Shuttle (D*,4773,b,1916
952 Auburn P&R to B*,4775,p,1952
952 Auburn P&R to B*,4776,p,1952
90A PoulsboN,5085,b,4090
90B Poulsbo All Sto*,5087,b,4090
92 Poulsbo/Kingston*,5094,b,4092
15AC McWilliams Shu*,5212,b,4015
12 Silverdale West,5252,b,4012
81 Annapolis Commut*,5263,b,4081
180 test,5284,b,1180
301 Aurora Village-*,5303,b,1301
316 test,5305,b,1316
41 test,5310,b,1041
Wedgwood Express,5361,b,1076
68 Northgate to UW *,4058,b,1068
101 Renton Transit *,4651,b,1101
118 Vashon Is--Tahl*,4660,b,1118
152 Enumclaw-Auburn*,4668,b,1152
173 Federal Way to *,4675,b,1173
202 Mercer Island,4688,b,1202
203 Shorewood Van S*,4690,b,1203
