district_name,lat,lon
North Seattle-Shoreline,47.717471,-122.338958
East Side,47.611097,-122.144813
Everett-Lynwood-Edmonds,47.884636,-122.261059
Kitsap,47.680028,-122.642429
Renton-FedWay-Kent,47.401118,-122.226377
S.Kitsap,47.427932,-122.675388
Seattle CBD,47.603653,-122.32836
South Pierce,47.12806,-122.108131
Snohomish,47.882845,-122.020997
Tacoma,47.25268,-122.455268
West-South Seattle,47.55116,-122.332714
