hhid expwt_initial expwt_final_3
14100001 87.2388 75.9405
14100002 87.2388 32.4822
14100003 71.0773 49.4452
14100004 71.0773 61.4777
14100005 71.0773 95.7208
14100006 77.2094 54.5609
14100007 71.0773 81.5452
14100008 77.2094 83.6118
14100009 87.2388 47.4075
14100010 87.2388 67.6125
14100011 87.2388 88.2853
14100012 71.0773 90.3517
14100013 71.0773 49.4452
14100014 77.2094 100.4631
14100015 77.2094 66.7816
14100016 77.2094 64.1803
14100017 71.0773 14.2155
14100018 71.0773 69.1993
14100019 77.2094 153.9963
14100020 71.0773 90.3517
14100021 71.0773 42.8340
14100022 87.2388 88.2853
14100023 87.2388 127.8666
14100024 77.2094 93.5729
14100025 71.0773 81.5452
14100026 71.0773 60.4455
14100027 71.0773 74.8277
14100028 71.0773 100.6273
14100029 71.0773 48.3051
14100030 77.2094 61.1882
14100031 77.2094 88.0331
14100032 77.2094 53.7110
14100033 77.2094 86.0033
14100034 71.0773 56.3286
14100035 77.2094 72.2256
14100036 71.0773 38.6250
14100037 77.2094 88.5804
14100038 77.2094 86.5380
14100039 381.6794 309.3410
14100040 151.6408 132.5040
14100041 327.1560 619.4185
14100042 381.6794 170.3016
14100043 388.5321 371.3556
14100044 381.6794 333.5122
14100045 388.5321 405.3831
14100046 388.5321 107.0783
14100047 388.5321 564.1181
14100048 388.5321 187.0951
14100049 381.6794 322.6230
14100050 388.5321 1216.6710
14100051 388.5321 123.6080
14100052 388.5321 207.5312
14100053 144.4407 161.6055
14100054 388.5321 353.7257
14100055 381.6794 564.5494
14100056 381.6794 295.3122
14100057 388.5321 980.9719
14100058 144.4407 575.8728
14100059 388.5321 371.0973
14100060 388.5321 333.7261
14100061 388.5321 434.1796
14100062 388.5321 693.3564
14100063 388.5321 771.1684
14100064 381.6794 290.2420
14100065 381.6794 185.3741
14100066 381.6794 451.6952
14100067 388.5321 608.0246
14100068 388.5321 233.0831
14100069 388.5321 750.8865
14100070 388.5321 258.0399
14100071 381.6794 119.1412
14100072 388.5321 583.9549
14100073 388.5321 308.7691
14100074 388.5321 1611.7972
14100075 388.5321 245.7875
14100076 381.6794 160.3701
14100077 144.4407 70.7726
14100078 388.5321 289.0585
14100079 388.5321 177.1240
14100080 381.6794 209.3180
14100081 160.6086 415.3322
14100082 71.0773 81.5452
14100083 388.5321 452.8750
14100084 388.5321 144.8201
14100085 388.5321 331.9199
14100086 388.5321 92.4785
14100087 388.5321 653.1770
14100088 388.5321 559.3108
14100089 388.5321 506.9269
14100090 160.6086 140.3401
14100091 381.6794 653.9049
14100092 381.6794 585.3157
14100093 71.0773 38.6250
14100094 77.2094 76.6883
14100095 77.2094 76.0481
14100096 71.0773 90.3517
14100097 71.0773 74.8277
14100098 71.0773 90.0079
14100099 71.0773 31.0652
14100100 87.2388 94.4729
14100101 87.2388 84.2368
14100102 77.2094 38.5339
14100103 77.2094 40.6185
14100104 71.0773 103.2334
14100105 71.0773 59.0830
14100106 71.0773 14.2155
14100107 77.2094 53.7110
14100108 77.2094 60.8908
14100109 87.2388 130.5257
14100110 71.0773 56.0547
14100111 71.0773 54.7623
14100112 87.2388 67.2141
14100113 71.0773 39.0094
14100114 77.2094 53.9733
14100115 77.2094 42.2264
14100116 71.0773 61.8721
14100117 71.0773 53.8151
14100118 71.0773 48.7069
14100119 71.0773 64.2820
14100120 151.6408 152.7838
14100121 71.0773 81.0413
14100122 71.0773 71.9300
14100123 77.2094 64.3982
14100124 151.6408 64.7751
14100125 77.2094 124.5044
14100126 77.2094 59.4868
14100127 77.2094 56.9354
14100128 77.2094 61.1882
14100129 87.2388 69.6521
14100130 77.2094 86.5380
14100131 160.6086 108.6116
14100132 71.0773 106.3451
14100133 71.0773 30.9131
14100134 71.0773 47.7997
14100135 71.0773 34.9927
14100136 71.0773 37.7658
14100137 71.0773 30.4697
14100138 71.0773 48.1527
14100139 77.2094 266.5584
14100140 71.0773 49.1192
14100141 87.2388 61.3048
14100142 71.0773 81.5452
14100143 71.0773 87.3721
14100144 71.0773 31.0652
14100145 71.0773 55.4402
14100146 77.2094 59.4868
14100147 77.2094 71.4759
14100148 77.2094 74.5526
14100149 160.6086 49.9151
14100150 77.2094 60.8908
14100151 77.2094 86.5380
14100152 160.6086 138.0414
14100153 77.2094 100.4631
14100154 388.5321 627.4962
14100155 388.5321 195.3396
14100156 388.5321 185.5395
14100157 381.6794 263.1286
14100158 388.5321 502.3825
14100159 381.6794 610.7987
14100160 388.5321 163.6828
14100161 144.4407 1294.8020
14100162 144.4407 244.5563
14100163 388.5321 171.8375
14100164 388.5321 685.6094
14100165 388.5321 191.7255
14100166 388.5321 164.9238
14100167 381.6794 695.4822
14100168 160.6086 162.4814
14100169 388.5321 927.3348
14100170 388.5321 480.8161
14100171 327.1560 1221.7790
14100172 388.5321 981.8150
14100173 388.5321 196.6201
14100174 160.6086 201.9511
14100175 381.6794 187.8170
14100177 160.6086 149.1964
14100178 388.5321 293.9054
14100179 77.2094 74.5526
14100180 77.2094 78.1356
14100181 77.2094 52.4725
14100182 77.2094 54.5609
14100183 77.2094 59.2100
14100184 77.2094 98.1467
14100185 77.2094 59.4868
14100186 77.2094 101.3706
14100187 77.2094 98.8625
14100188 77.2094 173.4206
14100189 77.2094 45.8700
14100190 77.2094 110.5504
14100191 77.2094 42.9378
14100192 77.2094 19.9569
14100193 160.6086 337.5215
14100194 160.6086 101.1770
14100195 160.6086 142.2921
14100196 160.6086 429.4265
14100197 160.6086 484.8043
14100198 160.6086 324.6640
14100199 160.6086 120.1205
14100200 160.6086 32.6905
14100201 160.6086 626.4496
14100202 160.6086 113.2845
