county,port,annual_truck_trips,year
King County,Seattle,1157002,2016
Pierce County,Tacoma,1429600,2016
Snohomish County,Everett,4025,2016
King County,Seattle,1203995,2021
Pierce County,Tacoma,1356595,2021
Snohomish County,Everett,6778,2021
