day,dow,fhtours,hdexpfac,hhno,jttours,phtours
1,2,0,162.43,2001,0,0
2,3,0,162.43,2001,0,0
1,1,0,178.38,2006,0,0
2,2,0,178.38,2006,0,0
1,1,0,205.82,2015,0,0
2,2,0,205.82,2015,0,0
1,1,0,49.18,2016,0,0
2,2,0,49.18,2016,0,0
1,3,0,109.29,2033,0,0
2,4,0,109.29,2033,0,0
1,1,0,208.09,2058,0,0
2,2,0,208.09,2058,0,0
1,1,0,111.74,2062,0,0
2,2,0,111.74,2062,0,0
1,1,0,102.53,2065,0,0
2,2,1,102.53,2065,0,0
1,1,0,133.85,2067,0,0
2,2,0,133.85,2067,0,0
1,3,0,221.21,2070,0,0
2,4,0,221.21,2070,0,0
1,1,0,85.96,2071,0,2
2,2,0,85.96,2071,0,0
1,1,0,117.79,2089,0,2
2,2,0,117.79,2089,1,1
1,1,0,490.46,2109,0,0
2,2,0,490.46,2109,0,0
1,1,2,348.28,2110,0,0
2,2,2,348.28,2110,0,0
1,1,0,33.1,2116,0,0
2,2,0,33.1,2116,0,0
1,1,0,167.78,2120,0,0
2,2,0,167.78,2120,0,0
1,1,0,128.05,2128,0,0
2,2,0,128.05,2128,0,0
1,1,0,129.11,2138,0,0
2,2,0,129.11,2138,0,0
1,1,0,35.06,2158,0,0
2,2,0,35.06,2158,0,0
1,1,0,48.74,2163,0,0
2,2,0,48.74,2163,0,0
1,1,0,139.93,2206,0,0
2,2,0,139.93,2206,0,0
1,1,0,284.85,2220,0,0
2,2,0,284.85,2220,0,0
1,1,0,153.97,2229,0,0
2,2,0,153.97,2229,0,0
1,1,0,59.99,2237,0,0
2,2,0,59.99,2237,0,0
1,1,0,61.78,2238,0,0
2,2,0,61.78,2238,0,0
1,1,0,115.88,2254,0,0
2,2,0,115.88,2254,0,0
1,1,0,163.71,2262,0,0
2,2,0,163.71,2262,0,0
1,1,0,60.01,2318,0,0
2,2,0,60.01,2318,0,0
1,1,0,298.06,2324,0,0
2,2,0,298.06,2324,1,0
1,1,0,204.68,2325,0,0
2,2,0,204.68,2325,0,0
1,1,0,141.32,2327,1,0
2,2,0,141.32,2327,1,0
1,1,0,198.57,2329,1,0
2,2,0,198.57,2329,0,0
1,1,0,105.31,2330,0,0
2,2,0,105.31,2330,0,0
1,3,0,131.36,2343,0,0
2,4,0,131.36,2343,0,0
1,3,0,164.72,2354,0,0
2,4,0,164.72,2354,0,0
1,1,0,150.37,2367,0,0
2,2,0,150.37,2367,0,0
1,2,0,117.39,2426,0,0
2,3,0,117.39,2426,0,0
1,3,0,151.48,2456,0,0
2,4,0,151.48,2456,0,0
1,3,0,105.5,2457,0,0
2,4,0,105.5,2457,0,0
1,2,0,40.12,2482,0,0
2,3,0,40.12,2482,0,0
1,2,0,48.24,2495,0,0
2,3,0,48.24,2495,0,0
1,2,0,59.32,2502,0,0
2,3,0,59.32,2502,0,0
1,2,0,105.43,2503,0,0
2,3,0,105.43,2503,0,0
1,2,0,54.15,2507,0,0
2,3,0,54.15,2507,0,0
1,2,0,130.39,2509,0,0
2,3,0,130.39,2509,0,0
1,2,0,60.83,2512,0,0
2,3,0,60.83,2512,0,0
1,2,0,86.72,2535,2,0
2,3,0,86.72,2535,1,0
1,3,0,114.18,2539,0,0
2,4,0,114.18,2539,0,0
1,3,0,41.38,2542,0,0
2,4,0,41.38,2542,0,0
1,2,0,147.89,2543,1,0
2,3,0,147.89,2543,0,0
1,3,0,165.21,2551,0,0
2,4,0,165.21,2551,0,0
1,3,0,158.87,2563,0,0
2,4,0,158.87,2563,0,0
1,3,0,390.99,2575,0,0
2,4,0,390.99,2575,0,0
1,3,0,92.72,2591,0,0
2,4,0,92.72,2591,0,0
1,3,0,140.59,2605,0,0
2,4,0,140.59,2605,0,0
1,3,0,134.1,2622,0,0
2,4,0,134.1,2622,0,0
1,4,0,143.22,2658,0,0
2,5,0,143.22,2658,1,0
1,3,0,54.54,2673,0,0
2,4,0,54.54,2673,0,0
1,3,0,137.93,2702,0,0
2,4,0,137.93,2702,0,0
1,3,0,70.56,2707,0,0
2,4,0,70.56,2707,0,0
1,3,0,257.74,2709,0,0
2,4,0,257.74,2709,0,0
1,3,0,194.88,2736,0,0
2,4,0,194.88,2736,0,0
1,3,0,68.65,2753,3,0
2,4,1,68.65,2753,1,0
1,3,0,120.79,2759,0,0
2,4,0,120.79,2759,0,0
1,3,0,163.44,2760,0,0
2,4,0,163.44,2760,0,0
1,3,0,60.87,2773,0,0
2,4,0,60.87,2773,0,0
1,3,0,47.83,2778,0,0
2,4,0,47.83,2778,0,0
1,3,0,59.24,2794,0,0
2,4,0,59.24,2794,0,0
1,3,0,290.14,2806,0,0
2,4,0,290.14,2806,0,0
1,3,0,26.07,2828,0,0
2,4,0,26.07,2828,0,0
1,3,0,34.21,2829,0,0
2,4,0,34.21,2829,0,0
1,3,0,45.33,2839,0,0
2,4,0,45.33,2839,0,0
1,3,0,140.29,2844,0,0
2,4,0,140.29,2844,0,0
1,3,0,206.53,2859,1,0
2,4,0,206.53,2859,0,0
1,3,0,101.4,2873,0,0
2,4,0,101.4,2873,0,0
1,3,0,145.96,2891,0,0
2,4,0,145.96,2891,0,0
1,3,0,102.72,2896,0,0
2,4,0,102.72,2896,0,0
1,3,0,214.7,2901,2,0
2,4,0,214.7,2901,1,0
1,3,0,96.89,2903,0,0
2,4,0,96.89,2903,0,0
1,3,0,67.46,2925,0,0
2,4,0,67.46,2925,0,0
1,3,2,337.14,2930,0,0
2,4,0,337.14,2930,0,0
1,3,0,60.83,2933,0,0
2,4,0,60.83,2933,0,0
1,3,0,204.79,2934,0,0
2,4,0,204.79,2934,0,0
1,3,0,295.1,2935,1,0
2,4,0,295.1,2935,1,0
1,3,0,147.82,2936,0,0
2,4,0,147.82,2936,2,0
1,3,0,93.58,2966,0,0
2,4,0,93.58,2966,0,0
1,3,0,439.95,2979,0,0
2,4,0,439.95,2979,0,0
1,3,0,86.87,2980,0,0
2,4,0,86.87,2980,0,0
1,3,0,90.14,2983,0,0
2,4,0,90.14,2983,0,0
1,3,0,194.56,2991,0,0
2,4,0,194.56,2991,0,0
1,3,0,172.0,3019,0,0
2,4,0,172.0,3019,0,0
1,3,0,137.87,3035,0,0
2,4,0,137.87,3035,0,0
1,1,0,80.93,3042,1,0
2,2,0,80.93,3042,0,0
1,2,0,127.41,3043,0,0
2,3,0,127.41,3043,0,0
1,4,0,108.14,3070,0,0
2,5,0,108.14,3070,0,0
1,3,0,85.32,3090,0,0
2,4,0,85.32,3090,0,0
1,1,1,57.33,3091,1,0
2,2,1,57.33,3091,0,0
1,3,0,48.74,3165,1,0
2,4,0,48.74,3165,0,0
1,3,0,172.51,3195,0,0
2,4,0,172.51,3195,0,0
1,3,0,73.17,3203,0,0
2,4,0,73.17,3203,0,0
1,3,0,209.2,3212,0,1
2,4,0,209.2,3212,1,1
1,3,0,68.34,3265,0,0
2,4,0,68.34,3265,0,0
1,3,0,196.29,3271,1,0
2,4,0,196.29,3271,0,0
1,3,0,233.85,3300,0,1
2,4,0,233.85,3300,0,0
1,3,0,86.18,3335,0,0
2,4,0,86.18,3335,0,0
1,3,0,49.18,3354,0,0
2,4,0,49.18,3354,0,0
1,1,0,145.54,3364,0,0
2,2,0,145.54,3364,0,0
1,3,0,85.32,3367,0,0
2,4,0,85.32,3367,0,0
1,3,0,102.01,3370,0,0
2,4,0,102.01,3370,0,0
1,3,0,152.65,3379,1,0
2,4,0,152.65,3379,0,0
1,1,0,31.36,3380,0,0
2,2,0,31.36,3380,0,0
1,3,0,131.49,3382,0,0
2,4,0,131.49,3382,0,0
1,3,0,75.94,3399,0,0
2,4,0,75.94,3399,0,0
1,3,0,43.77,3431,0,0
2,4,0,43.77,3431,0,0
1,3,0,57.28,3440,1,1
2,4,0,57.28,3440,0,2
1,3,0,47.6,3446,2,0
2,4,0,47.6,3446,1,0
1,3,0,82.64,3459,0,0
2,4,0,82.64,3459,0,0
1,3,0,70.56,3467,0,0
2,4,0,70.56,3467,0,0
1,1,0,258.99,3490,0,0
2,2,0,258.99,3490,1,0
1,3,0,124.24,3491,0,0
2,4,0,124.24,3491,0,0
1,3,0,276.17,3496,0,0
2,4,0,276.17,3496,1,0
1,3,0,502.07,3505,0,0
2,4,0,502.07,3505,0,0
1,3,0,124.19,3510,0,0
2,4,0,124.19,3510,0,0
1,3,0,34.21,3540,0,0
2,4,0,34.21,3540,0,0
1,3,0,118.61,3545,0,0
2,4,0,118.61,3545,0,0
1,3,0,147.82,3553,0,0
2,4,0,147.82,3553,0,0
1,3,0,117.39,3554,0,0
2,4,0,117.39,3554,0,0
1,3,0,134.1,3555,0,0
2,4,0,134.1,3555,0,0
1,3,4,127.76,3556,0,0
2,4,3,127.76,3556,2,0
1,3,0,126.82,3557,0,0
2,4,0,126.82,3557,0,0
1,3,0,170.01,3558,0,0
2,4,0,170.01,3558,0,0
1,3,0,84.24,3565,0,0
2,4,0,84.24,3565,0,0
1,3,0,70.26,3573,0,1
2,4,0,70.26,3573,0,0
1,3,0,100.88,3577,0,0
2,4,0,100.88,3577,0,0
1,3,0,56.87,3588,0,0
2,4,0,56.87,3588,0,0
1,3,0,145.85,3591,2,0
2,4,0,145.85,3591,0,0
1,1,0,184.28,3600,0,0
2,2,0,184.28,3600,0,0
1,2,2,268.08,3601,0,0
2,3,2,268.08,3601,0,0
1,3,0,181.87,3605,0,0
2,4,0,181.87,3605,0,0
1,1,0,258.81,3606,2,0
2,2,0,258.81,3606,0,0
1,3,0,79.68,3610,0,0
2,4,0,79.68,3610,0,0
1,3,0,100.36,3620,0,0
2,4,0,100.36,3620,0,0
1,3,0,17.17,3634,0,0
2,4,0,17.17,3634,0,0
1,4,0,191.59,3637,0,0
2,5,0,191.59,3637,2,0
1,2,0,68.85,3672,0,0
2,3,0,68.85,3672,0,0
1,3,0,46.42,3712,0,0
2,4,0,46.42,3712,0,0
1,1,0,142.29,3714,0,0
2,2,0,142.29,3714,0,0
1,3,0,172.31,3727,0,0
2,4,0,172.31,3727,0,0
1,1,0,112.68,3732,0,0
2,2,0,112.68,3732,0,0
1,1,0,303.84,3747,0,0
2,2,0,303.84,3747,0,0
