hhno,pagey,pdiary,pgend,pno,ppaidprk,pproxy,pptyp,psaudist,psautime,psexpfac,pspcl,pstaz,pstyp,ptpass,puwarrp,puwdepp,puwmode,pwaudist,pwautime,pwpcl,pwtaz,pwtyp
2001,37,1,2,1,-1,0,1,-1.0,-1.0,324.86,-1,-1,0,1,-1,-1,-1,17.28,42.14,147857,515,1
2006,43,1,2,1,-1,0,4,-1.0,-1.0,356.76,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2006,39,1,2,2,-1,0,4,-1.0,-1.0,356.76,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2006,64,1,2,3,-1,0,1,-1.0,-1.0,356.76,-1,-1,0,0,-1,-1,-1,8.32,31.37,13585,1026,1
2015,36,1,2,1,-1,0,1,-1.0,-1.0,411.65,-1,-1,0,0,4,3,3,9.26,31.31,99345,1628,1
2015,10,1,1,2,-1,1,7,-1.0,-1.0,411.65,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2015,8,1,1,3,-1,1,7,-1.0,-1.0,411.65,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2016,35,1,2,1,-1,0,1,-1.0,-1.0,98.36,-1,-1,0,0,-1,-1,-1,13.73,34.61,181158,1616,1
2033,58,1,2,1,-1,0,2,-1.0,-1.0,218.57,-1,-1,0,0,-1,-1,3,2.03,8.99,958934,2606,2
2033,59,1,1,2,-1,1,1,-1.0,-1.0,218.57,-1,-1,0,0,-1,-1,-1,13.27,48.66,235743,163,1
2058,51,1,2,1,-1,0,1,-1.0,-1.0,416.17,-1,-1,0,0,-1,-1,-1,7.16,21.78,716105,3124,1
2058,49,1,1,2,-1,0,1,-1.0,-1.0,416.17,-1,-1,0,0,-1,-1,-1,22.67,52.64,438083,1353,1
2062,47,1,1,1,-1,0,4,-1.0,-1.0,223.48,-1,-1,0,1,-1,-1,-1,-1.0,-1.0,-1,-1,0
2065,51,1,1,1,-1,0,1,-1.0,-1.0,205.05,-1,-1,0,0,-1,-1,-1,2.94,14.63,987335,2292,1
2065,47,1,2,2,-1,0,1,-1.0,-1.0,205.05,-1,-1,0,0,-1,-1,-1,2.49,13.51,988328,2280,1
2067,78,1,2,1,-1,0,3,-1.0,-1.0,267.69,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,0
2067,80,1,1,2,-1,0,2,-1.0,-1.0,267.69,-1,-1,0,0,-1,-1,-1,2.44,8.64,23072,1795,2
2070,61,1,1,1,-1,0,1,-1.0,-1.0,442.41,-1,-1,0,0,2,9,3,29.63,71.05,1145208,2309,1
2070,58,1,2,2,-1,1,1,-1.0,-1.0,442.41,-1,-1,0,0,-1,-1,-1,20.54,53.14,59017,529,1
2070,35,1,2,3,-1,1,1,-1.0,-1.0,442.41,-1,-1,0,0,-1,-1,-1,-1.0,-1.0,-1,-1,1
2071,48,1,2,1,-1,0,1,-1.0,-1.0,171.91,-1,-1,0,0,8,7,3,5.79,23.7,519459,630,1
2071,55,1,1,2,-1,1,1,-1.0,-1.0,171.91,-1,-1,0,0,-1,-1,-1,2.02,10.89,120881,721,1
