day,fhtindx1,fhtindx2,hhno,jtindex,parent,pdpurp,phtindx1,phtindx2,pno,subtrs,tardest,tarorig,tautocost,tautodist,tautotime,tdadtyp,tdpcl,tdtaz,tlvdest,tlvorig,tmodetp,toadtyp,toexpfac,topcl,totaz,tour,tpathtp,tripsh1,tripsh2
2,0,0,2089,0,0,1,1,0,2,0,805,1620,0.0,14.41,30.65,2,670021,3563,1440,730,4,1,117.79,636984,3668,1,0,2,2
2,0,0,2089,1,0,4,0,0,2,0,1900,2000,0.0,5.98,17.89,4,625797,3646,1945,1840,4,1,117.79,636984,3668,2,0,1,1
2,0,0,2089,0,0,2,0,0,3,0,750,1500,0.0,12.43,37.15,3,674828,3596,1430,530,3,1,117.79,636984,3668,1,0,2,1
2,0,0,2089,1,0,4,0,0,3,0,1900,2000,0.0,5.98,17.89,4,625797,3646,1945,1840,4,1,117.79,636984,3668,2,0,1,1
2,0,0,2089,0,0,2,1,0,4,0,750,1500,0.0,4.32,12.35,4,570225,3655,1430,730,8,1,117.79,636984,3668,1,0,1,1
1,0,0,2109,0,0,1,0,0,1,0,907,1807,0.0,11.24,26.7,2,1137704,2564,1750,850,3,1,490.46,306868,1692,1,0,1,1
2,0,0,2109,0,0,6,0,0,1,0,1016,1023,0.0,11.24,26.7,4,1137799,2564,1019,953,5,1,490.46,306868,1692,1,0,1,1
2,0,0,2109,0,0,6,0,0,1,0,1847,1943,0.0,10.74,25.45,4,1137814,2608,1928,1834,5,1,490.46,306868,1692,2,0,1,1
1,0,0,2110,0,0,1,0,0,1,0,515,1732,0.0,38.38,72.87,2,430869,1929,1605,420,5,1,348.28,509158,2009,1,0,1,2
1,1,2,2110,0,0,2,0,0,2,0,821,1500,0.0,1.81,8.47,3,232870,2008,1448,811,1,1,348.28,509158,2009,1,0,1,1
1,1,2,2110,0,0,2,0,0,3,0,821,1500,0.0,1.81,8.47,4,232870,2008,1448,811,1,1,348.28,509158,2009,1,0,1,1
2,0,0,2110,0,0,1,0,0,1,0,515,1710,0.0,38.38,72.87,2,430869,1929,1605,420,5,1,348.28,509158,2009,1,0,1,1
2,1,2,2110,0,0,2,0,0,2,0,821,1510,0.0,1.81,8.47,3,232870,2008,1500,811,1,1,348.28,509158,2009,1,0,1,1
2,1,2,2110,0,0,2,0,0,3,0,821,1510,0.0,1.81,8.47,4,232870,2008,1500,811,1,1,348.28,509158,2009,1,0,1,1
1,0,0,2116,0,0,5,0,0,1,0,1652,1705,0.0,0.73,4.91,4,644254,3691,1700,1633,3,1,33.1,639483,3691,1,0,1,1
1,0,0,2116,0,0,8,0,0,1,0,1030,1154,0.0,0.73,4.91,4,590229,3691,1150,1026,3,1,33.1,639483,3691,2,0,1,1
1,0,0,2116,0,0,4,0,0,2,0,1323,1535,0.0,0.91,5.86,4,590352,3694,1415,1316,3,1,33.1,639483,3691,1,0,1,3
2,0,0,2116,0,0,8,0,0,1,0,1648,1801,0.0,0.73,4.91,4,590229,3691,1757,1644,3,1,33.1,639483,3691,1,0,1,1
