hh515,hhcu5,hhexpfac,hhftw,hhhsc,hhincome,hhno,hhoad,hhparcel,hhptw,hhret,hhsize,hhtaz,hhuni,hhvehs,hhwkrs,hownrent,hrestype,samptype
0,0,324.86,1,0,45000,2001,0,46929,0,0,1,1309,0,1,1,1,1,1
0,0,356.76,1,0,-1,2006,2,462748,0,0,3,916,0,1,3,1,1,1
2,0,411.65,1,0,55000,2015,0,128540,0,0,3,1786,0,1,1,1,1,1
0,0,98.36,1,0,105000,2016,0,147174,0,0,1,318,0,1,1,1,1,1
0,0,218.57,1,0,85000,2033,0,988551,1,0,2,2603,0,2,2,1,1,1
0,0,416.17,2,0,15000,2058,0,743488,0,0,2,3174,0,2,2,1,1,1
0,0,223.48,0,0,25000,2062,1,42639,0,0,1,447,0,0,1,2,3,1
0,0,205.05,2,0,75000,2065,0,1007437,0,0,2,2252,0,2,2,1,1,1
0,0,267.69,0,0,25000,2067,0,1137646,1,1,2,2560,0,2,2,1,1,1
0,0,442.41,3,0,175000,2070,0,378615,0,0,3,1963,0,4,3,1,1,1
2,0,171.91,2,0,115000,2071,0,292249,0,0,4,718,0,3,2,1,1,1
1,0,235.57,2,0,75000,2089,0,636984,0,0,4,3668,1,4,3,1,1,1
0,0,980.92,1,0,35000,2109,0,306868,0,0,1,1692,0,1,1,2,2,1
2,0,696.56,1,0,45000,2110,0,509158,0,0,3,2009,0,1,1,1,1,1
0,0,66.21,0,0,65000,2116,1,639483,0,1,2,3691,0,3,2,1,1,1
0,0,335.56,2,0,115000,2120,0,66869,0,0,2,1832,0,2,2,1,1,1
0,0,256.11,1,0,35000,2128,0,421224,0,0,1,429,0,0,1,2,3,1
0,0,258.22,0,0,15000,2138,1,34271,0,1,2,143,0,1,2,1,1,1
0,0,70.13,0,0,65000,2158,1,386094,0,0,1,696,0,2,1,1,1,1
0,0,97.49,0,0,145000,2163,1,541414,0,1,2,677,0,2,2,1,1,1
0,0,279.85,1,0,-1,2206,0,995603,0,0,1,2656,0,1,1,1,1,1
0,0,569.69,2,1,35000,2220,0,455067,0,0,3,894,0,2,3,1,1,1
0,0,307.94,0,0,45000,2229,1,21599,0,1,2,1321,0,2,2,1,1,1
0,0,119.98,0,0,25000,2237,0,618034,0,2,2,3543,0,2,2,2,1,1
0,0,123.57,1,0,-1,2238,0,567723,0,1,2,690,0,3,2,1,1,1
0,0,231.76,1,0,95000,2254,0,294490,0,0,1,1152,0,1,1,1,1,1
0,0,327.43,0,1,25000,2262,0,652543,2,0,3,3501,0,2,3,1,1,1
0,0,120.02,0,0,-1,2318,0,408593,1,1,2,325,0,2,2,1,1,1
1,0,596.12,1,0,35000,2324,1,264596,0,0,3,1162,0,4,2,1,1,1
0,0,409.37,1,0,105000,2325,0,81422,0,0,1,1669,0,4,1,1,1,1
0,0,282.65,0,0,-1,2327,2,511028,0,0,2,1753,0,2,2,1,1,1
0,0,397.13,0,0,35000,2329,0,851538,0,2,2,3203,0,1,2,1,1,1
0,0,210.61,1,0,65000,2330,1,1092525,0,0,2,2105,0,2,2,1,1,1
0,0,262.72,0,0,-1,2343,0,1115698,0,1,1,2215,0,1,1,1,1,1
0,0,329.44,0,0,15000,2354,1,981938,0,0,1,2383,0,2,1,1,1,1
0,0,300.73,0,0,65000,2367,0,771706,0,2,2,3038,0,3,2,1,1,1
0,0,234.77,2,0,65000,2426,0,525479,0,0,2,927,0,3,2,1,1,1
0,0,302.95,1,2,75000,2456,0,981200,1,0,4,2616,0,4,4,1,1,1
0,0,211.0,1,0,-1,2457,1,364411,0,0,2,416,0,2,2,1,1,1
0,0,80.23,0,0,85000,2482,2,578551,0,0,2,3605,0,2,2,1,1,1
0,0,96.47,1,0,75000,2495,0,279907,1,0,2,357,0,2,2,1,1,1
0,0,118.64,2,0,95000,2502,0,393510,0,0,2,733,0,2,2,2,1,1
0,0,210.85,0,0,35000,2503,1,954780,0,1,2,2829,0,2,2,1,1,1
0,0,108.29,0,0,55000,2507,0,591944,1,1,2,3476,0,3,2,1,1,1
0,0,260.78,0,0,55000,2509,1,952065,0,0,1,3252,0,1,1,1,1,1
0,0,121.67,1,0,115000,2512,1,429662,0,0,2,561,0,2,2,1,1,1
0,0,173.45,0,0,25000,2535,0,154341,0,2,2,186,0,1,2,1,1,1
0,0,228.35,2,0,75000,2539,0,1172682,0,0,2,2216,0,3,2,1,1,1
0,0,82.76,0,0,-1,2542,0,143987,0,1,1,221,0,1,1,1,1,1
0,1,295.78,2,0,75000,2543,1,130557,0,0,4,1743,0,3,3,1,1,1
0,0,330.42,1,0,65000,2551,0,743549,0,0,2,3174,1,2,2,1,1,1
0,0,317.74,0,0,35000,2563,0,441332,0,2,2,1834,0,3,2,1,1,1
0,0,781.99,0,0,5000,2575,1,929167,0,0,1,3329,0,1,1,2,3,1
0,0,185.45,0,0,45000,2591,0,821190,1,1,2,2794,0,2,2,1,1,1
