w_geocode,X_COORD,Y_COORD,TAZ_3700,College_name,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
530330059003000,1239787.50000,96150.48438,2865,Bates,Pierce,4249,4269,4289,4309,4328,4348,4368,4388,4408,4428,4447,4467,4487,4507,4527,4547,4566,4586,4606,4626,4646,4670,4694,4718,4742,4766,4790,4814,4838,4862,4886
530330108001009,1241714.00000,93602.00000,2880,UW-Tacoma,Pierce,3188,3203,3218,3233,3248,3262,3277,3292,3307,3322,3337,3352,3367,3382,3396,3411,3426,3441,3456,3471,3486,3504,3522,3540,3558,3576,3594,3612,3630,3648,3666
530330086002004,1281996.75000,60646.52734,3314,Pierce College (District) - Puyallup,Pierce,2594,2606,2618,2630,2642,2655,2667,2679,2691,2703,2715,2727,2739,2751,2764,2776,2788,2800,2812,2824,2836,2851,2866,2880,2895,2910,2924,2939,2954,2968,2983
530330209003003,1239154.20200,56943.78772,3362,Pacific Lutheran,Pierce,3569,3586,3602,3619,3636,3652,3669,3686,3702,3719,3736,3752,3769,3786,3802,3819,3836,3852,3869,3886,3902,3923,3943,3963,3983,4003,4024,4044,4064,4084,4104
530530610022005,1226452.43600,68703.85688,3019,Clover Park,Pierce,5473,5499,5524,5550,5575,5601,5626,5652,5677,5703,5729,5754,5780,5805,5831,5856,5882,5908,5933,5959,5984,6015,6046,6077,6108,6139,6170,6201,6232,6263,6294
530330262001108,1208029.12500,69154.32813,3029,Pierce College (District) - Lakewood / Steilacoom,Pierce,3339,3355,3370,3386,3401,3417,3433,3448,3464,3479,3495,3511,3526,3542,3557,3573,3588,3604,3620,3635,3651,3670,3689,3708,3726,3745,3764,3783,3802,3821,3840
530530607005011,1229152.00000,49266.00000,3348,Pierce College (District) - Mcchord,Pierce,664,667,670,673,676,680,683,686,689,692,695,698,701,704,707,711,714,717,720,723,726,730,734,737,741,745,749,752,756,760,764
530330218042008,1206489.00000,39680.00000,3350,Pierce College (District) - Ft. Lewis,Pierce,2190,2200,2210,2221,2231,2241,2251,2262,2272,2282,2292,2303,2313,2323,2333,2343,2354,2364,2374,2384,2395,2407,2419,2432,2444,2457,2469,2481,2494,2506,2519
530330053023023,1304719.00000,370099.00000,2252,Everett,Snohomish,6082,6110,6139,6167,6196,6224,6252,6281,6309,6338,6366,6394,6423,6451,6480,6508,6536,6565,6593,6622,6650,6684,6719,6753,6788,6822,6857,6891,6925,6960,6994
530530616021014,1273518.94400,302242.86350,2587,Edmonds,Snohomish,7750,7786,7822,7859,7895,7931,7967,8003,8040,8076,8112,8148,8184,8221,8257,8293,8329,8365,8401,8438,8474,8518,8562,8605,8649,8693,8737,8781,8825,8869,8913
