w_geocode,College
530530729011060,Pierce-McChord
530530729011017,Pierce-McChord
530530729011080,Pierce-McChord
530530729011022,Pierce-McChord
530530729011083,Pierce-McChord
530530729011059,Pierce-McChord
530530729011084,Pierce-McChord
530530729011085,Pierce-McChord
530530729011081,Pierce-McChord
530530715044002,Pacific_Lutheran
530530715044010,Pacific_Lutheran
530530715042025,Pacific_Lutheran
530530715041022,Pacific_Lutheran
530530715041028,Pacific_Lutheran
530530715044019,Pacific_Lutheran
530530715044013,Pacific_Lutheran
530530715044014,Pacific_Lutheran
530530715044016,Pacific_Lutheran
530530715041024,Pacific_Lutheran
530530715041020,Pacific_Lutheran
530530715044008,Pacific_Lutheran
530530715044005,Pacific_Lutheran
530530715044006,Pacific_Lutheran
530530715044009,Pacific_Lutheran
530530715043017,Pacific_Lutheran
530530715044000,Pacific_Lutheran
530530715044012,Pacific_Lutheran
530530715041025,Pacific_Lutheran
530530715044017,Pacific_Lutheran
530530715044004,Pacific_Lutheran
530530715044018,Pacific_Lutheran
530530715042021,Pacific_Lutheran
530530715044021,Pacific_Lutheran
530530715043012,Pacific_Lutheran
530530715044015,Pacific_Lutheran
530530715043011,Pacific_Lutheran
530530715042024,Pacific_Lutheran
530530715042020,Pacific_Lutheran
530530715044007,Pacific_Lutheran
530530715044011,Pacific_Lutheran
530530715044001,Pacific_Lutheran
530530715044022,Pacific_Lutheran
530530715041023,Pacific_Lutheran
530530715041027,Pacific_Lutheran
530530715041026,Pacific_Lutheran
530530715044020,Pacific_Lutheran
530530715044003,Pacific_Lutheran
530530715041018,Pacific_Lutheran
530530715041021,Pacific_Lutheran
530530712091002,Pierce-Puyallup
530530712071003,Pierce-Puyallup
530530712091010,Pierce-Puyallup
530530712093002,Pierce-Puyallup
530530712091007,Pierce-Puyallup
530530712093006,Pierce-Puyallup
530530712093008,Pierce-Puyallup
530530712093001,Pierce-Puyallup
530530712093010,Pierce-Puyallup
530530712091012,Pierce-Puyallup
530530712092004,Pierce-Puyallup
530530712091000,Pierce-Puyallup
530530712092002,Pierce-Puyallup
530530712091011,Pierce-Puyallup
530530712091001,Pierce-Puyallup
530530712093005,Pierce-Puyallup
530530712091009,Pierce-Puyallup
530530712093004,Pierce-Puyallup
530530712092000,Pierce-Puyallup
530530712071000,Pierce-Puyallup
530530712093007,Pierce-Puyallup
530530712093003,Pierce-Puyallup
530530712091003,Pierce-Puyallup
530530712091006,Pierce-Puyallup
530530712092001,Pierce-Puyallup
530350806005006,Oympic-Bremerton
530350806005009,Oympic-Bremerton
530350806005000,Oympic-Bremerton
530350806005001,Oympic-Bremerton
530350806005005,Oympic-Bremerton
530350806005010,Oympic-Bremerton
530350806005004,Oympic-Bremerton
530350806005012,Oympic-Bremerton
530350806005003,Oympic-Bremerton
530350806005008,Oympic-Bremerton
530350806005011,Oympic-Bremerton
530350806005007,Oympic-Bremerton
530350805001002,Oympic-Bremerton
530350806005013,Oympic-Bremerton
