,pollutantID,county,veh_type,ratePerVehicle2018,ratePerVehicle2030,ratePerVehicle_diff,ratePerVehicle
0,1,king,heavy,1.690852716,1.7025993119000002,0.011746595900000267,1.6918315989916666
1,1,king,light,3.591524229,2.2764947896,-1.3150294394,3.4819384423833335
2,1,king,medium,5.966836232,4.207325517999998,-1.759510714000002,5.820210339166667
3,1,king,transit,5.788727861000002,5.728456260000001,-0.06027160100000106,5.783705227583335
4,1,kitsap,heavy,1.685317865,1.6970639110999999,0.011746046099999852,1.686296702175
5,1,kitsap,light,4.381130371,2.5129727765,-1.8681575945000004,4.2254505714583335
6,1,kitsap,medium,6.8698774149999995,4.377514907999998,-2.492362507000001,6.662180539416666
7,1,kitsap,transit,5.768976501000001,5.709871078999999,-0.059105422000001795,5.764051049166667
8,1,pierce,heavy,1.6988562329999999,1.7106020903,0.011745857300000218,1.6998350544416665
9,1,pierce,light,3.9360577169999997,2.412955201999999,-1.5231025150000006,3.8091325074166664
10,1,pierce,medium,6.433164907,4.349582209000001,-2.083582697999999,6.259533015500001
11,1,pierce,transit,5.811805683999999,5.750091519,-0.06171416499999971,5.806662836916666
12,1,snohomish,heavy,1.730376576,1.7421234890000004,0.011746913000000303,1.7313554854166668
13,1,snohomish,light,4.130991534000001,2.487763078600001,-1.6432284554000005,3.994055829383335
14,1,snohomish,medium,6.627903052,4.402967565999999,-2.2249354860000006,6.4424917614999995
15,1,snohomish,transit,5.88290623,5.817117037999999,-0.06578919200000044,5.877423797333333
16,2,king,heavy,6.059115299999998,3.5480123000000003,-2.511102999999998,5.8498567166666655
17,2,king,light,37.4708850488,21.976727823999994,-15.494157224800006,36.17970528006666
18,2,king,medium,66.23782285099999,24.855161880000004,-41.382660970999986,62.78926777008333
19,2,king,transit,51.16413028,28.00312632,-23.161003960000002,49.23404661666667
20,2,kitsap,heavy,6.058673399999998,3.5478715999999997,-2.5108017999999985,5.849439916666665
21,2,kitsap,light,45.74430957740001,24.984442990800005,-20.759866586600005,44.01432069518334
22,2,kitsap,medium,82.42880196500002,30.794304990000008,-51.63449697500001,78.12592721708336
23,2,kitsap,transit,51.14692777,27.98845877,-23.158468999999997,49.21705535333333
24,2,pierce,heavy,6.0591461,3.5480214,-2.5111247000000003,5.849885708333334
25,2,pierce,light,41.344206832999994,23.7039848763,-17.640221956699992,39.87418833660833
26,2,pierce,medium,75.36848173700001,28.228532830000002,-47.139948907000004,71.44015266141668
27,2,pierce,transit,51.18664789,28.022300219999998,-23.164347670000005,49.25628558416667
28,2,snohomish,heavy,6.059042800000001,3.5479766,-2.511066200000001,5.849787283333335
29,2,snohomish,light,42.78526164840001,24.386612976999995,-18.398648671400014,41.25204092578334
30,2,snohomish,medium,77.30236726500003,28.653350459999988,-48.649016805000045,73.24828253125003
31,2,snohomish,transit,51.245780030000006,28.07265281,-23.173127220000005,49.314686095000006
32,3,king,heavy,1.301671621072966,2.5309624003547353,1.2292907792817693,1.4041125193464468
33,3,king,light,2.0362234274,1.2870958256790002,-0.7491276017209998,1.9737961272565834
34,3,king,medium,4.642387113170002,2.7542881894089994,-1.8880989237610022,4.485045536189918
35,3,king,transit,4.2190955274299995,5.938573482350001,1.7194779549200012,4.362385357006667
36,3,kitsap,heavy,1.3015937210645319,2.5308687003545915,1.2292749792900597,1.4040333026720369
37,3,kitsap,light,2.550256680517,1.4427944189599997,-1.1074622615570004,2.4579681587205835
38,3,kitsap,medium,5.472911150640001,2.932706283512999,-2.540204867127002,5.261227411712751
39,3,kitsap,transit,4.2186656101199995,5.938111263569999,1.7194456534499993,4.361952747907499
40,3,pierce,heavy,1.3016763210775455,2.5309680003548154,1.22929167927727,1.4041172943506512
41,3,pierce,light,2.230259556384001,1.364461077756,-0.8657984786280009,2.1581096831650006
42,3,pierce,medium,5.0742150739300005,2.868717516911001,-2.2054975570189996,4.890423610845084
43,3,pierce,transit,4.219595847589999,5.93911920414,1.7195233565500008,4.362889460635833
44,3,snohomish,heavy,1.3016519210906663,2.5309407003550497,1.2292887792643834,1.4040926526960316
45,3,snohomish,light,2.316807394284,1.3950734711489998,-0.9217339231350001,2.23999623402275
46,3,snohomish,medium,5.151906590970002,2.861849002818001,-2.2900575881520013,4.961068458624002
47,3,snohomish,transit,4.22113990925,5.940807171419999,1.7196672621699989,4.364445514430833
48,5,king,heavy,0.5423815000000001,0.6449917999999999,0.10261029999999982,0.5509323583333334
49,5,king,light,0.41762819,0.24577410400000002,-0.171854086,0.4033070161666667
50,5,king,medium,1.18955279,1.00778002,-0.18177277000000003,1.1744050591666666
51,5,king,transit,1.3823182999999999,1.7068473000000002,0.3245290000000003,1.4093623833333333
52,5,kitsap,heavy,0.5406011,0.642892,0.10229090000000007,0.5491253416666666
53,5,kitsap,light,0.52717135,0.27334363500000003,-0.253827715,0.5060190404166667
54,5,kitsap,medium,1.26902166,0.9770213,-0.29200035999999996,1.2446882966666666
55,5,kitsap,transit,1.3768951999999999,1.7000442999999998,0.32314909999999997,1.4038242916666666
56,5,pierce,heavy,0.5449482,0.6480239999999999,0.10307579999999994,0.55353785
57,5,pierce,light,0.46647735999999995,0.261624727,-0.20485263299999995,0.44940630724999997
58,5,pierce,medium,1.23986415,1.00870693,-0.23115722000000005,1.2206010483333334
59,5,pierce,transit,1.3885664999999998,1.7146457999999996,0.32607929999999974,1.4157397749999998
60,5,snohomish,heavy,0.5550412999999998,0.6599632,0.10492190000000012,0.5637847916666665
61,5,snohomish,light,0.48925623999999995,0.26922806,-0.22002817999999996,0.4709205583333333
