day,fhtindx1,fhtindx2,hhno,id,jtindex,parent,pdpurp,person_day_id,person_id,phtindx1,phtindx2,pno,subtrs,tardest,tarorig,tautocost,tautodist,tautotime,tdadtyp,tdpcl,tdtaz,tlvdest,tlvorig,tmodetp,toadtyp,toexpfac,topcl,totaz,tour,tpathtp,tripsh1,tripsh2
1,0,0,14101317,6018,0,0,4,4562,4562,0,0,1,0,1065,1140,0.225185757576,1.12592878788,5.08816378121,4,1125888,1674,1110,1060,4,1,346.170859428,1126731,1681,1,1,2,4
1,0,0,14101317,6020,0,0,1,4563,4563,0,0,2,1,480,1020,1.819,9.095,25.67,2,749199,1517,990,450,3,1,321.561120477,1126731,1681,1,1,2,2
1,0,0,14101317,6021,0,1,6,4563,4563,0,0,2,0,680,725,0.231937777778,1.15968888889,7.4240797619,3,740458,1511,720,675,3,2,321.561120477,749199,1517,2,1,2,2
1,0,0,14101317,6022,0,0,2,4564,4564,0,0,3,0,690,840,1.749,8.745,24.865,3,740439,1512,720,640,6,1,470.447921687,1126731,1681,1,3,2,4
1,0,0,14101317,6023,0,0,4,4564,4564,0,0,3,0,1065,1140,0.225185757576,1.12592878788,5.08816378121,4,1125888,1674,1110,1060,4,1,470.447921687,1126731,1681,2,1,2,4
1,0,0,14101316,6016,0,0,1,4560,4560,0,0,1,1,420,1035,1.882,9.41,24.91,2,890786,1582,915,400,3,1,280.389396694,1150070,1938,1,1,2,4
1,0,0,14101316,6017,0,1,7,4560,4560,0,0,1,0,760,770,0.118399772727,0.591998863636,5.19297248804,4,890744,1565,760,750,1,2,280.389396694,890786,1582,2,1,2,2
1,0,0,14101314,6015,0,0,4,4556,4556,0,0,1,0,280,1090,1.439,7.195,15.695,4,275465,3492,1060,270,3,1,367.211364386,263584,3472,1,1,2,4
1,0,0,14101313,6012,0,0,7,4554,4554,0,0,1,0,830,980,0.574608181818,2.87304090909,9.66072346923,4,783695,1998,975,825,3,1,175.74574343,1204294,1991,1,1,2,2
1,0,0,14101313,6013,0,0,7,4554,4554,0,0,1,0,1170,1200,0.101628787879,0.508143939394,3.16612762238,4,752182,1991,1170,1135,1,1,175.74574343,1204294,1991,2,1,2,2
1,0,0,14101313,6014,0,0,1,4555,4555,0,0,2,0,325,930,6.971,34.855,44.895,2,902738,873,840,285,3,1,166.816897117,1204294,1991,1,1,2,4
1,0,0,14101312,6005,0,0,1,4550,4550,0,0,1,0,845,975,7.451,37.255,68.145,4,1161533,983,910,720,3,1,590.705792647,646416,3309,1,1,6,2
1,0,0,14101312,6006,0,0,3,4551,4551,0,0,2,0,435,450,0.858,4.29,10.305,4,624144,3296,435,425,4,1,613.725923491,646416,3309,1,1,2,2
1,0,0,14101312,6007,0,0,3,4551,4551,0,0,2,0,495,535,0.858,4.29,10.26,4,624144,3296,495,485,5,1,613.725923491,646416,3309,2,1,2,6
1,0,0,14101312,6008,0,0,3,4551,4551,0,0,2,0,905,945,1.347,6.735,17.21,4,636936,3162,920,890,5,1,613.725923491,646416,3309,3,1,2,2
1,0,0,14101312,6009,0,0,4,4551,4551,0,0,2,0,1005,1140,0.646,3.23,10.605,4,651841,3307,1090,990,3,1,613.725923491,646416,3309,4,1,2,6
