MOVESScenarioID,MOVESRunID,yearID,monthID,dayID,hourID,linkID,pollutantID,processID,sourceTypeID,regClassID,SCC,fuelTypeID,modelYearID,roadTypeID,avgSpeedBinID,temperature,relHumidity,ratePerDistance
1,2,2016,1,5,9,530330201,1,1,0,0,,0,0,2,1,36.4,85.8,3.56562
1,2,2016,1,5,9,530330201,2,1,0,0,,0,0,2,1,36.4,85.8,13.078
1,2,2016,1,5,9,530330201,3,1,0,0,,0,0,2,1,36.4,85.8,49.4534
1,2,2016,1,5,9,530330201,5,1,0,0,,0,0,2,1,36.4,85.8,0.449002
1,2,2016,1,5,9,530330201,6,1,0,0,,0,0,2,1,36.4,85.8,0.0330822
1,2,2016,1,5,9,530330201,31,1,0,0,,0,0,2,1,36.4,85.8,0.0677302
1,2,2016,1,5,9,530330201,79,1,0,0,,0,0,2,1,36.4,85.8,3.11662
1,2,2016,1,5,9,530330201,87,1,0,0,,0,0,2,1,36.4,85.8,3.56094
1,2,2016,1,5,9,530330201,91,1,0,0,,0,0,2,1,36.4,85.8,0.101708
1,2,2016,1,5,9,530330201,110,1,0,0,,0,0,2,1,36.4,85.8,1.43434
1,2,2016,1,5,9,530330201,110,15,0,0,,0,0,2,1,36.4,85.8,0.87698
1,2,2016,1,5,9,530330201,112,1,0,0,,0,0,2,1,36.4,85.8,0.498054
1,2,2016,1,5,9,530330201,112,15,0,0,,0,0,2,1,36.4,85.8,0.00582903
1,2,2016,1,5,9,530330201,115,1,0,0,,0,0,2,1,36.4,85.8,0.0652562
1,2,2016,1,5,9,530330201,115,15,0,0,,0,0,2,1,36.4,85.8,0.045331
1,2,2016,1,5,9,530330201,118,1,0,0,,0,0,2,1,36.4,85.8,0.936283
1,2,2016,1,5,9,530330201,118,15,0,0,,0,0,2,1,36.4,85.8,0.871151
1,2,2016,1,5,9,530330201,119,1,0,0,,0,0,2,1,36.4,85.8,0
1,2,2016,1,5,9,530330201,119,15,0,0,,0,0,2,1,36.4,85.8,0
1,2,2016,1,5,9,530330201,2,15,0,0,,0,0,2,1,36.4,85.8,0.143673
1,2,2016,1,5,9,530330201,3,15,0,0,,0,0,2,1,36.4,85.8,0.0346454
1,2,2016,1,5,9,530330201,87,15,0,0,,0,0,2,1,36.4,85.8,0.116593
1,2,2016,1,5,9,530330201,90,1,0,0,,0,0,2,1,36.4,85.8,7904.4
1,2,2016,1,5,9,530330201,98,1,0,0,,0,0,2,1,36.4,85.8,7925.48
1,2,2016,1,5,9,530330201,100,1,0,0,,0,0,2,1,36.4,85.8,1.55907
