,pollutantID,county,veh_type,ratePerVehicle
150,98,kitsap,medium,760.0898400000001
151,98,kitsap,transit,623.74897
152,98,pierce,heavy,215.93891
153,98,pierce,light,588.0996099999999
154,98,pierce,medium,750.4588399999998
155,98,pierce,transit,626.31556
156,98,snohomish,heavy,217.47227999999998
157,98,snohomish,light,593.47747
158,98,snohomish,medium,758.8146900000002
159,98,snohomish,transit,630.1711700000001
160,100,king,heavy,0.0157508558
161,100,king,light,0.09405767487
162,100,king,medium,0.12835235649000004
163,100,king,transit,0.1276840469
164,100,kitsap,heavy,0.0157508619
165,100,kitsap,light,0.11699509881999999
166,100,kitsap,medium,0.15431285307000003
167,100,kitsap,transit,0.1269473994
168,100,pierce,heavy,0.015751095900000005
169,100,pierce,light,0.10903737715999999
170,100,pierce,medium,0.1448451449
171,100,pierce,transit,0.12864215110000002
172,100,snohomish,heavy,0.015751909400000003
173,100,snohomish,light,0.1099328301
174,100,snohomish,medium,0.14729902638
175,100,snohomish,transit,0.1312063709
176,110,king,heavy,0.014488925700000002
177,110,king,light,0.08322882724000003
178,110,king,medium,0.11373286485
179,110,king,transit,0.1138604294
180,110,kitsap,heavy,0.0144889327
181,110,kitsap,light,0.10352345930000001
182,110,kitsap,medium,0.13671579710999995
183,110,kitsap,transit,0.11320889560000001
184,110,pierce,heavy,0.014489138899999999
185,110,pierce,light,0.09648258443999999
186,110,pierce,medium,0.12833586523000004
187,110,pierce,transit,0.11470801400000001
188,110,snohomish,heavy,0.014489857700000002
189,110,snohomish,light,0.09727479378000001
190,110,snohomish,medium,0.13050602642
191,110,snohomish,transit,0.11697649289999999
192,112,king,heavy,0.004852791174
193,112,king,light,0.044003052696000015
194,112,king,medium,0.056484890010000004
195,112,king,transit,0.047573913819999994
196,112,kitsap,heavy,0.0048528506959999995
197,112,kitsap,light,0.05126231827
198,112,kitsap,medium,0.06539842786000001
199,112,kitsap,transit,0.047282972220000004
200,112,pierce,heavy,0.004852881911
201,112,pierce,light,0.04869982401
202,112,pierce,medium,0.06200425966000001
203,112,pierce,transit,0.04795234738000001
204,112,snohomish,heavy,0.004853221599
205,112,snohomish,light,0.04909598294
206,112,snohomish,medium,0.06308007093999997
207,112,snohomish,transit,0.048965118120000005
208,115,king,heavy,0.00283836951
209,115,king,light,0.0008440965492999999
210,115,king,medium,0.002130193347
211,115,king,transit,0.004826856532999998
212,115,kitsap,heavy,0.00283823103
213,115,kitsap,light,0.0008949212625999998
214,115,kitsap,medium,0.002134925726999999
215,115,kitsap,transit,0.004823659498
216,115,pierce,heavy,0.00283837516
217,115,pierce,light,0.0008817701993000004
218,115,pierce,medium,0.002159770360999999
219,115,pierce,transit,0.004831014817
220,115,snohomish,heavy,0.0028383377999999996
221,115,snohomish,light,0.0008937666496999999
222,115,snohomish,medium,0.002169709461999999
223,115,snohomish,transit,0.004842150242000001
224,118,king,heavy,0.0096361333
225,118,king,light,0.03922578800599999
226,118,king,medium,0.05724789648000001
227,118,king,transit,0.0662865355
228,118,kitsap,heavy,0.009636090199999997
229,118,kitsap,light,0.052261208219999994
230,118,kitsap,medium,0.07131735117
231,118,kitsap,transit,0.0659259123
232,118,pierce,heavy,0.009636252400000002
233,118,pierce,light,0.047782794770000005
234,118,pierce,medium,0.06633158788
235,118,pierce,transit,0.0667556691
236,118,snohomish,heavy,0.009636640500000003
237,118,snohomish,light,0.04817887701000001
238,118,snohomish,medium,0.06742595764000003
239,118,snohomish,transit,0.06801125559999997
240,119,king,heavy,0.0
241,119,king,light,0.0
242,119,king,medium,0.0
243,119,king,transit,0.0
244,119,kitsap,heavy,0.0
245,119,kitsap,light,0.0
246,119,kitsap,medium,0.0
247,119,kitsap,transit,0.0
248,119,pierce,heavy,0.0
249,119,pierce,light,0.0
250,119,pierce,medium,0.0
251,119,pierce,transit,0.0
252,119,snohomish,heavy,0.0
253,119,snohomish,light,0.0
254,119,snohomish,medium,0.0
255,119,snohomish,transit,0.0
