,pollutant_name,veh_type,total_daily_tons,vmt,city
32,PM10 Brakewear,medium,0,85870.41575,Auburn
33,PM10 Exhaust,heavy,0.02178562,65835.77341,Auburn
34,PM10 Exhaust,light,0.015940894,1822554.446,Auburn
35,PM10 Exhaust,medium,0.003963614,85870.41575,Auburn
36,PM10 Tirewear,heavy,0,65835.77341,Auburn
37,PM10 Tirewear,light,0,1822554.446,Auburn
38,PM10 Tirewear,medium,0,85870.41575,Auburn
39,PM10 Total,heavy,0.035210461,197507.3202,Auburn
40,PM10 Total,light,0.105023719,5467663.338,Auburn
41,PM10 Total,medium,0.009721178,257611.2473,Auburn
42,PM25 Brakewear,heavy,0,65835.77341,Auburn
43,PM25 Brakewear,light,0,1822554.446,Auburn
44,PM25 Brakewear,medium,0,85870.41575,Auburn
45,PM25 Exhaust,heavy,0.020042633,65835.77341,Auburn
46,PM25 Exhaust,light,0.01420626,1822554.446,Auburn
47,PM25 Exhaust,medium,0.003589422,85870.41575,Auburn
48,PM25 Tirewear,heavy,0,65835.77341,Auburn
49,PM25 Tirewear,light,0,1822554.446,Auburn
50,PM25 Tirewear,medium,0,85870.41575,Auburn
51,PM25 Total,heavy,0.021780612,197507.3202,Auburn
52,PM25 Total,light,0.025853739,5467663.338,Auburn
53,PM25 Total,medium,0.00433807,257611.2473,Auburn
54,Sulfate Particulate,heavy,0.000794944,65835.77341,Auburn
55,Sulfate Particulate,light,0.000368816,1822554.446,Auburn
56,Sulfate Particulate,medium,0.000184992,85870.41575,Auburn
57,Total Energy,heavy,1778421.987,65835.77341,Auburn
58,Total Energy,light,10853441.71,1822554.446,Auburn
59,Total Energy,medium,854905.1163,85870.41575,Auburn
60,Total Gaseous HCs,heavy,0.02882035,65835.77341,Auburn
61,Total Gaseous HCs,light,0.408422789,1822554.446,Auburn
62,Total Gaseous HCs,medium,0.072741071,85870.41575,Auburn
63,VOCs,heavy,0.02642388,65835.77341,Auburn
64,VOCs,light,0.284390907,1822554.446,Auburn
65,VOCs,medium,0.046460786,85870.41575,Auburn
0,Atmospheric CO2,heavy,0.000197407,0,Beaux Arts
1,Atmospheric CO2,light,0.411383396,463.8496716,Beaux Arts
2,Atmospheric CO2,medium,0.028040164,7.288847027,Beaux Arts
3,CO,heavy,6.27E-06,0,Beaux Arts
4,CO,light,0.012050585,463.8496716,Beaux Arts
5,CO,medium,0.002376351,7.288847027,Beaux Arts
6,CO2 Equivalent,heavy,0.000222926,0,Beaux Arts
7,CO2 Equivalent,light,0.427169557,463.8496716,Beaux Arts
8,CO2 Equivalent,medium,0.032792421,7.288847027,Beaux Arts
9,Composite NonECPM,heavy,9.97E-09,0,Beaux Arts
10,Composite NonECPM,light,1.25E-05,463.8496716,Beaux Arts
11,Composite NonECPM,medium,2.16E-06,7.288847027,Beaux Arts
12,Elemental Carbon,heavy,5.02E-09,0,Beaux Arts
13,Elemental Carbon,light,1.29E-05,463.8496716,Beaux Arts
14,Elemental Carbon,medium,2.23E-06,7.288847027,Beaux Arts
15,H20 Aerosol,heavy,0,0,Beaux Arts
16,H20 Aerosol,light,0,463.8496716,Beaux Arts
17,H20 Aerosol,medium,0,7.288847027,Beaux Arts
18,Methane,heavy,5.61E-07,0,Beaux Arts
19,Methane,light,0.000122342,463.8496716,Beaux Arts
20,Methane,medium,4.26E-05,7.288847027,Beaux Arts
21,N20,heavy,3.86E-08,0,Beaux Arts
22,N20,light,4.27E-05,463.8496716,Beaux Arts
23,N20,medium,1.24E-05,7.288847027,Beaux Arts
24,NOx,heavy,1.35E-06,0,Beaux Arts
25,NOx,light,0.000757177,463.8496716,Beaux Arts
26,NOx,medium,0.000179306,7.288847027,Beaux Arts
27,Non-methane HCs,heavy,1.19E-06,0,Beaux Arts
28,Non-methane HCs,light,0.000891454,463.8496716,Beaux Arts
29,Non-methane HCs,medium,0.000170192,7.288847027,Beaux Arts
30,PM10 Brakewear,heavy,0,0,Beaux Arts
31,PM10 Brakewear,light,0,463.8496716,Beaux Arts
32,PM10 Brakewear,medium,0,7.288847027,Beaux Arts
33,PM10 Exhaust,heavy,1.63E-08,0,Beaux Arts
34,PM10 Exhaust,light,2.86E-05,463.8496716,Beaux Arts
35,PM10 Exhaust,medium,4.94E-06,7.288847027,Beaux Arts
36,PM10 Tirewear,heavy,0,0,Beaux Arts
37,PM10 Tirewear,light,0,463.8496716,Beaux Arts
38,PM10 Tirewear,medium,0,7.288847027,Beaux Arts
39,PM10 Total,heavy,1.63E-08,0,Beaux Arts
40,PM10 Total,light,7.61E-05,1391.549015,Beaux Arts
41,PM10 Total,medium,6.24E-06,21.86654108,Beaux Arts
42,PM25 Brakewear,heavy,0,0,Beaux Arts
43,PM25 Brakewear,light,0,463.8496716,Beaux Arts
44,PM25 Brakewear,medium,0,7.288847027,Beaux Arts
45,PM25 Exhaust,heavy,1.50E-08,0,Beaux Arts
46,PM25 Exhaust,light,2.54E-05,463.8496716,Beaux Arts
47,PM25 Exhaust,medium,4.39E-06,7.288847027,Beaux Arts
48,PM25 Tirewear,heavy,0,0,Beaux Arts
49,PM25 Tirewear,light,0,463.8496716,Beaux Arts
50,PM25 Tirewear,medium,0,7.288847027,Beaux Arts
51,PM25 Total,heavy,1.50E-08,0,Beaux Arts
52,PM25 Total,light,3.15E-05,1391.549015,Beaux Arts
53,PM25 Total,medium,4.56E-06,21.86654108,Beaux Arts
54,Sulfate Particulate,heavy,2.94E-09,0,Beaux Arts
55,Sulfate Particulate,light,3.46E-07,463.8496716,Beaux Arts
56,Sulfate Particulate,medium,1.02E-07,7.288847027,Beaux Arts
57,Total Energy,heavy,2.684364307,0,Beaux Arts
58,Total Energy,light,5721.453449,463.8496716,Beaux Arts
59,Total Energy,medium,388.1538216,7.288847027,Beaux Arts
60,Total Gaseous HCs,heavy,1.75E-06,0,Beaux Arts
61,Total Gaseous HCs,light,0.001015231,463.8496716,Beaux Arts
62,Total Gaseous HCs,medium,0.00021308,7.288847027,Beaux Arts
63,VOCs,heavy,4.33E-07,0,Beaux Arts
64,VOCs,light,0.00061598,463.8496716,Beaux Arts
65,VOCs,medium,0.000121835,7.288847027,Beaux Arts
0,Atmospheric CO2,heavy,179.2757781,88391.75712,Bellevue
1,Atmospheric CO2,light,1662.218958,3879024.978,Bellevue
2,Atmospheric CO2,medium,145.4239748,203930.0093,Bellevue
3,CO,heavy,0.3040894,88391.75712,Bellevue
4,CO,light,16.74580488,3879024.978,Bellevue
5,CO,medium,1.987381679,203930.0093,Bellevue
6,CO2 Equivalent,heavy,179.556512,88391.75712,Bellevue
7,CO2 Equivalent,light,1674.518889,3879024.978,Bellevue
8,CO2 Equivalent,medium,148.3019711,203930.0093,Bellevue
9,Composite NonECPM,heavy,0.006608959,88391.75712,Bellevue
10,Composite NonECPM,light,0.015928859,3879024.978,Bellevue
11,Composite NonECPM,medium,0.00321116,203930.0093,Bellevue
12,Elemental Carbon,heavy,0.021172723,88391.75712,Bellevue
13,Elemental Carbon,light,0.012261901,3879024.978,Bellevue
14,Elemental Carbon,medium,0.00473534,203930.0093,Bellevue
15,H20 Aerosol,heavy,0,88391.75712,Bellevue
16,H20 Aerosol,light,0,3879024.978,Bellevue
17,H20 Aerosol,medium,0,203930.0093,Bellevue
18,Methane,heavy,0.00792427,88391.75712,Bellevue
19,Methane,light,0.116166996,3879024.978,Bellevue
20,Methane,medium,0.030563654,203930.0093,Bellevue
21,N20,heavy,0.000277323,88391.75712,Bellevue
22,N20,light,0.031532203,3879024.978,Bellevue
23,N20,medium,0.007093597,203930.0093,Bellevue
24,NOx,heavy,0.97952163,88391.75712,Bellevue
25,NOx,light,1.795153481,3879024.978,Bellevue
26,NOx,medium,0.360152571,203930.0093,Bellevue
27,Non-methane HCs,heavy,0.033719891,88391.75712,Bellevue
28,Non-methane HCs,light,0.677731342,3879024.978,Bellevue
29,Non-methane HCs,medium,0.115097478,203930.0093,Bellevue
30,PM10 Brakewear,heavy,0,88391.75712,Bellevue
31,PM10 Brakewear,light,0,3879024.978,Bellevue
32,PM10 Brakewear,medium,0,203930.0093,Bellevue
33,PM10 Exhaust,heavy,0.030197683,88391.75712,Bellevue
34,PM10 Exhaust,light,0.031614638,3879024.978,Bellevue
35,PM10 Exhaust,medium,0.008760521,203930.0093,Bellevue
36,PM10 Tirewear,heavy,0,88391.75712,Bellevue
37,PM10 Tirewear,light,0,3879024.978,Bellevue
38,PM10 Tirewear,medium,0,203930.0093,Bellevue
39,PM10 Total,heavy,0.051812906,265175.2714,Bellevue
40,PM10 Total,light,0.222394059,11637074.93,Bellevue
41,PM10 Total,medium,0.023116661,611790.0278,Bellevue
42,PM25 Brakewear,heavy,0,88391.75712,Bellevue
43,PM25 Brakewear,light,0,3879024.978,Bellevue
44,PM25 Brakewear,medium,0,203930.0093,Bellevue
45,PM25 Exhaust,heavy,0.027781674,88391.75712,Bellevue
46,PM25 Exhaust,light,0.028190765,3879024.978,Bellevue
47,PM25 Exhaust,medium,0.0079465,203930.0093,Bellevue
48,PM25 Tirewear,heavy,0,88391.75712,Bellevue
49,PM25 Tirewear,light,0,3879024.978,Bellevue
50,PM25 Tirewear,medium,0,203930.0093,Bellevue
51,PM25 Total,heavy,0.030565955,265175.2714,Bellevue
52,PM25 Total,light,0.053119322,11637074.93,Bellevue
53,PM25 Total,medium,0.009809855,611790.0278,Bellevue
54,Sulfate Particulate,heavy,0.001110949,88391.75712,Bellevue
55,Sulfate Particulate,light,0.000756521,3879024.978,Bellevue
56,Sulfate Particulate,medium,0.000426544,203930.0093,Bellevue
57,Total Energy,heavy,2435864.942,88391.75712,Bellevue
58,Total Energy,light,23116097.27,3879024.978,Bellevue
59,Total Energy,medium,2007116.489,203930.0093,Bellevue
60,Total Gaseous HCs,heavy,0.041644307,88391.75712,Bellevue
61,Total Gaseous HCs,light,0.794595894,3879024.978,Bellevue
62,Total Gaseous HCs,medium,0.145782374,203930.0093,Bellevue
63,VOCs,heavy,0.037933106,88391.75712,Bellevue
64,VOCs,light,0.560434052,3879024.978,Bellevue
65,VOCs,medium,0.095020529,203930.0093,Bellevue
0,Atmospheric CO2,heavy,1.087998454,497.3734014,Black Diamond
1,Atmospheric CO2,light,23.28349722,47766.60392,Black Diamond
2,Atmospheric CO2,medium,1.386082284,1444.787346,Black Diamond
3,CO,heavy,0.002032434,497.3734014,Black Diamond
4,CO,light,0.315485709,47766.60392,Black Diamond
5,CO,medium,0.042252317,1444.787346,Black Diamond
6,CO2 Equivalent,heavy,1.090268004,497.3734014,Black Diamond
