pollutant_name,veh_type,total_daily_tons,vmt
Atmospheric CO2,heavy,2941.940978257489,1448028.9695875016
Atmospheric CO2,light,18407.965522926774,43434407.868751526
Atmospheric CO2,medium,1420.7118197933755,2076261.6498921218
CO,heavy,4.824301440062778,1448028.9695875016
CO,light,141.6353097182583,43434407.868751526
CO,medium,9.458609574102049,2076261.6498921218
CO2 Equivalent,heavy,2946.1795614083,1448028.9695875016
CO2 Equivalent,light,18473.304831868045,43434407.868751526
CO2 Equivalent,medium,1428.1325870710043,2076261.6498921218
Composite NonECPM,heavy,0.1067448700619787,1448028.9695875016
Composite NonECPM,light,0.1301158532523974,43434407.868751526
Composite NonECPM,medium,0.0244959430224071,2076261.6498921218
Elemental Carbon,heavy,0.3418627962728712,1448028.9695875016
Elemental Carbon,light,0.0796346108905467,43434407.868751526
Elemental Carbon,medium,0.0409311800342183,2076261.6498921218
H20 Aerosol,heavy,0.0,1448028.9695875016
H20 Aerosol,light,0.0,43434407.868751526
H20 Aerosol,medium,0.0,2076261.6498921218
Methane,heavy,0.1208022457798674,1448028.9695875016
Methane,light,0.7583364057061063,43434407.868751526
Methane,medium,0.1210073378368097,2076261.6498921218
N20,heavy,0.0040888386620465,1448028.9695875016
N20,light,0.1556622759190858,43434407.868751526
N20,medium,0.0147497271317175,2076261.6498921218
NOx,heavy,15.999533823992966,1448028.9695875016
NOx,light,17.502250052452737,43434407.868751526
NOx,medium,3.004245364905858,2076261.6498921218
Non-methane HCs,heavy,0.5292238515143215,1448028.9695875016
Non-methane HCs,light,3.370582964606569,43434407.868751526
Non-methane HCs,medium,0.3970250823660104,2076261.6498921218
PM10 Brakewear,heavy,0.0,1448028.9695875016
PM10 Brakewear,light,0.0,43434407.868751526
PM10 Brakewear,medium,0.0,2076261.6498921218
PM10 Exhaust,heavy,0.4876201839996764,1448028.9695875016
PM10 Exhaust,light,0.2341795511597927,43434407.868751526
PM10 Exhaust,medium,0.0716021940546413,2076261.6498921218
PM10 Tirewear,heavy,0.0,1448028.9695875016
PM10 Tirewear,light,0.0,43434407.868751526
PM10 Tirewear,medium,0.0,2076261.6498921218
PM10 Total,heavy,0.8081848956862426,4344086.908762505
PM10 Total,light,2.553119187388718,130303223.60625458
PM10 Total,medium,0.2303602385398019,6228784.949676365
PM25 Brakewear,heavy,0.0,1448028.9695875016
PM25 Brakewear,light,0.0,43434407.868751526
PM25 Brakewear,medium,0.0,2076261.6498921218
PM25 Exhaust,heavy,0.4486075813746182,1448028.9695875016
PM25 Exhaust,light,0.2097505552504096,43434407.868751526
PM25 Exhaust,medium,0.0654271162526117,2076261.6498921218
PM25 Tirewear,heavy,0.0,1448028.9695875016
PM25 Tirewear,light,0.0,43434407.868751526
PM25 Tirewear,medium,0.0,2076261.6498921218
PM25 Total,heavy,0.4899884492374344,4344086.908762505
PM25 Total,light,0.5120981283423331,130303223.60625458
PM25 Total,medium,0.0859961290288423,6228784.949676365
Sulfate Particulate,heavy,0.0178622408292621,1448028.9695875016
Sulfate Particulate,light,0.0076344898514462,43434407.868751526
Sulfate Particulate,medium,0.0042450797057345,2076261.6498921218
Total Energy,heavy,39972602.535439946,1448028.9695875016
Total Energy,light,255992632.1235811,43434407.868751526
Total Energy,medium,19599038.96779031,2076261.6498921218
Total Gaseous HCs,heavy,0.650026152247668,1448028.9695875016
Total Gaseous HCs,light,4.129236483604695,43434407.868751526
Total Gaseous HCs,medium,0.5180878306920037,2076261.6498921218
VOCs,heavy,0.6020981088408667,1448028.9695875016
VOCs,light,3.525544778209887,43434407.868751526
VOCs,medium,0.4245150162453144,2076261.6498921218
