pollutant_name,veh_type,total_daily_tons_2018,total_daily_tons_2019,total_daily_tons_2020,total_daily_tons_2030,total_daily_tons_2040,total_daily_tons_2050,county
Methane,heavy,0.1109236753826766,0.1255922646450889,0.1402608539075011,0.2869467465316234,0.3609895775718072,0.4182130358978047,king
Methane,light,1.5098293004986802,1.4567783434191697,1.403727386339659,0.8732178155445532,0.7025057193986509,0.6963150159967509,king
Methane,medium,0.404292665997245,0.4078082790288341,0.4113238920604231,0.4464800223763138,0.4692263889778596,0.4994233401369637,king
N20,heavy,0.0038160572317028,0.0039046698596031,0.0039932824875034,0.004879408766506,0.0057169050481365,0.0065115130276001,king
N20,light,0.4222010526268616,0.4092097634137418,0.3962184742006219,0.2663055820694236,0.2719146916921778,0.2941952615064305,king
N20,medium,0.0992671415732316,0.096210105314522,0.0931530690558125,0.062582706468717,0.0638071565867572,0.0688449508756847,king
Atmospheric CO2,heavy,2870.50925879378,2863.3261215610946,2856.14298432841,2784.3116120015607,2760.394368197856,2962.143452468617,king
Atmospheric CO2,light,18974.290036271657,18661.02265352529,18347.75527077892,15215.081443315246,14657.856608699503,15337.887130238028,king
Atmospheric CO2,medium,1525.914913074663,1510.786176336608,1495.6574395985529,1344.3700722180015,1300.1074840555648,1311.1938825648854,king
CO2 Equivalent,heavy,2874.4192253097526,2867.629412166037,2860.8395990223216,2792.941467585168,2771.125487261067,2974.535046472949,king
CO2 Equivalent,light,19137.844155907267,18819.379412870745,18500.914669834223,15316.267239468998,14756.438865783826,15442.964049622657,king
CO2 Equivalent,medium,1565.603736681371,1549.651881192501,1533.700025703631,1374.18147081493,1330.852178169648,1344.1948303967808,king
Methane,heavy,0.0050919323803076,0.0057295782742332,0.0063672241681589,0.0127436831074156,0.0156214518167251,0.0178806798687634,kitsap
Methane,light,0.2550449088062972,0.2447197372329881,0.2343945656596789,0.1311428499265878,0.1005782851989215,0.0955489012293221,kitsap
Methane,medium,0.0521898346099116,0.0520486272901525,0.0519074199703933,0.0504953467728016,0.0517979780961084,0.0544959185300573,kitsap
N20,heavy,0.0001903661890476,0.0001965879825842,0.0002028097761208,0.0002650277114865,0.0003061418168646,0.0003442349175455,kitsap
N20,light,0.0674458665373689,0.0648864811332007,0.0623270957290325,0.0367332416873508,0.0358443851330293,0.0386579423875756,kitsap
N20,medium,0.0145372684230421,0.0140228992985494,0.0135085301740568,0.0083648389291301,0.008135640802524,0.0087399090697876,kitsap
Atmospheric CO2,heavy,143.2056881783739,142.98377860447644,142.761869030579,140.54277329160448,136.24981904251604,144.80955291076148,kitsap
Atmospheric CO2,light,1977.53655265144,1955.204233783842,1932.8719149162444,1709.5487262402671,1658.424222003931,1741.0583662811891,kitsap
Atmospheric CO2,medium,128.26490404691577,127.356430215429,126.44795638394224,117.3632180690747,119.031452497886,117.85189790390778,kitsap
CO2 Equivalent,heavy,143.3896856804592,143.1855877700516,142.981489859644,140.94051075556806,136.73161185964736,145.35909217610634,kitsap
CO2 Equivalent,light,2004.011238240209,1980.6580682701249,1957.3048983000408,1723.773198599199,1671.6194311953384,1754.9664297397153,kitsap
CO2 Equivalent,medium,133.9018010602172,132.83650686777162,131.77121267532604,121.11827075087034,122.75080890919756,121.81877976223343,kitsap
Methane,heavy,0.043051865959292,0.0485551430259286,0.0540584200925652,0.109091190758931,0.1429164726315815,0.166768775213448,pierce
Methane,light,0.7156910854204043,0.6891385896910213,0.6625860939616383,0.3970611366678083,0.3142044820015939,0.305333488589528,pierce
Methane,medium,0.159533577743589,0.1598730476672757,0.1602125175909625,0.1636072168278303,0.1699116040383999,0.1809436617437158,pierce
N20,heavy,0.0014820651693996,0.0015145939042998,0.0015471226392,0.0018724099882017,0.0022670720945909,0.0025951894899001,pierce
N20,light,0.2014883214921188,0.194243000517654,0.1869976795431893,0.1145444697985417,0.1139949397394344,0.1233448052454348,pierce
N20,medium,0.0430002208736295,0.0415512196501855,0.0401022184267416,0.0256122061923018,0.025413262426852,0.0273855317045967,pierce
Atmospheric CO2,heavy,1081.0243540320837,1078.9004752944556,1076.7765965568274,1055.5378091805464,1078.552999920976,1161.3184370639265,pierce
Atmospheric CO2,light,7632.762062235476,7535.234914491035,7437.707766746593,6462.436289302178,6223.808204672008,6520.752843242478,pierce
Atmospheric CO2,medium,438.9945460935402,435.3545492269657,431.7145523603911,395.3145836946453,388.2429818324765,393.795430540419,pierce
CO2 Equivalent,heavy,1082.542180080278,1080.5656802784135,1078.589180476549,1058.8241824579038,1082.8025371822114,1166.2589953959352,pierce
CO2 Equivalent,light,7710.699492062193,7610.349366729374,7509.999241396556,6506.49798806837,6265.639445351771,6565.146544910526,pierce
CO2 Equivalent,medium,455.79689356652,451.73357468508937,447.6702558036587,407.0370669893521,400.0637648997352,406.4799544890196,pierce
Methane,heavy,0.03706768758642,0.0423060062661431,0.0475443249458661,0.0999275117430967,0.1275796590454529,0.1492500037935216,snohomish
Methane,light,0.6924240573897398,0.6669197387658669,0.6414154201419939,0.3863722339032648,0.3033203589424451,0.2946971242133028,snohomish
Methane,medium,0.1534058964005197,0.1539021764965867,0.1543984565926537,0.1593612575533243,0.166088825602522,0.1773476686453126,snohomish
N20,heavy,0.0012802911902679,0.0013170940941595,0.0013538969980511,0.0017219260369674,0.0020366287122962,0.0023332343184114,snohomish
N20,light,0.1845433949610579,0.1780988557049164,0.1716543164487749,0.1072089238873598,0.1077848784528652,0.1172192462430795,snohomish
N20,medium,0.0404130813758705,0.0390486104620955,0.0376841395483205,0.0240394304105708,0.0239465498705923,0.025831004987136,snohomish
