pollutantID,pollutant_name,veh_type,intrazonal_vmt,interzonal_vmt,start_tons,intrazonal_tons,interzonal_tons,total_daily_tons
1,Total Gaseous HCs,heavy,0,5061.291402319872,0.00034236256852872743,0.0,0.003130865317487905,0.003473227886016632
1,Total Gaseous HCs,light,0,180485.81943283835,0.18607995289453977,0.0,0.01905455281288022,0.20513450570741998
1,Total Gaseous HCs,medium,0,9387.992887322482,0.04109351544155792,0.0,0.002781216750843045,0.04387473219240096
2,CO,heavy,0,5061.291402319872,0.001226845045396438,0.0,0.022234293381905575,0.023461138427302013
2,CO,light,0,180485.81943283835,1.9413987154804235,0.0,0.6284601940147341,2.5698589094951574
2,CO,medium,0,9387.992887322482,0.456178934750215,0.0,0.045521938424600325,0.5017008731748153
3,NOx,heavy,0,5061.291402319872,0.00026356147720881266,0.0,0.06853968396636913,0.06880324544357794
3,NOx,light,0,180485.81943283835,0.10549848345554635,0.0,0.07192232851192022,0.17742081196746656
3,NOx,medium,0,9387.992887322482,0.03197205338025456,0.0,0.015210896298308168,0.04718294967856272
5,Methane,heavy,0,5061.291402319872,0.00010982099251184216,0.0,0.0006399236523210374,0.0007497446448328796
5,Methane,light,0,180485.81943283835,0.021637674972408465,0.0,0.0034914824775136386,0.025129157449922106
5,Methane,medium,0,9387.992887322482,0.008192432981863229,0.0,0.000651655217682736,0.008844088199545965
6,N20,heavy,0,5061.291402319872,7.5458316046259325e-06,0.0,2.2197347459576123e-05,2.9743179064202054e-05
6,N20,light,0,180485.81943283835,0.007774275087574512,0.0,0.0008270345336225168,0.00860130962119703
6,N20,medium,0,9387.992887322482,0.0024048112059890537,0.0,7.536406206737449e-05,0.002480175268056428
79,Non-methane HCs,heavy,0,5061.291402319872,0.00023248723868873062,0.0,0.002490940534474969,0.0027234277731636998
79,Non-methane HCs,light,0,180485.81943283835,0.16416140478295266,0.0,0.015563077144338905,0.17972448192729157
79,Non-methane HCs,medium,0,9387.992887322482,0.03285227302884614,0.0,0.002129561915851946,0.03498183494469809
87,VOCs,heavy,0,5061.291402319872,8.471516402180801e-05,0.0,0.002832228059233844,0.0029169432232556518
87,VOCs,light,0,180485.81943283835,0.10956413832698365,0.0,0.016588976009125872,0.12615311433610954
87,VOCs,medium,0,9387.992887322482,0.023339855152335314,0.0,0.0023558615122299537,0.025695716664565268
90,Atmospheric CO2,heavy,0,5061.291402319872,0.038633599367619925,0.0,11.901497102416192,11.940130701783811
90,Atmospheric CO2,light,0,180485.81943283835,27.16504644503387,0.0,86.3071528758875,113.47219932092136
90,Atmospheric CO2,medium,0,9387.992887322482,4.103387254814132,0.0,7.211522345871728,11.31490960068586
91,Total Energy,heavy,0,5061.291402319872,525.3446314854423,0.0,161713.27189709627,162238.6165285817
91,Total Energy,light,0,180485.81943283835,377870.8271749025,0.0,1200247.1146608046,1578117.941835707
91,Total Energy,medium,0,9387.992887322482,56877.462211577484,0.0,99508.42241701199,156385.88462858947
98,CO2 Equivalent,heavy,0,5061.291402319872,0.04362779430406767,0.0,11.92410904395659,11.967736838260658
98,CO2 Equivalent,light,0,180485.81943283835,30.022722518435238,0.0,86.64085397152976,116.66357648996501
98,CO2 Equivalent,medium,0,9387.992887322482,5.024824335952911,0.0,7.25027164868102,12.27509598463393
100,PM10 Exhaust,heavy,0,5061.291402319872,3.1892212711290955e-06,0.0,0.0023222033711992394,0.0023253925924703687
100,PM10 Exhaust,light,0,180485.81943283835,0.004873208864319077,0.0,0.001042352635253761,0.005915561499572838
100,PM10 Exhaust,medium,0,9387.992887322482,0.0008839608359108999,0.0,0.00037663741981981767,0.0012605982557307176
106,PM10 Brakewear,heavy,0,5061.291402319872,,0.0,0.0018323526920522681,
