hhno pno day tour jtindex parent subtrs pdpurp tlvorig tardest tlvdest tarorig toadtyp tdadtyp topcl totaz tdpcl tdtaz tmodetp tpathtp tautotime tautocost tautodist tripsh1 tripsh2 phtindx1 phtindx2 fhtindx1 fhtindx2 toexpfac
300004 1 1 1 0 0 0 5 1300 1515 1700 1800 1 4 750257 553 1223110 815 6 3 -1.00 -1.00 -1.00 2 1 0 0 0 0 16.51
300007 1 1 1 0 0 0 4 905 930 1030 1040 1 4 1223541 281 751756 304 4 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300010 1 1 1 0 0 0 2 1030 1140 1730 1900 1 2 937172 752 1222518 552 6 3 -1.00 -1.00 -1.00 1 2 0 0 0 0 4.16
300014 1 1 1 0 0 0 2 645 1730 2120 2230 1 2 1137154 1840 932775 8 6 3 -1.00 -1.00 -1.00 2 1 0 0 0 0 3.91
300016 1 1 1 0 0 0 2 1035 1055 1300 1725 1 4 829145 574 1078364 567 1 1 -1.00 -1.00 -1.00 2 5 0 0 0 0 14.64
300018 1 1 1 0 0 0 2 1710 1750 2020 2055 1 2 979971 1830 932775 72 9 3 -1.00 -1.00 -1.00 1 2 0 0 0 0 3.91
300022 1 1 1 0 0 0 1 930 955 1315 1340 1 2 1209040 69 932775 72 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 12.31
300022 1 1 2 0 0 0 2 1730 1755 2020 2045 1 2 1209040 69 932775 72 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 12.31
300028 1 1 1 0 0 0 2 1400 1515 2030 2335 1 2 820323 278 1078444 552 6 3 -1.00 -1.00 -1.00 1 3 0 0 0 0 4.16
300028 1 1 2 0 0 0 4 1200 1210 1220 1230 1 4 820323 278 751674 282 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 4.16
300031 1 1 1 0 0 0 2 1745 1750 2040 2050 1 2 1219760 568 1222524 567 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 14.67
300031 1 1 2 0 0 0 6 1510 1630 1730 1740 1 4 1219760 568 1222595 427 1 1 -1.00 -1.00 -1.00 3 1 0 0 0 0 14.67
300031 1 1 3 0 0 0 6 2130 2145 2330 2340 1 4 1219760 568 1243454 584 6 3 -1.00 -1.00 -1.00 1 1 0 0 0 0 14.67
300033 1 1 1 0 0 0 2 750 845 1300 1325 1 2 1016858 307 1078364 305 6 3 -1.00 -1.00 -1.00 2 1 0 0 0 0 12.78
300035 1 1 1 0 0 0 2 750 825 1225 1405 1 2 1160728 649 1222518 552 6 3 -1.00 -1.00 -1.00 1 2 0 0 0 0 14.11
300041 1 1 1 0 0 0 2 730 815 1215 2315 1 2 746620 772 1078364 552 6 3 -1.00 -1.00 -1.00 1 4 0 0 0 0 13.89
300042 1 1 1 0 0 0 2 840 910 1305 1430 1 2 1261479 795 1089776 756 6 3 -1.00 -1.00 -1.00 1 2 0 0 0 0 7.92
300045 1 1 1 0 0 0 2 1140 1200 1700 1720 1 2 852415 585 1078364 552 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 14.05
300048 1 1 1 0 0 0 2 1405 1800 2055 2150 1 2 1024253 310 1030279 133 6 3 -1.00 -1.00 -1.00 2 2 0 0 0 0 12.00
300050 1 1 1 0 0 0 2 1000 1015 1500 1615 1 2 1092413 75 932775 72 6 3 -1.00 -1.00 -1.00 1 2 0 0 0 0 3.91
300052 1 1 1 0 0 0 4 2100 2200 2235 2300 1 4 1161304 534 1115803 426 3 1 -1.00 -1.00 -1.00 2 1 0 0 0 0 14.64
300058 1 1 1 0 0 0 2 500 530 2205 2240 1 2 724930 1846 932775 72 6 3 -1.00 -1.00 -1.00 1 1 0 0 0 0 3.91
300066 1 1 1 0 0 0 1 700 730 1200 1215 1 4 751699 304 829078 471 6 3 -1.00 -1.00 -1.00 1 2 0 0 0 0 12.64
300082 1 1 1 0 0 0 2 700 1740 2110 2140 1 2 1133762 562 1089776 564 6 3 -1.00 -1.00 -1.00 4 1 0 0 0 0 7.92
300083 1 1 1 0 0 0 2 710 800 955 2115 1 2 1071194 398 1078364 552 6 3 -1.00 -1.00 -1.00 1 8 0 0 0 0 14.67
300085 1 1 1 0 0 0 2 930 945 1100 1115 1 2 1209040 69 932775 72 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 11.86
300085 1 1 2 0 0 0 2 1130 1145 1210 1225 1 2 1209040 69 932775 72 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 11.86
300085 1 1 3 0 0 0 2 1730 1745 2020 2035 1 2 1209040 69 932775 72 1 1 -1.00 -1.00 -1.00 1 1 0 0 0 0 11.86
