hhno hhsize hhvehs hhwkrs hhftw hhptw hhret hhoad hhuni hhhsc hh515 hhcu5 hhincome hownrent hrestype hhparcel hhtaz hhexpfac samptype
300202 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 815484 317 13.5320 2
300207 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1279 81 3.9070 3
300208 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 781 857 4.1610 3
300209 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 829133 581 4.1610 3
300213 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 2018 829 7.9200 3
300229 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1160603 12 4.1610 3
300231 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 834990 782 12.4300 2
300236 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1518 401 4.1610 3
300240 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1498 2506 4.1610 3
300242 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1947 240 7.9200 3
300243 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1434 42 4.1610 3
300244 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1240 173 13.5320 2
300250 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 895150 1856 14.2720 2
300259 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 326202 345 4.1280 3
300262 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 910294 427 3.9070 3
300264 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1115820 1345 4.1610 3
300267 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1623 175 4.1610 3
300268 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1078369 312 16.5140 1
300269 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 907268 3699 3.9070 3
300278 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 800952 76 15.0040 2
300280 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 924807 323 3.9070 3
300281 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1197785 254 12.6900 2
300285 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 926184 228 7.9200 3
300288 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1593 1408 4.1610 3
300294 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 1915 219 4.1610 3
300295 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1078737 714 4.1610 3
300296 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 812023 2521 11.9810 2
300298 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 2480 325 4.1280 3
300302 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1219735 2655 4.1610 3
300305 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1169919 924 7.9200 3
300307 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1144592 553 4.1610 3
300309 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1747 1267 16.5140 1
300312 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 835564 1757 3.9070 3
300313 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 1100 9 4.1610 3
300317 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1384 451 3.9070 3
300318 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1915 48 4.1610 3
300320 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1077805 887 3.9070 3
300321 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 2399 613 13.6810 2
300322 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 788 840 26.9910 2
300325 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1371 584 14.0400 2
300328 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 884809 566 568.3730 2
300334 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1340 382 14.0400 2
300335 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1799 23 4.1610 3
300338 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 962311 280 3.9070 3
300339 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 740435 75 169.8780 3
300341 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 1056112 921 4.1610 3
300342 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1092519 1627 3.9070 3
300343 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1104231 519 14.2050 2
300346 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1161289 240 4.1610 3
300353 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 2090 825 3.9070 3
300355 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1345 132 4.1610 3
300356 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1180294 911 28.1470 2
300358 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1328 574 3.9070 3
300359 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 757211 694 4.1610 3
300361 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 829122 136 14.6380 2
300365 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1080021 2217 3.9070 3
300366 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1016904 2388 4.1610 3
300372 1 3 0 0 0 0 0 1 0 0 0 -1 -1 -1 1613 568 13.5890 2
300375 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1222534 2405 14.6380 2
300379 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 753316 3694 14.2050 2
300382 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1446 4 3.9070 3
300384 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 104824 143 41.0590 1
300392 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1508 66 14.0400 2
300395 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1208265 774 14.6380 2
300400 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 903767 2434 3.9070 3
300402 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 3284 2195 3.9070 3
300403 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 133724 602 12.9750 2
300405 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1171636 2338 3.9070 3
300408 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 135395 93 10.2650 3
300411 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1227150 263 4.1610 3
300413 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1030348 119 3.6750 3
300414 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1002597 541 12.5770 2
300416 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 829539 3 3.9070 3
300417 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1315 1623 11.9810 2
300418 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1735 2360 14.6670 2
300422 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 84490 409 32.9510 2
300430 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 961071 31 7.9200 3
300432 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1514 665 4.1610 3
300435 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 829109 391 31.4340 1
300440 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 925461 698 3.9070 3
300441 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 1096778 546 3.9070 3
300443 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1209040 2646 3.9070 3
300445 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 1740 889 13.5920 2
300448 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1106294 1831 3.9070 3
300456 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 846087 2163 4.1610 3
300461 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 866851 2791 15.0400 2
300463 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 192025 26 13.4670 2
300469 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 751768 201 12.7850 2
