veh_type,total_daily_tons_2018,total_daily_tons_2019,total_daily_tons_2020,total_daily_tons_2021,total_daily_tons_2022*,city
light,61.41178303636192,61.365840715296244,50.5683837241712,54.146052361545415,57.97683790589195,Algona
medium,7.404395434175767,7.398856185915662,6.097010883712698,6.52836903704758,6.990245400042467,Algona
heavy,22.867021480012543,22.849914599366716,18.829420994753818,20.16158595617113,21.58800041601553,Algona
transit,0.2034282699527001,0.2032760847134852,0.16750920274080738,0.17936033139040453,0.19204991696040516,Algona
light,797.8156495043113,797.2188014580814,656.9463694189608,703.4247468005111,753.1914284707851,Auburn
medium,62.062027756743376,62.015598985842864,51.10381557306242,54.71936554244991,58.59071248970588,Auburn
heavy,130.8910710620109,130.79315109756692,107.77980348840299,115.40512971567773,123.56994106159644,Auburn
transit,3.8490459676023416,3.8461664858987175,3.1694248862053502,3.3936589071252286,3.633757287650769,Auburn
light,132.80111196197117,132.04384950702905,113.68182940047875,122.6880432177232,132.40775617330561,Bainbridge Island
medium,10.311886266571063,10.253085521653027,8.827291263112036,9.526615622703543,10.281342545249075,Bainbridge Island
heavy,1.6586660236186974,1.6492079288300463,1.4198690443449538,1.5323553077460188,1.6537530686575963,Bainbridge Island
transit,1.7542401356709292,1.7442370553347,1.5016834187948858,1.6206512611211497,1.7490440909851497,Bainbridge Island
light,0.4477527211089927,0.4474177560867422,0.36869360072439106,0.39477834844555915,0.4227085691077822,Beaux Arts
medium,0.0289143126193444,0.028892681743833675,0.023808949738357444,0.025493411975322813,0.02729704843286252,Beaux Arts
heavy,0.00020563705484,0.0002054832172028341,0.00016932798532979357,0.00018130779124663954,0.00019413515788728307,Beaux Arts
transit,0.0120556673341177,0.012046648456763218,0.009927013704221136,0.010629341185876436,0.011381357718658818,Beaux Arts
light,1760.1623915024902,1758.8456092545257,1449.3727885681287,1551.914637597906,1661.7112321875427,Bellevue
medium,146.0679965714669,145.95872270798156,120.27695883823077,128.78644780630714,137.89797562868483,Bellevue
heavy,179.28184164259096,179.14772041173347,147.62627812956777,158.07070736419215,169.25407077381035,Bellevue
transit,20.39982555415966,20.384564389462028,16.797854670952916,17.986288103178918,19.258802154656543,Bellevue
light,23.865225173124827,23.847371533595112,19.651373149412787,21.041690502276616,22.530371584075695,Black Diamond
medium,1.4133610721831045,1.412303732940544,1.1638057308422889,1.2461439618987151,1.3343075503269384,Black Diamond
heavy,1.0882552847796043,1.0874411580563148,0.8961034529482428,0.959501983479549,1.027385904241531,Black Diamond
transit,0.0893362174760671,0.08926938481003543,0.07356223679616836,0.07876670029882424,0.08433937501323992,Black Diamond
light,718.7874142806693,718.2496874710553,591.8720477457574,633.7464741484011,678.5834793604831,Bothell
medium,56.29935834397298,56.25724064165356,46.358653264911,49.63848717776553,53.15036645299156,Bothell
heavy,73.66817127895084,73.61305992067591,60.66067730497607,64.95236682979186,69.54768961087369,Bothell
transit,5.502026590830663,5.497910509849947,4.530540853063643,4.851072630562412,5.194281749181955,Bothell
light,219.34310954882545,219.1790183750442,180.6139796388985,193.3922597189986,207.0745918671165,Burien
medium,14.106389131714009,14.095836103833628,11.615642199358145,12.43743866068622,13.317376498294694,Burien
heavy,6.302520230875715,6.297805298436799,5.189692363688057,5.556858530367662,5.950001380154238,Burien
transit,3.3101216067445143,3.307645295813541,2.7256577045551107,2.9184955879843,3.1249765819270743,Burien
light,6.84591237417502,6.840790928603319,5.637138457197329,6.035961041143411,6.462999971853577,Carnation
medium,0.4947553203128477,0.49438519251894686,0.4073970116181381,0.4362199915926693,0.46708217202994445,Carnation
heavy,1.9906387519384527,1.9891495497015923,1.639154235346434,1.7551229546870712,1.8792963588435123,Carnation
transit,0.0371927518176536,0.03716492781937772,0.030625675606249125,0.032792415198175245,0.03511244970903084,Carnation
light,13.69632558802589,13.686079329792147,11.27798304661483,12.075890420099373,12.930249037926949,Clyde Hill
medium,1.547037000412802,1.5458796578466147,1.273878672860625,1.3640044676768612,1.460506583146161,Clyde Hill
heavy,0.0635199242893399,0.06347240486209839,0.05230429319552175,0.05600477590001837,0.05996706449863328,Clyde Hill
transit,0.1982367132601082,0.19808841183850304,0.16323431251654322,0.1747829964456013,0.1871487395973015,Clyde Hill
light,129.43609550340125,129.33926401010973,106.5817310873216,114.12229474678259,122.1963466478241,Covington
medium,6.684236481287574,6.679235985888826,5.5040094681621206,5.8934132933162555,6.310367096340488,Covington
heavy,14.226613699566125,14.215970731361216,11.714638870349097,12.543439259011308,13.430876545647838,Covington
transit,0.5685028590052111,0.5680775604780587,0.4681230425347211,0.5012423357445639,0.5367047897968645,Covington
light,130.45484937959736,130.3572557537744,107.42060490574613,115.02051814947032,123.1581185656212,Des Moines
medium,7.400394837683155,7.394858582280111,6.093716667382189,6.524841757811311,6.986468568905001,Des Moines
heavy,3.479797074642456,3.477193829034818,2.865373793960316,3.068096467734557,3.285161592238543,Des Moines
transit,2.0861246435299985,2.0845640080392602,1.717780306232324,1.8393117508801962,1.9694414382629581,Des Moines
light,25.480067789792187,25.461006082131288,20.98108508833221,22.465478390440587,24.054891212086094,Duvall
medium,1.609844700327395,1.608640371150948,1.3255964982205104,1.4193812836580904,1.5198012601144912,Duvall
heavy,3.218335239463206,3.215927594161964,2.6500779377442254,2.83756861919808,3.0383241013324587,Duvall
transit,0.1049413604835615,0.10486285356781945,0.08641199983278791,0.09252557275971497,0.09907167558995615,Duvall
light,49.19870250349091,49.16189682101965,40.511751066644415,43.377921795509664,46.4468715805922,Enumclaw
