hhno	pno	day	beghom	endhom	hbtours	wbtours	uwtours	wktours	sctours	estours	pbtours	shtours	mltours	sotours	retours	metours	wkstops	scstops	esstops	pbstops	shstops	mlstops	sostops	restops	mestops	wkathome	pdexpfac
300001	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.161
300002	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.161
300004	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16.514
300005	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	3.907
300007	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.907
300010	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4.161
300013	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.667
300014	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3.907
300015	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.161
300016	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	14.638
300018	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3.907
300019	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.505
300022	1	1	1	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.309
300028	1	1	1	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4.161
300031	1	1	1	1	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	14.667
300033	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12.785
300035	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14.114
300038	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.161
300041	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	13.889
300042	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7.92
300045	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.053
300047	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	7.92
300048	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	12.004
300050	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3.907
300052	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	360	14.638
300058	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.907
300060	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.92
300063	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	13.884
300066	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12.636
300079	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.949
300082	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	7.92
300083	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	1	2	0	0	0	0	14.667
300085	1	1	1	1	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.864
300086	1	1	1	1	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4.161
300087	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3.907
300089	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	4.161
300090	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.123
300094	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.92
300095	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.161
300098	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4.161
300101	1	1	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.907
300104	1	1	1	1	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	3.907
300105	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.04
300106	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.161
300118	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	4.161
300119	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.161
300130	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.161
300131	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.907
300137	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3.907
300142	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	15.04
300148	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.667
300155	1	1	1	1	3	0	0	1	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	13.949
300157	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.161
300163	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.514
300165	1	1	1	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3.907
300166	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.161
300178	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.907
300179	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.907
300181	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.161
300183	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4.161
300185	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	13.382
300187	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	2	2	0	1	0	1	0	0	0	0	13.168
300191	1	1	1	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.907
300192	1	1	1	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	3.907
300193	1	1	1	1	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7.92
300198	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.771
300201	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.443
300202	1	1	1	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13.532
300207	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.907
300208	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.161
300209	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	4.161
300213	1	1	1	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	7.92
300229	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4.161
300231	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	12.43
300236	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4.161
300240	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.161
