hhno	pno	pptyp	pagey	pgend	pwtyp	pwpcl	pwtaz	pwautime	pwaudist	pstyp	pspcl	pstaz	psautime	psaudist	puwmode	puwarrp	puwdepp	ptpass	ppaidprk	pdiary	pproxy	psexpfac
300033	1	5	21	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	12.785
300035	1	5	30	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	14.114
300038	1	5	21	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300041	1	5	30	2	0	0	-1	-1	-1	1	1078364	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	13.889
300042	1	5	21	2	0	0	-1	-1	-1	1	1089776	797	-1	-1	-1	-1	-1	-1	-1	-1	-1	7.92
300045	1	5	30	1	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	14.053
300047	1	5	21	1	0	0	-1	-1	-1	1	1089776	756	-1	-1	-1	-1	-1	-1	-1	-1	-1	7.92
300048	1	5	21	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	12.004
300050	1	5	17	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300052	1	5	30	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	14.638
300058	1	5	21	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300060	1	5	21	1	0	0	-1	-1	-1	1	1089776	756	-1	-1	-1	-1	-1	-1	1	-1	-1	7.92
300063	1	5	60	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	13.884
300066	1	5	30	1	0	0	-1	-1	-1	1	1078364	502	-1	-1	-1	-1	-1	-1	-1	-1	-1	12.636
300079	1	5	50	3	0	0	-1	-1	-1	1	1089776	756	-1	-1	-1	-1	-1	-1	-1	-1	-1	27.949
300082	1	5	30	3	0	0	-1	-1	-1	1	1089776	756	-1	-1	-1	-1	-1	-1	-1	-1	-1	7.92
300083	1	5	30	3	0	0	-1	-1	-1	1	1078364	566	-1	-1	-1	-1	-1	-1	-1	-1	-1	14.667
300085	1	5	21	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	11.864
300086	1	5	40	2	0	0	-1	-1	-1	1	1078364	553	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300087	1	5	21	2	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300089	1	5	30	1	0	0	-1	-1	-1	1	1078364	551	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300090	1	5	80	2	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	15.123
300094	1	5	30	2	0	0	-1	-1	-1	1	1089776	756	-1	-1	-1	-1	-1	-1	-1	-1	-1	7.92
300095	1	5	21	1	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300098	1	5	21	1	0	0	-1	-1	-1	1	1078364	626	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300101	1	5	21	2	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300104	1	5	17	2	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300105	1	5	40	2	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	14.04
300106	1	5	21	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300118	1	5	21	1	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300119	1	5	21	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300130	1	5	30	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300131	1	5	50	2	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300137	1	5	30	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300142	1	5	50	1	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	15.04
300148	1	5	21	1	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	14.667
300155	1	5	21	2	0	0	-1	-1	-1	1	1078364	553	-1	-1	-1	-1	-1	-1	-1	-1	-1	13.949
300157	1	5	21	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	1	-1	-1	4.161
300163	1	5	21	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	16.514
300165	1	5	30	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300166	1	5	21	1	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300178	1	5	30	2	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300179	1	5	21	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300181	1	5	21	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300183	1	5	21	3	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300185	1	5	30	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	1	-1	-1	13.382
300187	1	5	30	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	13.168
300191	1	5	21	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300192	1	5	30	2	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300193	1	5	60	1	0	0	-1	-1	-1	1	1089776	756	-1	-1	-1	-1	-1	-1	-1	-1	-1	7.92
300198	1	5	21	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	13.771
300201	1	5	21	2	0	0	-1	-1	-1	1	797163	302	-1	-1	-1	-1	-1	-1	1	-1	-1	4.443
300202	1	5	21	2	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	1	-1	-1	13.532
300207	1	5	30	2	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300208	1	5	21	2	0	0	-1	-1	-1	1	1078364	1359	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300209	1	5	17	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300213	1	5	50	1	0	0	-1	-1	-1	1	1089776	797	-1	-1	-1	-1	-1	-1	1	-1	-1	7.92
300229	1	5	30	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300231	1	5	50	2	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	12.43
300236	1	5	50	1	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300240	1	5	17	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300242	1	5	21	2	0	0	-1	-1	-1	1	1089776	756	-1	-1	-1	-1	-1	-1	-1	-1	-1	7.92
300243	1	5	40	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300244	1	5	30	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	13.532
300250	1	5	30	2	0	0	-1	-1	-1	1	1078364	515	-1	-1	-1	-1	-1	-1	-1	-1	-1	14.272
300259	1	5	21	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.128
300262	1	5	60	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300264	1	5	21	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300267	1	5	21	2	0	0	-1	-1	-1	1	1078364	321	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300268	1	5	21	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	16.514
300269	1	5	40	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300278	1	5	17	1	0	0	-1	-1	-1	1	797163	302	-1	-1	-1	-1	-1	-1	1	-1	-1	15.004
300280	1	5	21	1	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	3.907
300281	1	5	30	2	0	0	-1	-1	-1	1	932775	1750	-1	-1	-1	-1	-1	-1	-1	-1	-1	12.69
300285	1	5	30	2	0	0	-1	-1	-1	1	1089776	756	-1	-1	-1	-1	-1	-1	-1	-1	-1	7.92
300288	1	5	21	2	0	0	-1	-1	-1	1	1078364	258	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300294	1	5	30	1	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300295	1	5	30	2	0	0	-1	-1	-1	1	1078364	628	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
300296	1	5	30	2	0	0	-1	-1	-1	1	932775	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	11.981
300298	1	5	30	1	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.128
300302	1	5	21	2	0	0	-1	-1	-1	1	1078364	552	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.161
