hhno	day	dow	jttours	phtours	fhtours	hdexpfac
300001	1	3	0	0	0	4.161
300002	1	3	0	0	0	4.161
300004	1	3	0	0	0	16.514
300005	1	3	0	0	0	3.907
300007	1	3	0	0	0	3.907
300010	1	3	0	0	0	4.161
300013	1	3	0	0	0	14.667
300014	1	3	0	0	0	3.907
300015	1	3	0	0	0	4.161
300016	1	3	0	0	0	14.638
300018	1	3	0	0	0	3.907
300019	1	3	0	0	0	15.505
300022	1	3	0	0	0	12.309
300028	1	3	0	0	0	4.161
300031	1	3	0	0	0	14.667
300033	1	3	0	0	0	12.785
300035	1	3	0	0	0	14.114
300038	1	3	0	0	0	4.161
300041	1	3	0	0	0	13.889
300042	1	3	0	0	0	7.92
300045	1	3	0	0	0	14.053
300047	1	3	0	0	0	7.92
300048	1	3	0	0	0	12.004
300050	1	3	0	0	0	3.907
300052	1	3	0	0	0	14.638
300058	1	3	0	0	0	3.907
300060	1	3	0	0	0	7.92
300063	1	3	0	0	0	13.884
300066	1	3	0	0	0	12.636
300079	1	3	0	0	0	27.949
300082	1	3	0	0	0	7.92
300083	1	3	0	0	0	14.667
300085	1	3	0	0	0	11.864
300086	1	3	0	0	0	4.161
300087	1	3	0	0	0	3.907
300089	1	3	0	0	0	4.161
300090	1	3	0	0	0	15.123
300094	1	3	0	0	0	7.92
300095	1	3	0	0	0	4.161
300098	1	3	0	0	0	4.161
300101	1	3	0	0	0	3.907
300104	1	3	0	0	0	3.907
300105	1	3	0	0	0	14.04
300106	1	3	0	0	0	4.161
300118	1	3	0	0	0	4.161
300119	1	3	0	0	0	4.161
300130	1	3	0	0	0	4.161
300131	1	3	0	0	0	3.907
300137	1	3	0	0	0	3.907
300142	1	3	0	0	0	15.04
300148	1	3	0	0	0	14.667
300155	1	3	0	0	0	13.949
300157	1	3	0	0	0	4.161
300163	1	3	0	0	0	16.514
300165	1	3	0	0	0	3.907
300166	1	3	0	0	0	4.161
300178	1	3	0	0	0	3.907
300179	1	3	0	0	0	3.907
300181	1	3	0	0	0	4.161
300183	1	3	0	0	0	4.161
300185	1	3	0	0	0	13.382
300187	1	3	0	0	0	13.168
300191	1	3	0	0	0	3.907
300192	1	3	0	0	0	3.907
300193	1	3	0	0	0	7.92
300198	1	3	0	0	0	13.771
300201	1	3	0	0	0	4.443
300202	1	3	0	0	0	13.532
300207	1	3	0	0	0	3.907
300208	1	3	0	0	0	4.161
300209	1	3	0	0	0	4.161
300213	1	3	0	0	0	7.92
300229	1	3	0	0	0	4.161
300231	1	3	0	0	0	12.43
300236	1	3	0	0	0	4.161
300240	1	3	0	0	0	4.161
300242	1	3	0	0	0	7.92
300243	1	3	0	0	0	4.161
300244	1	3	0	0	0	13.532
300250	1	3	0	0	0	14.272
300259	1	3	0	0	0	4.128
300262	1	3	0	0	0	3.907
300264	1	3	0	0	0	4.161
300267	1	3	0	0	0	4.161
300268	1	3	0	0	0	16.514
300269	1	3	0	0	0	3.907
300278	1	3	0	0	0	15.004
300280	1	3	0	0	0	3.907
300281	1	3	0	0	0	12.69
300285	1	3	0	0	0	7.92
300288	1	3	0	0	0	4.161
300294	1	3	0	0	0	4.161
300295	1	3	0	0	0	4.161
300296	1	3	0	0	0	11.981
300298	1	3	0	0	0	4.128
300302	1	3	0	0	0	4.161
300305	1	3	0	0	0	7.92
300307	1	3	0	0	0	4.161
300309	1	3	0	0	0	16.514
300312	1	3	0	0	0	3.907
300313	1	3	0	0	0	4.161
300317	1	3	0	0	0	3.907
300318	1	3	0	0	0	4.161
300320	1	3	0	0	0	3.907
300321	1	3	0	0	0	13.681
300322	1	3	0	0	0	26.991
300325	1	3	0	0	0	14.04
300328	1	3	0	0	0	568.373
300334	1	3	0	0	0	14.04
300335	1	3	0	0	0	4.161
300338	1	3	0	0	0	3.907
300339	1	3	0	0	0	169.878
300341	1	3	0	0	0	4.161
300342	1	3	0	0	0	3.907
300343	1	3	0	0	0	14.205
300346	1	3	0	0	0	4.161
300353	1	3	0	0	0	3.907
300355	1	3	0	0	0	4.161
300356	1	3	0	0	0	28.147
300358	1	3	0	0	0	3.907
300359	1	3	0	0	0	4.161
300361	1	3	0	0	0	14.638
300365	1	3	0	0	0	3.907
300366	1	3	0	0	0	4.161
300372	1	3	0	0	0	13.589
300375	1	3	0	0	0	14.638
300379	1	3	0	0	0	14.205
300382	1	3	0	0	0	3.907
300384	1	3	0	0	0	41.059
300392	1	3	0	0	0	14.04
300395	1	3	0	0	0	14.638
300400	1	3	0	0	0	3.907
300402	1	3	0	0	0	3.907
300403	1	3	0	0	0	12.975
300405	1	3	0	0	0	3.907
300408	1	3	0	0	0	10.265
300411	1	3	0	0	0	4.161
300413	1	3	0	0	0	3.675
300414	1	3	0	0	0	12.577
300416	1	3	0	0	0	3.907
300417	1	3	0	0	0	11.981
300418	1	3	0	0	0	14.667
300422	1	3	0	0	0	32.951
300430	1	3	0	0	0	7.92
300432	1	3	0	0	0	4.161
300435	1	3	0	0	0	31.434
300440	1	3	0	0	0	3.907
300441	1	3	0	0	0	3.907
300443	1	3	0	0	0	3.907
300445	1	3	0	0	0	13.592
300448	1	3	0	0	0	3.907
300456	1	3	0	0	0	4.161
300461	1	3	0	0	0	15.04
300463	1	3	0	0	0	13.467
300469	1	3	0	0	0	12.785
300480	1	3	0	0	0	3.907
300482	1	3	0	0	0	4.161
300483	1	3	0	0	0	14.638
300488	1	3	0	0	0	26.938
300490	1	3	0	0	0	15.187
300493	1	3	0	0	0	3.907
300503	1	3	0	0	0	16.514
300506	1	3	0	0	0	14.667
300508	1	3	0	0	0	13.681
300509	1	3	0	0	0	14.025
300514	1	3	0	0	0	12.577
300515	1	3	0	0	0	3.907
300520	1	3	0	0	0	3.907
300522	1	3	0	0	0	7.92
300529	1	3	0	0	0	3.907
300530	1	3	0	0	0	15.217
300533	1	3	0	0	0	12.43
300534	1	3	0	0	0	10.265
300535	1	3	0	0	0	14.04
300539	1	3	0	0	0	10.265
300543	1	3	0	0	0	26.813
300549	1	3	0	0	0	31.434
300552	1	3	0	0	0	3.907
300553	1	3	0	0	0	3.907
300559	1	3	0	0	0	13.906
300564	1	3	0	0	0	3.907
300568	1	3	0	0	0	14.205
300569	1	3	0	0	0	13.889
300573	1	3	0	0	0	3.907
300574	1	3	0	0	0	10.265
300577	1	3	0	0	0	3.907
300580	1	3	0	0	0	27.873
300582	1	3	0	0	0	4.161
300585	1	3	0	0	0	4.161
300586	1	3	0	0	0	3.907
300587	1	3	0	0	0	4.161
300590	1	3	0	0	0	4.11
300591	1	3	0	0	0	3.907
300592	1	3	0	0	0	4.161
300593	1	3	0	0	0	4.161
300594	1	3	0	0	0	10.265
300595	1	3	0	0	0	4.161
300596	1	3	0	0	0	5.034
300603	1	4	0	0	0	4.161
300604	1	4	0	0	0	12.309
300612	1	4	0	0	0	3.907
300616	1	4	0	0	0	10.346
300620	1	4	0	0	0	169.878
300625	1	4	0	0	0	3.907
300628	1	4	0	0	0	169.878
300652	1	4	0	0	0	3.876
300676	1	4	0	0	0	14.496
300692	1	4	0	0	0	3.907
300698	1	4	0	0	0	10.265
300719	1	4	0	0	0	15.04
300720	1	4	0	0	0	3.907
300727	1	4	0	0	0	10.265
300733	1	4	0	0	0	10.265
300745	1	4	0	0	0	4.161
300751	1	4	0	0	0	14.04
300753	1	4	0	0	0	37.399
300754	1	4	0	0	0	3.907
300761	1	4	0	0	0	13.884
300764	1	4	0	0	0	10.265
300768	1	4	0	0	0	13.903
300778	1	4	0	0	0	10.265
300782	1	4	0	0	0	169.878
300786	1	4	0	0	0	7.92
300787	1	4	0	0	0	4.161
300788	1	4	0	0	0	4.161
300790	1	4	0	0	0	7.92
300791	1	4	0	0	0	4.161
300792	1	4	0	0	0	13.824
300800	1	5	0	0	0	14.638
300807	1	5	0	0	0	10.265
300811	1	5	0	0	0	15.13
300814	1	5	0	0	0	16.514
300817	1	5	0	0	0	13.889
300819	1	5	0	0	0	3.907
300820	1	5	0	0	0	4.161
300821	1	5	0	0	0	4.161
300823	1	5	0	0	0	4.161
300831	1	5	0	0	0	169.878
300835	1	5	0	0	0	4.161
300836	1	5	0	0	0	3.907
300838	1	5	0	0	0	3.907
300840	1	5	0	0	0	14.441
300852	1	5	0	0	0	37.399
300869	1	5	0	0	0	10.265
300895	1	5	0	0	0	4.161
300898	1	5	0	0	0	12.76
300900	1	5	0	0	0	11.864
300901	1	5	0	0	0	4.161
300902	1	5	0	0	0	3.876
300923	1	1	0	0	0	4.161
300926	1	1	0	0	0	7.92
300927	1	1	0	0	0	7.92
300941	1	3	0	0	0	13.11
300944	1	4	0	0	0	4.161
300946	1	4	0	0	0	12.636
300962	1	4	0	0	0	33.263
300963	1	4	0	0	0	41.942
300965	1	4	0	0	0	10.707
300974	1	4	0	0	0	10.791
300976	1	4	0	0	0	42.828
300977	1	4	0	0	0	10.791
300980	1	4	0	0	0	10.791
300983	1	4	0	0	0	42.828
300984	1	4	0	0	0	19.977
300993	1	4	0	0	0	10.791
300994	1	4	0	0	0	42.828
301006	1	4	0	0	0	10.791
301013	1	4	0	0	0	42.828
301015	1	4	0	0	0	38.215
301029	1	4	0	0	0	39.954
301033	1	4	0	0	0	42.828
301040	1	4	0	0	0	42.828
301042	1	4	0	0	0	7.92
301048	1	4	0	0	0	38.181
301066	1	5	0	0	0	10.791
301088	1	5	0	0	0	10.791
301089	1	5	0	0	0	42.828
301090	1	5	0	0	0	10.791
301104	1	5	0	0	0	10.791
301105	1	5	0	0	0	10.791
301109	1	5	0	0	0	14.191
301110	1	5	0	0	0	10.791
301113	1	5	0	0	0	10.791
301115	1	5	0	0	0	10.791
301122	1	5	0	0	0	42.828
301133	1	5	0	0	0	42.828
301134	1	5	0	0	0	4.161
301136	1	5	0	0	0	10.791
301167	1	5	0	0	0	42.828
301175	1	5	0	0	0	39.614
301176	1	5	0	0	0	42.828
301186	1	5	0	0	0	38.181
301191	1	5	0	0	0	4.161
301197	1	5	0	0	0	14.667
301199	1	5	0	0	0	4.161
301200	1	5	0	0	0	4.161
301204	1	5	0	0	0	3.907
301208	1	5	0	0	0	12.911
301212	1	5	0	0	0	7.92
301213	1	5	0	0	0	4.161
301214	1	5	0	0	0	3.907
301217	1	5	0	0	0	4.161
301220	1	5	0	0	0	3.907
301224	1	5	0	0	0	4.161
301225	1	5	0	0	0	4.161
301228	1	5	0	0	0	3.907
301229	1	5	0	0	0	13.692
301231	1	5	0	0	0	12.309
301234	1	5	0	0	0	7.92
301240	1	5	0	0	0	3.907
301241	1	5	0	0	0	11.981
301244	1	5	0	0	0	4.161
301245	1	5	0	0	0	14.667
301248	1	5	0	0	0	4.161
301249	1	5	0	0	0	4.161
301253	1	5	0	0	0	16.514
301255	1	1	0	0	0	4.161
301257	1	1	0	0	0	4.161
301258	1	1	0	0	0	15.181
301259	1	1	0	0	0	15.04
301266	1	1	0	0	0	4.161
301267	1	1	0	0	0	4.161
301268	1	1	0	0	0	3.907
301271	1	1	0	0	0	4.161
301273	1	1	0	0	0	3.907
301276	1	1	0	0	0	4.161
301278	1	1	0	0	0	3.907
301279	1	1	0	0	0	4.161
301286	1	1	0	0	0	4.161
301288	1	1	0	0	0	14.667
301289	1	1	0	0	0	3.907
301292	1	1	0	0	0	23.425
301293	1	1	0	0	0	7.92
301297	1	1	0	0	0	14.58
301301	1	1	0	0	0	7.92
301304	1	1	0	0	0	27.699
301307	1	1	0	0	0	13.744
301308	1	1	0	0	0	13.532
301309	1	1	0	0	0	27.819
301314	1	1	0	0	0	14.565
301315	1	1	0	0	0	14.04
301319	1	1	0	0	0	3.907
301347	1	1	0	0	0	35.025
301348	1	1	0	0	0	16.173
301351	1	1	0	0	0	4.161
301362	1	1	0	0	0	4.161
301367	1	1	0	0	0	4.161
301377	1	1	0	0	0	4.161
301378	1	1	0	0	0	4.161
301382	1	1	0	0	0	16.514
301389	1	1	0	0	0	14.183
301396	1	1	0	0	0	3.907
301397	1	1	0	0	0	14.667
301398	1	1	0	0	0	22.578
301400	1	1	0	0	0	4.161
301404	1	1	0	0	0	4.161
301417	1	1	0	0	0	4.161
301419	1	1	0	0	0	4.161
301421	1	1	0	0	0	4.161
301427	1	1	0	0	0	4.161
301441	1	1	0	0	0	4.161
301442	1	1	0	0	0	10.707
301444	1	1	0	0	0	4.161
301446	1	1	0	0	0	3.907
301447	1	1	0	0	0	3.907
301451	1	1	0	0	0	28.628
301459	1	1	0	0	0	4.161
301461	1	1	0	0	0	14.191
301464	1	1	0	0	0	3.907
301467	1	1	0	0	0	14.205
301472	1	1	0	0	0	12.739
301473	1	1	0	0	0	12.454
301474	1	1	0	0	0	4.161
301476	1	1	0	0	0	4.11
301477	1	1	0	0	0	4.161
301480	1	1	0	0	0	3.907
301481	1	1	0	0	0	4.161
301482	1	1	0	0	0	4.161
301485	1	1	0	0	0	14.183
301487	1	1	0	0	0	14.04
301488	1	1	0	0	0	12.122
301489	1	1	0	0	0	42.828
301492	1	1	0	0	0	30.784
301494	1	1	0	0	0	4.161
301497	1	1	0	0	0	14.496
301501	1	1	0	0	0	10.791
301509	1	1	0	0	0	3.907
301512	1	1	0	0	0	3.907
301521	1	1	0	0	0	14.086
301524	1	1	0	0	0	4.161
301526	1	1	0	0	0	13.382
301529	1	1	0	0	0	3.907
301535	1	1	0	0	0	26.437
301550	1	1	0	0	0	4.161
301551	1	1	0	0	0	3.907
301554	1	1	0	0	0	4.11
301557	1	1	0	0	0	4.161
301559	1	1	0	0	0	29.966
301561	1	1	0	0	0	3.907
301573	1	1	0	0	0	12.577
301574	1	1	0	0	0	4.161
301575	1	1	0	0	0	14.552
