GEOID,Large_Area,PSRC_TAZ,BKR_TAZ,External_Station,Station_Name,Total_IE,Total_EI,SOV_IE,SOV_EI,HOV_IE,HOV_EI
530330001001002,Seattle,20,455,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330001001006,Seattle,19,455,3733,I-5 Thurston,0.34,0.00,0.27,0.00,0.03,0.00
530330001002009,Seattle,17,455,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330001003002,Seattle,20,455,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330001005000,Seattle,18,455,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330001005004,Seattle,18,455,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330001005005,Seattle,20,455,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330002001015,Seattle,15,455,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330002002012,Seattle,16,455,3733,I-5 Thurston,0.17,0.17,0.14,0.14,0.02,0.02
530330002004001,Seattle,13,455,3733,I-5 Thurston,0.00,0.51,0.00,0.41,0.00,0.05
530330003001005,Seattle,10,454,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330003001007,Seattle,9,454,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330003001029,Seattle,10,454,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330003002011,Seattle,5,454,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330004011000,Seattle,3,454,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330004011001,Seattle,3,454,3733,I-5 Thurston,0.34,0.00,0.27,0.00,0.03,0.00
530330004011005,Seattle,3,454,3733,I-5 Thurston,0.17,0.17,0.14,0.14,0.02,0.02
530330004011008,Seattle,4,454,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330004011009,Seattle,4,454,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330004012016,Seattle,2,454,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330004013000,Seattle,4,454,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330004021003,Seattle,34,454,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330004021004,Seattle,36,454,3733,I-5 Thurston,0.34,0.00,0.27,0.00,0.03,0.00
530330004021005,Seattle,2,454,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330004022004,Seattle,32,454,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330004024008,Seattle,37,454,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330005001003,Seattle,1,454,3733,I-5 Thurston,0.17,0.17,0.14,0.14,0.02,0.02
530330005001013,Seattle,38,454,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330006001004,Seattle,7,454,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330006001012,Seattle,8,454,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330006002006,Seattle,49,454,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330006003004,Seattle,29,454,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330006003006,Seattle,31,454,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330006003007,Seattle,31,454,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330006004005,Seattle,30,454,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330006004015,Seattle,45,454,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330006004020,Seattle,30,454,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330007001004,Seattle,24,459,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330007001005,Seattle,23,459,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330007001010,Seattle,23,459,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330007003004,Seattle,25,459,3733,I-5 Thurston,0.00,0.34,0.00,0.27,0.00,0.03
530330008001008,Seattle,22,460,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330009001005,Seattle,21,460,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330009001006,Seattle,21,460,3733,I-5 Thurston,0.17,0.00,0.14,0.00,0.02,0.00
530330009001016,Seattle,21,460,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
530330010001006,Seattle,52,459,3733,I-5 Thurston,0.34,0.00,0.27,0.00,0.03,0.00
530330010001007,Seattle,52,459,3733,I-5 Thurston,0.00,0.17,0.00,0.14,0.00,0.02
