veh_type,vmt_2018,vmt_2019,vmt_2020,vmt_2030,vmt_2040,vmt_2050,geography
heavy,77816.86220774919,78830.10069320595,79843.3391786627,89975.72403323029,100038.0645934978,110062.92160697233,Kitsap County Total
light,4473607.582044955,4507794.875025522,4541982.168006088,4883855.097811749,5333066.244519043,5741103.5278096935,Kitsap County Total
medium,165340.96563017566,166494.3052334025,167647.64483662936,179181.04086889784,197898.50506311777,193175.7315224646,Kitsap County Total
