veh_type,geography,vmt_unincorporated_2018,vmt_unincorporated_2019,vmt_unincorporated_2020,vmt_unincorporated_2030,vmt_unincorporated_2040,vmt_unincorporated_2050
heavy,Unincorporated King,282604.0712470538,284624.72894997336,286645.38665289246,306851.9636820855,346680.06249831594,388540.44442217425
light,Unincorporated King,4690506.0448559895,4703499.566731133,4716493.088606276,4846428.307357758,5114599.760391407,5444242.780557327
medium,Unincorporated King,131520.0671008036,131622.15639403602,131724.2456872682,132745.13861959288,137547.68385277642,140473.12315521296
