veh_type,vmt_2018,vmt_2019,vmt_2020,vmt_2030,vmt_2040,vmt_2050,geography
heavy,553839.8319679073,561007.0205669712,568174.2091660352,639846.0951566745,713950.1558370062,783213.4083660905,Snohomish County Total
light,15759501.286302015,15907571.83020258,16055642.374103146,17536347.813108794,18988546.899056073,20423282.316619292,Snohomish County Total
medium,574914.1262232094,582854.8301380104,590795.5340528114,670202.5732008218,708203.008230947,715506.7767081414,Snohomish County Total
