FID,FID_bussto,BUSSTOP_ID,ZONEKEY,BEGIN_DATE,END_DATE,TLINK_ID,RAMKEY,ACCESS_LVL,LANDING_PD,TRNSFR_PT,AUTHORITY,AWNING,BEARING_CD,CURB,CURB_HT,BAY,BIKE_RACK,CREATED_BY,CROSS_STRE,CURB_PAINT,DT_CREATED,DT_MAPPED,DT_MOD,DISPLACEMT,RAMPOSITIO,DITCH,EXT_SURFC,EXT_WIDTH,FRM_CROSS,FRM_INTRST,JURIS,REG_FARE,RFP_DIST,ZIP_CODE,I_SGN_ANCH,I_SGN,INT_LOC,LINK_LEN,PCNT_FROM,T_ND_FROM,MOD_BY,NEWS_BOX,NON_MT_SGN,BOLLARDS,NUM_SHELT,ON_STREET,OTHR_COV_A,OWNER,PAINT_LEN,PK_STP_SUR,PULLOUT,RET_WALL,RFA_FLAG,RT_SGN_TP,SCHED_HOLD,SHDR_SURF,SHDR_WIDTH,SIDE,SIDE_CROSS,SIDE_ON,SWLK_WIDTH,SGN_MT_DIR,SGN_PST_AN,SGN_PST_TP,SPC_SGN_TP,LENGTH,STATUS,STOP_TYPE,ADDRESS,STRP_WIDTH,T_SIGNAL,WLK_SURF,XCOORD,YCOORD,XCOORD_OFF,YCOORD_OFF,ROUTES,ADD_COMMNT,FID_urbcen,ID,NAME,AREA_FEET,PERIMETER_,PARKING,POPDEN1996,PLANPOP96,JOBS1994,PLANJOBS94,HOUSEUNITS,HUPLAN,FLOORSPC,ACRES,HECTARES,AREA,PERIMETER,ADOPTDATE
0,2972,57791,57791,5/1/2010 0:00:00,1/1/4000 0:00:00,43450,43450,Yes,NO,NO,Auburn,NO,N,UNK,0.0000000,nu,NO,SIS data load,Cross St SE,Unknown,5/14/2002 0:00:00,5/14/2002 0:00:00,2/13/2013 0:00:00,333.000000000000000,333.000000000000000,UNK,Unknown,0.0000000,345,345,AUB,24,S,98002,None,null,Near middle,1022.994000000000000,32.5499992,126403,Korthad,NO,None,0,0,A St SE,NO,Metro Transit,10,Unknown,UNK,NO,n,A1 <=2 rts,None,Unknown,0.0000000,1,S,E,0.0000000,Away,Base plate,2in metal,None,60,Active,REGULAR,null,0.0000000,N,Unknown,1294233.754639999900000,113960.796787000000000,1294258.715009999900000,113959.389557000000000,180,null,1,0,Auburn,10181821.749000000000000,14258.105000000000000,0,0,0,0,0,0,0,0.000000000000000,233.742999999999990,94.593000000000004,10181821.749000000000000,14258.105000000000000, 
1,2971,57795,57795,9/27/2014 0:00:00,1/1/4000 0:00:00,17831,17831,Yes,NO,NO,Auburn,NO,S,UNK,0.0000000,nu,NO,Korthad,3rd St SE,YelRed- stop,9/11/2013 0:00:00,9/11/2013 0:00:00,7/2/2014 0:00:00,224.949999999999990,224.949999999999990,UNK,Unknown,0.0000000,225,225,AUB,24,S,98001,None,null,Far side,157.761000000000000,65.7699966,126401,Korthad,NO,None,0,0,S Division St,NO,Metro Transit,110,Unknown,UNK,NO,N,A1 <=2 rts,None,Unknown,0.0000000,0,S,W,0.0000000,Toward,Base plate,2in metal,None,125,Active,REGULAR,null,0.0000000,Y,Unknown,1293946.409999999900000,114092.160000000000000,1293921.419999999900000,114092.470000000000000,"181,910",null,1,0,Auburn,10181821.749000000000000,14258.105000000000000,0,0,0,0,0,0,0,0.000000000000000,233.742999999999990,94.593000000000004,10181821.749000000000000,14258.105000000000000, 
2,921,81200,81200,6/6/2015 0:00:00,1/1/4000 0:00:00,17831,17831,Yes,YES,NO,Auburn,NO,N,Yes,6.0000000,nu,NO,Patt Comstock,3rd St SE,YelRed- stop,8/4/2006 0:00:00,8/4/2006 0:00:00,6/2/2015 0:00:00,162.009999999999990,162.009999999999990,No,Unknown,0.0000000,162,162,AUB,24,S,98001,None,null,Near side,342.216999999999980,47.3699989,126401,Korthad,NO,None,0,0,S Division St,NO,Metro Transit,30,Unknown,UNK,NO,N,A2 <=6 rts,Single,Unknown,0.0000000,1,S,E,0.0000000,Away,Base plate,2in metal,None,0,Active,REGULAR,null,0.0000000,Y,Unknown,1293947.200000000000000,114155.090000000000000,1293972.200000000000000,114154.780000000000000,"181,917,910",null,1,0,Auburn,10181821.749000000000000,14258.105000000000000,0,0,0,0,0,0,0,0.000000000000000,233.742999999999990,94.593000000000004,10181821.749000000000000,14258.105000000000000, 
3,2974,57777,57777,3/17/2005 0:00:00,1/1/4000 0:00:00,168666,168666,Yes,NO,YES,Sound Transit,NO,E,Yes,6.0000000,5,NO,SIS data load,A St SW,Unknown,10/21/2002 0:00:00,10/21/2002 0:00:00,1/10/2014 0:00:00,117.000000000000000,117.000000000000000,UNK,Unknown,0.0000000,50,152,AUB,24,S,98002,None,null,Near side,167.855999999999990,69.6999969,143684,Paul Alexander,NO,Other,0,0,Auburn Sounder Station AcRd,NO,Sound Transit,0,Unknown,UNK,NO,n,None,None,Unknown,0.0000000,0,W,S,0.0000000,Away,Concrete,Pillar,None,150,Active,LAYOVER,null,0.0000000,N,Unknown,1293600.931499999900000,114441.051750000000000,1293600.931499999900000,114416.051750000000000,null,Bay 5,1,0,Auburn,10181821.749000000000000,14258.105000000000000,0,0,0,0,0,0,0,0.000000000000000,233.742999999999990,94.593000000000004,10181821.749000000000000,14258.105000000000000, 
4,3247,58350,58350,9/27/2014 0:00:00,1/1/4000 0:00:00,152817,152817,Yes,NO,NO,Auburn,NO,S,UNK,0.0000000,nu,NO,SIS data load,2nd St SE,Unknown,2/7/2001 0:00:00,2/7/2001 0:00:00,7/14/2014 0:00:00,160.000000000000000,160.000000000000000,UNK,Unknown,0.0000000,160,160,AUB,24,S,98002,None,null,Far side,563.216999999999980,28.4099998,126174,Korthad,NO,None,0,1,Auburn Way S,NO,Metro Transit,90,Unknown,UNK,NO,n,A1 <=2 rts,Single,Unknown,0.0000000,0,S,W,0.0000000,Away,Concrete,2in metal,None,90,Active,REGULAR,null,0.0000000,N,Unknown,1294969.665079999900000,114477.579575000000000,1294944.665319999900000,114477.690500000000000,"186,915",null,1,0,Auburn,10181821.749000000000000,14258.105000000000000,0,0,0,0,0,0,0,0.000000000000000,233.742999999999990,94.593000000000004,10181821.749000000000000,14258.105000000000000, 
5,2975,57776,57776,2/15/2014 0:00:00,1/1/4000 0:00:00,168664,168664,Yes,YES,YES,Sound Transit,NO,S,Yes,6.0000000,4,NO,SIS data load,2nd St SW,YelRed- stop,10/21/2002 0:00:00,10/21/2002 0:00:00,11/12/2013 0:00:00,29.930000000000000,29.930000000000000,No,Concrete,0.0000000,200,30,AUB,24,S,98002,None,null,Far side,50.725000000000001,59.0000000,143683,Korthad,NO,Other,0,1,Auburn Sounder Station AcRd,NO,Sound Transit,0,Unknown,No,NO,n,Non-Metro,Midsize,Concrete,0.0000000,0,S,W,0.0000000,Away,Concrete,Pillar,None,120,Active,REG/LAY,null,0.0000000,N,Unknown,1293412.464010000000000,114497.081577000000000,1293387.477849999900000,114497.913512000000000,"910,917",ST Shelter,1,0,Auburn,10181821.749000000000000,14258.105000000000000,0,0,0,0,0,0,0,0.000000000000000,233.742999999999990,94.593000000000004,10181821.749000000000000,14258.105000000000000, 
6,3907,57775,57775,2/15/2014 0:00:00,1/1/4000 0:00:00,168661,168661,Yes,YES,YES,Sound Transit,NO,S,Yes,6.0000000,3,NO,SIS data load,2nd St SW,YelRed- stop,10/21/2002 0:00:00,10/21/2002 0:00:00,11/12/2013 0:00:00,56.000000000000000,56.000000000000000,UNK,Concrete,0.0000000,100,56,AUB,24,S,98002,None,null,Far side,57.003999999999998,98.2399979,143681,Korthad,NO,Other,0,1,Auburn Sounder Station AcRd,NO,Sound Transit,0,Unknown,No,NO,n,Non-Metro,Midsize,Concrete,0.0000000,0,S,W,0.0000000,Away,Concrete,Pillar,None,80,Active,REGULAR,null,0.0000000,N,Unknown,1293415.531400000000000,114589.166018000000000,1293390.545239999900000,114589.997982999990000,181,ST Shelter,1,0,Auburn,10181821.749000000000000,14258.105000000000000,0,0,0,0,0,0,0,0.000000000000000,233.742999999999990,94.593000000000004,10181821.749000000000000,14258.105000000000000, 
7,920,81201,81201,2/18/2012 0:00:00,1/1/4000 0:00:00,139119,139119,Yes,NO,NO,Auburn,NO,E,UNK,0.0000000,nu,NO,Korthad,A St SE,Unknown,11/29/2011 0:00:00,11/29/2011 0:00:00,12/21/2011 0:00:00,247.449999999999990,247.449999999999990,UNK,Unknown,0.0000000,42,247,AUB,24,S,98002,None,null,Near side,289.451000000000020,85.4899979,126180,Korthad,NO,None,0,1,2nd St SE,NO,Metro Transit,70,Unknown,UNK,NO,N,A2 <=6 rts,None,Unknown,0.0000000,0,W,S,0.0000000,Toward,Base plate,2in metal,None,70,Active,REGULAR,null,0.0000000,Y,Unknown,1294201.752140000000000,114628.151555000000000,1294201.145509999900000,114603.158916000000000,"180,915,186,181",null,1,0,Auburn,10181821.749000000000000,14258.105000000000000,0,0,0,0,0,0,0,0.000000000000000,233.742999999999990,94.593000000000004,10181821.749000000000000,14258.105000000000000, 
8,919,81205,81205,4/16/2013 0:00:00,1/1/4000 0:00:00,49682,49682,2 ft clear,NO,NO,Auburn,NO,E,UNK,0.0000000,nu,NO,SIS data load,B St SE,Unknown,10/21/2002 0:00:00,10/21/2002 0:00:00,4/16/2013 0:00:00,85.000000000000000,85.000000000000000,UNK,Unknown,0.0000000,85,85,AUB,24,S,98002,None,null,Far side,402.310999999999980,21.1299992,126182,Korthad,NO,None,0,0,2nd St SE,NO,Metro Transit,70,Unknown,UNK,NO,n,A2 <=6 rts,Double,Unknown,0.0000000,0,E,S,0.0000000,Toward,Base plate,2in metal,None,70,Active,REGULAR,null,0.0000000,N,Unknown,1294623.867350000000000,114632.929244000000000,1294624.202719999900000,114607.931494000000000,"181,915,186",null,1,0,Auburn,10181821.749000000000000,14258.105000000000000,0,0,0,0,0,0,0,0.000000000000000,233.742999999999990,94.593000000000004,10181821.749000000000000,14258.105000000000000, 
9,878,81100,81100,9/27/2014 0:00:00,1/1/4000 0:00:00,49682,49682,Yes,NO,NO,Auburn,NO,W,UNK,0.0000000,nu,NO,SIS data load,B St SE,Unknown,5/16/2002 0:00:00,5/16/2002 0:00:00,7/10/2014 0:00:00,10.000000000000000,10.000000000000000,UNK,Unknown,0.0000000,10,10,AUB,24,S,98002,None,null,Near side,402.310999999999980,2.4900000,126182,Korthad,NO,None,0,1,2nd St SE,NO,Metro Transit,100,Unknown,UNK,NO,n,A2 <=6 rts,Single,Unknown,0.0000000,1,E,N,0.0000000,Toward,Cncrt-earth,2in metal,None,100,Active,REGULAR,null,0.0000000,N,Unknown,1294548.874099999900000,114631.923146000000000,1294548.538729999900000,114656.920897000000000,"181,915,186",null,1,0,Auburn,10181821.749000000000000,14258.105000000000000,0,0,0,0,0,0,0,0.000000000000000,233.742999999999990,94.593000000000004,10181821.749000000000000,14258.105000000000000, 
