FID,FID_juncti,OBJECTID,ANCILLARYR,ENABLED,PSRCjunctI,JunctionTy,TRANSITSTO,P_RStalls,Modes,FTRdescrip,inServiceD,outService,dateLastUp,EMME2nodeI,EMME2nodeL,DateCreate,LastEditor,EditNotes,Processing,EMME2Dir,EMME2HOV,PSRC_E2ID,ScenarioID,Scen_Node,IsZone,XCoord,YCoord,lat,lon,FID_urbcen,ID,NAME,AREA_FEET,PERIMETER_,PARKING,POPDEN1996,PLANPOP96,JOBS1994,PLANJOBS94,HOUSEUNITS,HUPLAN,FLOORSPC,ACRES,HECTARES,AREA,PERIMETER,ADOPTDATE
0,5016,60740985,0,1,165018,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,169018,0,1277198.647060000100000,57240.294117600002000,47.1474991,-122.2929993,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
1,24143,60740615,0,1,164738,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,168738,0,1277200.529410000000000,57910.882352900000000,47.1492996,-122.2929993,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
2,4942,60740730,0,1,164449,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0, ,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,168449,0,1279861.764710000000000,58508.117647100000000,47.1511002,-122.2819977,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
3,4966,60740737,0,1,164421,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0, ,12/30/1899 0:00:00,Stefan, ,0,bi,5989,0,107,168421,0,1277229.882350000100000,58583.235294099999000,47.1511993,-122.2929993,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
4,5563,60740654,0,1,163996,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,167996,0,1277236.647060000100000,59423.705882399998000,47.1534996,-122.2929993,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
5,5350,60740652,0,1,163860,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0, ,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,167860,0,1283670.117649999900000,59710.235294099999000,47.1545982,-122.2669983,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
6,4563,60740041,0,1,163804,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,167804,0,1280055.764710000000000,59858.000000000000000,47.1548004,-122.2819977,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
7,19658,60744150,0,1,163764,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0, ,12/30/1899 0:00:00,Stefan, ,0,bi,5754,0,107,167764,0,1277248.529410000000000,59925.705882399998000,47.1548004,-122.2929993,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
8,24200,60740370,0,1,163756,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,167756,0,1275870.000000000000000,59953.176470600003000,47.1548004,-122.2979965,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
9,24070,60739809,0,1,163752,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,167752,0,1275173.529410000000000,59965.176470600003000,47.1548004,-122.3010025,22,0,Puyallup South Hill,0.000000000000000,0.000000000000000,0,0,0,0,0,0,0,0.000000000000000,845.033999999999990,0.000000000000000,36800872.633000001000000,31274.859000000000000, 
10,3918,60740589,0,1,163687,4,0,0,a,   0,1995,2050,5/4/2015 0:00:00,0,0,12/30/1899 0:00:00,Stefan, ,0, ,0,0,107,167687,0,1225924.117649999900000,60067.941176499997000,47.1524010,-122.4990005,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
11,4152,60744885,0,1,182414,4,0,0,a, ,2000,2050,5/4/2015 0:00:00,0,n/a,8/3/2010 0:00:00,Stefan, ,0, ,0,0,107,186414,0,1226108.352939999900000,60222.117647100000000,47.1528015,-122.4980011,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
12,19671,60743838,0,1,163358,7,0,600,a,   0,2008,2050,5/4/2015 0:00:00,3759,n/a,12/30/1899 0:00:00,Stefan,Lakewood Station,0, ,0,3759,107,3759,1,1226006.764710000000000,60314.882352900000000,47.1530991,-122.4990005,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
13,5318,60744388,0,1,163330,2,0,0,a,   0,2012,2050,9/16/2016 0:00:00,0,n/a,12/30/1899 0:00:00,LEngel, ,0, ,0,0,107,167330,0,1225957.588240000000000,60359.000000000000000,47.1531982,-122.4990005,13,0,Lakewood,23431783.390000001000000,33696.972000000002000,0,0,0,0,0,0,0,0.000000000000000,537.922000000000030,217.688999999999990,23431783.390000001000000,33696.972000000002000, 
