beghom,day,endhom,esstops,estours,hbtours,hhno,mestops,metours,mlstops,mltours,pbstops,pbtours,pdexpfac,pno,restops,retours,scstops,sctours,shstops,shtours,sostops,sotours,uwtours,wbtours,wkathome,wkstops,wktours
1,1,1,0,0,1,2001,0,0,0,0,0,0,162.43,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,1,0,0,1,2001,0,0,0,0,0,0,162.43,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1,1,1,0,0,0,2006,0,0,0,0,0,0,178.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2006,0,0,0,0,0,1,178.38,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,2006,0,0,0,0,0,1,178.38,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2006,0,0,0,0,0,0,178.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,2006,0,1,0,0,0,0,178.38,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,2006,0,0,0,0,0,0,178.38,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,2015,0,0,0,0,0,0,205.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,2015,0,0,0,0,0,0,205.82,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,2015,0,0,0,0,0,0,205.82,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2015,0,0,0,0,0,0,205.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2015,0,0,0,0,0,0,205.82,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2015,0,0,0,0,0,0,205.82,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2016,0,0,0,0,0,0,49.18,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1,2,1,0,0,1,2016,0,0,0,0,1,0,49.18,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,0,0,1,2033,0,0,0,0,0,1,109.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,2,2033,0,0,0,0,0,0,109.29,2,0,1,0,0,0,0,2,0,1,0,0,0,1
1,2,1,0,1,3,2033,0,0,0,0,0,0,109.29,1,0,0,0,0,0,1,4,1,0,0,0,0,0
1,2,1,0,0,2,2033,0,0,0,0,0,0,109.29,2,0,0,0,0,0,0,2,1,1,0,0,0,1
1,1,1,0,0,1,2058,0,0,0,0,0,0,208.09,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,0,0,2,2058,0,0,1,0,1,0,208.09,2,0,0,0,0,0,1,0,0,1,0,0,0,1
1,2,1,0,0,1,2058,0,0,0,0,0,0,208.09,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,1,0,0,1,2058,0,0,0,0,1,0,208.09,2,0,0,0,0,1,0,0,0,1,0,0,0,1
1,1,1,0,0,2,2062,0,0,0,1,0,1,111.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,2062,0,1,0,0,0,0,111.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2065,0,0,0,0,0,0,102.53,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,0,0,1,2065,0,0,0,0,1,0,102.53,2,1,0,0,0,0,0,0,0,0,0,0,0,1
1,2,1,0,0,1,2065,0,0,0,0,0,0,102.53,1,0,0,0,0,0,0,0,0,1,0,0,2,1
1,2,1,0,0,2,2065,0,0,0,0,0,0,102.53,2,0,0,0,0,0,0,0,0,2,0,0,0,2
1,1,1,0,0,1,2067,0,0,0,0,0,1,133.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,2067,0,0,1,0,0,0,133.85,2,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,0,0,1,2067,0,0,0,0,1,0,133.85,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,2,1,0,1,1,2067,0,0,1,0,0,0,133.85,2,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,1,2070,0,0,0,0,0,0,221.21,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,0,0,1,2070,0,0,0,0,0,0,221.21,2,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,0,0,0,2070,0,0,0,0,0,0,221.21,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,2070,0,0,0,0,0,0,221.21,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,1,0,0,1,2070,0,0,0,0,0,0,221.21,2,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,1,0,0,0,2070,0,0,0,0,0,0,221.21,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,2071,0,0,0,0,0,0,85.96,1,0,0,0,0,0,0,0,0,1,0,520,2,1
1,1,1,1,0,2,2071,0,0,0,0,0,0,85.96,2,0,0,0,0,0,0,0,0,2,0,0,1,2
1,1,1,0,0,2,2071,0,0,0,0,0,0,85.96,3,0,0,0,1,0,1,0,0,0,0,0,0,0
1,1,1,1,0,1,2071,0,0,0,0,0,0,85.96,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,2071,0,0,0,0,0,0,85.96,1,0,0,0,0,0,0,0,0,1,0,855,0,1
1,2,1,0,0,1,2071,0,0,0,0,0,0,85.96,2,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,1,0,0,2,2071,0,0,0,0,0,0,85.96,3,0,1,0,1,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2071,0,0,0,0,0,0,85.96,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2089,1,0,0,0,0,0,117.79,1,0,0,0,0,1,0,0,0,1,1,0,1,1
1,1,1,1,0,1,2089,1,0,0,0,0,0,117.79,2,0,0,0,0,1,0,0,0,1,0,0,1,1
1,1,1,1,0,2,2089,0,0,0,0,0,0,117.79,3,0,0,1,1,0,0,0,1,0,0,0,0,0
1,1,1,0,0,1,2089,1,0,0,0,0,0,117.79,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,2089,1,0,0,0,0,0,117.79,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,1,1,0,2,2089,1,0,0,0,0,1,117.79,2,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,1,0,0,2,2089,0,0,0,0,0,1,117.79,3,0,0,1,1,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,2089,0,0,0,0,0,0,117.79,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2109,0,0,0,0,0,0,490.46,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,1,0,0,2,2109,0,0,0,2,0,0,490.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2110,0,0,0,0,0,0,348.28,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1,1,1,0,0,1,2110,0,0,0,0,0,0,348.28,2,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2110,0,0,0,0,0,0,348.28,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,2110,0,0,0,0,0,0,348.28,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,1,0,0,1,2110,0,0,0,0,0,0,348.28,2,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,2110,0,0,0,0,0,0,348.28,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,0,0,2,2116,0,0,0,0,0,0,33.1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1,1,1,0,0,1,2116,0,0,0,0,1,1,33.1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,1,0,0,1,2116,0,0,0,0,0,0,33.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,2116,0,0,0,0,0,0,33.1,2,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,2,2120,0,0,0,0,0,1,167.78,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1,1,1,0,0,0,2120,0,0,0,0,0,0,167.78,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,2,2120,0,0,0,0,1,1,167.78,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1,2,1,0,0,0,2120,0,0,0,0,0,0,167.78,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,2,2128,0,0,0,0,1,0,128.05,1,0,0,0,0,1,1,0,1,0,0,0,0,0
1,2,1,0,0,3,2128,0,0,1,0,1,0,128.05,1,0,0,0,0,4,2,0,1,0,0,0,0,0
1,1,1,0,0,0,2138,0,0,0,0,0,0,129.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,2138,0,0,0,0,0,0,129.11,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2138,0,0,0,0,0,0,129.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2138,0,0,0,0,0,0,129.11,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,3,2158,0,0,0,0,0,1,35.06,1,0,2,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,2,5,2158,0,0,1,0,2,0,35.06,1,0,2,0,0,2,0,0,1,0,0,0,0,0
1,1,1,2,1,1,2163,0,0,0,0,0,0,48.74,1,1,0,0,0,0,0,2,0,0,0,0,0,0
1,1,1,0,1,1,2163,0,0,0,0,2,0,48.74,2,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,0,0,2,2163,0,0,0,0,0,0,48.74,1,0,1,0,0,2,0,0,0,0,0,0,0,1
1,2,1,0,0,3,2163,0,0,0,1,0,1,48.74,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,2,2206,0,0,0,0,0,0,139.93,1,0,0,0,0,1,0,0,1,1,0,0,0,1
1,2,1,0,1,3,2206,1,0,0,0,0,0,139.93,1,0,0,0,0,0,1,0,0,1,0,0,0,1
1,1,1,0,0,1,2220,0,1,0,0,0,0,284.85,1,0,0,0,0,0,0,0,0,0,0,1032,0,0
1,1,1,0,0,1,2220,0,0,0,0,0,0,284.85,2,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,1,0,0,0,2220,0,0,0,0,0,0,284.85,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,2,1,1,2220,0,0,0,0,1,0,284.85,1,0,0,0,0,0,0,0,0,0,0,630,0,0
1,2,1,2,0,2,2220,0,0,0,0,0,0,284.85,2,0,1,0,0,0,0,0,0,0,0,0,0,1
1,2,1,1,1,1,2220,0,0,0,0,0,0,284.85,3,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,0,2229,0,0,0,0,0,0,153.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,2229,0,0,0,0,0,0,153.97,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2229,0,0,0,0,0,0,153.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2229,0,0,0,0,0,0,153.97,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2237,0,0,0,0,0,0,59.99,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2237,0,0,0,0,0,1,59.99,2,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2237,0,0,0,0,0,0,59.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2237,0,0,0,0,0,0,59.99,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2238,0,0,0,0,0,0,61.78,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,1,0,0,1,2238,1,0,0,0,1,0,61.78,2,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,1,0,0,1,2238,0,0,0,0,0,1,61.78,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,1,0,1,1,2238,0,0,1,0,3,0,61.78,2,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2254,0,0,0,0,0,0,115.88,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,0,0,0,0,2254,0,0,0,0,0,0,115.88,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,2,2262,0,0,0,0,2,1,163.71,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,1,0,0,2,2262,0,0,0,0,0,0,163.71,2,0,0,0,0,0,1,0,0,1,0,0,0,1
1,1,1,0,0,0,2262,0,0,0,0,0,0,163.71,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,2262,0,0,0,0,0,1,163.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,2,2262,0,0,0,0,0,0,163.71,2,0,0,0,0,2,1,0,0,1,0,0,0,1
1,2,1,0,0,0,2262,0,0,0,0,0,0,163.71,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2318,0,0,0,0,0,0,60.01,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2318,0,0,0,0,0,0,60.01,2,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,1,0,0,1,2318,0,0,0,0,0,0,60.01,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,1,0,0,0,2318,0,0,0,0,0,0,60.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,2324,0,0,0,0,0,0,298.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,2,2324,0,0,0,0,1,2,298.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2324,0,0,0,0,0,0,298.06,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,1,0,0,2,2324,0,0,0,1,0,1,298.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,1,2324,0,0,0,0,0,1,298.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,2,2324,0,0,0,0,0,0,298.06,3,0,0,0,1,0,0,0,1,0,0,0,0,0
1,1,1,0,0,2,2325,0,0,0,0,0,1,204.68,1,0,0,0,0,0,0,0,0,1,0,0,1,1
1,2,1,0,0,2,2325,0,0,0,0,0,0,204.68,1,0,0,0,0,0,1,0,0,1,0,0,1,1
1,1,1,0,1,2,2327,1,0,0,0,1,0,141.32,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,1,0,1,3,2327,0,0,0,1,0,0,141.32,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2,1,0,0,2,2327,1,1,0,0,3,1,141.32,1,0,0,0,0,2,0,0,0,0,0,0,0,0
1,2,1,0,0,1,2327,0,0,0,0,3,1,141.32,2,0,0,0,0,2,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2329,0,0,0,0,0,1,198.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2329,0,0,0,0,0,1,198.57,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2329,0,0,0,0,0,0,198.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2329,0,0,0,0,0,0,198.57,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2330,0,0,0,0,0,0,105.31,1,0,0,0,0,1,0,0,0,1,0,0,1,1
1,1,1,0,0,1,2330,0,0,0,0,3,0,105.31,2,0,0,0,0,2,1,0,0,0,0,0,0,0
1,2,1,0,0,1,2330,0,0,0,0,0,0,105.31,1,0,0,0,0,1,0,0,0,1,0,0,1,1
1,2,1,0,0,0,2330,0,0,0,0,0,0,105.31,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2343,0,0,1,0,0,0,131.36,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,0,0,1,2343,1,0,0,0,0,1,131.36,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2354,0,1,0,0,0,0,164.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2354,0,0,0,0,0,0,164.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,2,2367,0,0,0,0,0,1,150.37,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2367,0,0,0,0,0,0,150.37,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2367,0,0,0,0,0,0,150.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2367,0,0,0,0,0,0,150.37,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2426,0,0,0,0,0,0,117.39,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,1,0,0,1,2426,1,0,0,0,0,1,117.39,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,2,2426,0,0,0,0,0,1,117.39,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,1,0,0,0,2426,0,0,0,0,0,0,117.39,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2456,0,0,0,0,0,0,151.48,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,0,0,1,2456,0,0,0,0,0,0,151.48,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,2,2456,0,0,0,0,0,1,151.48,3,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,1,0,0,2,2456,0,0,0,0,2,1,151.48,4,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,2456,0,0,0,0,0,0,151.48,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,0,0,0,0,2456,0,0,0,0,0,0,151.48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,1,2,2456,0,0,1,0,0,0,151.48,3,0,0,0,0,1,0,3,1,0,0,0,0,0
1,2,0,0,0,0,2456,0,0,0,0,0,0,151.48,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2457,0,0,0,0,0,0,105.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,2457,0,0,0,0,0,0,105.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,2457,0,0,0,0,0,0,105.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,2457,0,0,1,0,0,0,105.5,2,1,0,0,0,2,0,0,1,0,0,0,0,0
1,1,0,0,0,0,2482,0,0,0,0,0,0,40.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2482,0,1,0,0,1,0,40.12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,2482,0,0,0,0,0,0,40.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,2482,0,0,0,0,0,0,40.12,2,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,0,0,1,2495,0,0,0,0,0,0,48.24,1,0,1,0,0,0,0,0,0,0,0,1125,0,0
1,1,1,0,0,1,2495,0,0,0,0,0,0,48.24,2,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,1,0,0,1,2495,0,0,0,0,0,0,48.24,1,0,0,0,0,1,0,0,1,0,0,1140,0,0
1,2,1,0,0,1,2495,0,0,1,0,0,0,48.24,2,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,1,0,0,3,2502,0,0,0,0,0,1,59.32,1,0,1,0,0,0,0,0,0,1,0,0,0,1
1,1,1,0,0,3,2502,0,0,0,2,0,0,59.32,2,0,1,0,0,0,0,0,0,0,0,1085,0,0
1,2,1,0,0,1,2502,0,0,0,0,0,0,59.32,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,1,0,0,3,2502,0,0,0,2,0,0,59.32,2,0,1,0,0,0,0,0,0,0,0,1128,0,0
1,1,1,0,0,1,2503,0,0,0,0,2,0,105.43,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,2503,0,0,0,0,0,0,105.43,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,1,2503,0,1,0,0,0,0,105.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,2503,0,0,0,0,0,0,105.43,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,2507,0,0,0,1,0,0,54.15,1,0,0,0,0,2,0,1,0,0,0,0,0,0
