,observed_boardings,tod,route_id,model_boardings
0,131,6to7,1001,136.708572387695
1,131,6to7,1001,6.85017156600952
2,284,6to7,1002,1.07989418506622
3,284,6to7,1002,96.7699279785156
4,284,6to7,1002,43.9063453674316
5,284,6to7,1002,97.9596633911133
6,284,6to7,1002,10.6436557769775
7,361,6to7,1003,19.4848022460938
8,361,6to7,1003,26.0628089904785
9,361,6to7,1003,12.756721496582
10,361,6to7,1003,25.4718170166016
11,361,6to7,1003,6.17199802398682
12,361,6to7,1003,46.9105949401855
13,361,6to7,1003,32.5129508972168
14,255,6to7,1004,39.8237762451172
15,255,6to7,1004,38.5590019226074
16,255,6to7,1004,6.52997350692749
17,255,6to7,1004,25.9310359954834
18,255,6to7,1004,35.3286018371582
19,532,6to7,1005,77.7823104858398
20,532,6to7,1005,153.919174194336
21,532,6to7,1005,172.315612792969
22,700,6to7,1007,99.1289138793945
23,700,6to7,1007,30.1995716094971
24,700,6to7,1007,282.178649902344
25,700,6to7,1007,120.798286437988
26,700,6to7,1007,82.6324996948242
27,562,6to7,1008,216.918182373047
28,562,6to7,1008,21.3983421325684
29,562,6to7,1008,42.7966842651367
30,174,6to7,1009,79.1440963745117
31,174,6to7,1009,11.6799926757812
32,162,6to7,1010,0.35009765625
33,162,6to7,1010,62.5115432739258
34,162,6to7,1010,44.4745597839355
35,125,6to7,1011,65.0522079467773
36,125,6to7,1011,80.0138397216797
37,213,6to7,1012,0.92057192325592
38,213,6to7,1012,11.1274147033691
39,213,6to7,1012,62.5492820739746
40,213,6to7,1012,16.6911201477051
41,151,6to7,1013,71.1744232177734
42,151,6to7,1013,16.609302520752
43,151,6to7,1013,74.82958984375
44,162,6to7,1014,7.58275890350342
45,162,6to7,1014,28.4239940643311
46,162,6to7,1014,44.9804840087891
47,81,6to7,1015,23.8673439025879
48,199,6to7,1016,122.69425201416
49,199,6to7,1016,74.4986267089844
50,199,6to7,1016,61.3471260070801
51,99,6to7,1017,70.1659698486328
52,118,6to7,1018,83.3496017456055
53,44,6to7,1019,39.2443351745605
54,44,6to7,1019,30.4944744110107
55,387,6to7,1021,144.193496704102
56,387,6to7,1021,132.891540527344
57,387,6to7,1021,65.1801605224609
58,5,6to7,1022,6.13654136657715
59,199,6to7,1024,60.2445335388184
60,199,6to7,1024,72.8907699584961
61,70,6to7,1025,27.1471099853516
62,70,6to7,1025,27.1471099853516
63,70,6to7,1025,12.8130350112915
64,258,6to7,1026,80.8580093383789
65,258,6to7,1026,82.8058013916016
66,258,6to7,1026,52.0001449584961
67,78,6to7,1027,12.1503887176514
68,78,6to7,1027,27.0581340789795
69,405,6to7,1028,206.700637817383
70,405,6to7,1028,78.2268981933594
71,405,6to7,1028,61.3217315673828
72,151,6to7,1029,217.930206298828
73,56,6to7,1030,7.67283153533936
74,56,6to7,1030,38.8822212219238
75,59,6to7,1031,83.6370620727539
76,59,6to7,1031,27.9975719451904
77,132,6to7,1032,57.8935737609863
78,132,6to7,1032,105.438995361328
79,194,6to7,1033,66.4204177856445
80,194,6to7,1033,95.2855453491211
81,528,6to7,1036,46.4555778503418
82,528,6to7,1036,223.228149414062
83,528,6to7,1036,74.7205047607422
84,51,6to7,1037,65.9769134521484
85,412,6to7,1040,100.44898223877
86,412,6to7,1040,301.347045898438
87,412,6to7,1040,146.805938720703
88,412,6to7,1040,73.4029693603516
89,557,6to7,1041,89.2876892089844
90,557,6to7,1041,77.9828262329102
91,557,6to7,1041,211.208389282227
92,313,6to7,1043,26.8922023773193
93,313,6to7,1043,55.2512702941895
94,313,6to7,1043,28.2029705047607
95,313,6to7,1043,46.4862670898438
96,313,6to7,1043,55.2512702941895
97,313,6to7,1043,84.6089096069336
98,239,6to7,1044,46.9514312744141
99,239,6to7,1044,105.677169799805
100,239,6to7,1044,14.560525894165
101,239,6to7,1044,148.365859985352
102,58,6to7,1047,0.867406129837036
103,58,6to7,1047,11.6765012741089
104,58,6to7,1047,10.5097208023071
105,622,6to7,1048,175.730758666992
106,622,6to7,1048,437.289459228516
107,228,6to7,1049,19.3709335327148
108,228,6to7,1049,60.5600967407227
109,228,6to7,1049,27.9912528991699
110,228,6to7,1049,21.3857116699219
111,228,6to7,1049,59.3166389465332
112,239,6to7,1050,100.049751281738
