pollutantID,pollutant_name,veh_type,intrazonal_vmt,interzonal_vmt,intrazonal_tons,interzonal_tons,running_daily_tons
1,Total Gaseous HCs,heavy,213.0318773603945,79440.31993995116,0.000167838442769651,0.04033201359488556,0.04049985203765521
1,Total Gaseous HCs,light,504.97359306000004,1895650.6075337718,6.388218936364836e-05,0.16041030619181937,0.16047418838118302
1,Total Gaseous HCs,medium,9.402676802301382,120244.35963460659,3.8057119022291546e-06,0.027171040655466622,0.027174846367368853
1,Total Gaseous HCs,transit,0.0,5500.368982931991,0.0,0.011354510005784442,0.011354510005784442
2,CO,heavy,213.0318773603945,79440.31993995116,0.0011623892659480303,0.2905817062144227,0.2917440954803707
2,CO,light,504.97359306000004,1895650.6075337718,0.002193256856473429,5.481486152157697,5.4836794090141705
2,CO,medium,9.402676802301382,120244.35963460659,5.568016654228136e-05,0.4865115884902863,0.4865672686568286
2,CO,transit,0.0,5500.368982931991,0.0,0.04296338967505411,0.04296338967505411
3,NOx,heavy,213.0318773603945,79440.31993995116,0.003271730564779124,0.909423580009767,0.9126953105745461
3,NOx,light,504.97359306000004,1895650.6075337718,0.0002167008322568766,0.6692561970032349,0.6694728978354918
3,NOx,medium,9.402676802301382,120244.35963460659,1.9375205736508057e-05,0.1605075907637539,0.1605269659694904
3,NOx,transit,0.0,5500.368982931991,0.0,0.053792153772154815,0.053792153772154815
5,Methane,heavy,213.0318773603945,79440.31993995116,3.580533278734831e-05,0.008144572596153712,0.00818037792894106
5,Methane,light,504.97359306000004,1895650.6075337718,1.1721222627067375e-05,0.02969100209150733,0.0297027233141344
5,Methane,medium,9.402676802301382,120244.35963460659,9.501310881957522e-07,0.006404090966407958,0.006405041097496154
5,Methane,transit,0.0,5500.368982931991,0.0,0.007564460404414127,0.007564460404414127
6,N20,heavy,213.0318773603945,79440.31993995116,1.2656692504111234e-06,0.00027587693932733747,0.0002771426085777486
6,N20,light,504.97359306000004,1895650.6075337718,2.863590921635635e-06,0.006491352212393737,0.006494215803315373
6,N20,medium,9.402676802301382,120244.35963460659,9.899232164230919e-08,0.0007043855274016164,0.0007044845197232587
6,N20,transit,0.0,5500.368982931991,0.0,5.2594461886268976e-05,5.2594461886268976e-05
79,Non-methane HCs,heavy,213.0318773603945,79440.31993995116,0.0001320330969168634,0.03218742893006244,0.0323194620269793
79,Non-methane HCs,light,504.97359306000004,1895650.6075337718,5.21612472951327e-05,0.13071932757842758,0.1307714888257227
79,Non-methane HCs,medium,9.402676802301382,120244.35963460659,2.8555835421821274e-06,0.02076695798017523,0.020769813563717415
79,Non-methane HCs,transit,0.0,5500.368982931991,0.0,0.0037900455471221897,0.0037900455471221897
87,VOCs,heavy,213.0318773603945,79440.31993995116,0.00015013954136667207,0.036597379552918516,0.03674751909428519
87,VOCs,light,504.97359306000004,1895650.6075337718,5.557752365359467e-05,0.1395917390108844,0.139647316534538
87,VOCs,medium,9.402676802301382,120244.35963460659,3.160804470582949e-06,0.022974111245299713,0.022977272049770295
87,VOCs,transit,0.0,5500.368982931991,0.0,0.004348303251863456,0.004348303251863456
90,Atmospheric CO2,heavy,213.0318773603945,79440.31993995116,0.5369937138998938,160.65084906561876,161.18784277951866
90,Atmospheric CO2,light,504.97359306000004,1895650.6075337718,0.2665144579716137,751.8961191288228,752.1626335867944
90,Atmospheric CO2,medium,9.402676802301382,120244.35963460659,0.008486724444281994,76.47688511018208,76.48537183462636
90,Atmospheric CO2,transit,0.0,5500.368982931991,0.0,9.638344076830428,9.638344076830428
91,Total Energy,heavy,213.0318773603945,79440.31993995116,7296.78916653597,2182838.5065398724,2190135.2957064086
91,Total Energy,light,504.97359306000004,1895650.6075337718,3706.309233359108,10456369.917756883,10460076.226990243
91,Total Energy,medium,9.402676802301382,120244.35963460659,117.01819334000115,1055165.6653555897,1055282.6835489296
91,Total Energy,transit,0.0,5500.368982931991,0.0,132795.49300030104,132795.49300030104
98,CO2 Equivalent,heavy,213.0318773603945,79440.31993995116,0.5382655142077353,160.93672835716967,161.4749938713774
98,CO2 Equivalent,light,504.97359306000004,1895650.6075337718,0.26766074802786,754.5726189429225,754.8402796909504
98,CO2 Equivalent,medium,9.402676802301382,120244.35963460659,0.008539981006659056,76.84690169299454,76.8554416740012
98,CO2 Equivalent,transit,0.0,5500.368982931991,0.0,9.84313376118496,9.84313376118496
100,PM10 Exhaust,heavy,213.0318773603945,79440.31993995116,0.0001110765251107286,0.030724903654877185,0.030835980179987912
100,PM10 Exhaust,light,504.97359306000004,1895650.6075337718,3.851569195919551e-06,0.009040320654887043,0.009044172224082962
100,PM10 Exhaust,medium,9.402676802301382,120244.35963460659,5.161821548289279e-07,0.0038710656631142956,0.0038715818452691245
100,PM10 Exhaust,transit,0.0,5500.368982931991,0.0,0.0011347672092577206,0.0011347672092577206
106,PM10 Brakewear,heavy,213.0318773603945,79440.31993995116,0.0001359224329672714,0.023087783731127846,0.023223706164095116
106,PM10 Brakewear,light,504.97359306000004,1895650.6075337718,3.921089651695316e-05,0.0837302577701613,0.08376946866667825
106,PM10 Brakewear,medium,9.402676802301382,120244.35963460659,1.425126112217611e-06,0.008079685395923929,0.008081110522036146
106,PM10 Brakewear,transit,0.0,5500.368982931991,0.0,0.0013432539460212884,0.0013432539460212884
107,PM10 Tirewear,heavy,213.0318773603945,79440.31993995116,1.0602852174479668e-05,0.003089199304745125,0.0030998021569196045
107,PM10 Tirewear,light,504.97359306000004,1895650.6075337718,7.010952371326429e-06,0.020800689660769093,0.02080770061314042
