MOVESScenarioID,MOVESRunID,yearID,monthID,dayID,hourID,zoneID,pollutantID,processID,sourceTypeID,regClassID,SCC,fuelTypeID,modelYearID,temperature,relHumidity,ratePerVehicle
1,1,2021,7,5,22,530330,112,16,0,0,,0,0,64.5,65.9,5.26287e-08
1,1,2021,7,5,22,530330,112,2,0,0,,0,0,64.5,65.9,5.55404e-05
1,1,2021,7,5,22,530330,110,16,0,0,,0,0,64.5,65.9,3.06612e-06
1,1,2021,7,5,22,530330,110,2,0,0,,0,0,64.5,65.9,0.000330324
1,1,2021,7,5,22,530330,100,16,0,0,,0,0,64.5,65.9,3.33322e-06
1,1,2021,7,5,22,530330,100,2,0,0,,0,0,64.5,65.9,0.000359108
1,1,2021,7,5,22,530330,98,2,0,0,,0,0,64.5,65.9,8.92929
1,1,2021,7,5,22,530330,91,2,0,0,,0,0,64.5,65.9,104240.0
1,1,2021,7,5,22,530330,90,2,0,0,,0,0,64.5,65.9,7.66119
1,1,2021,7,5,22,530330,87,16,0,0,,0,0,64.5,65.9,1.0295e-05
1,1,2021,7,5,22,530330,87,2,0,0,,0,0,64.5,65.9,0.0195261
1,1,2021,7,5,22,530330,79,16,0,0,,0,0,64.5,65.9,9.05504e-06
1,1,2021,7,5,22,530330,79,2,0,0,,0,0,64.5,65.9,0.0196977
1,1,2021,7,5,22,530330,31,2,0,0,,0,0,64.5,65.9,6.37113e-05
1,1,2021,7,5,22,530330,6,2,0,0,,0,0,64.5,65.9,0.00320328
1,1,2021,7,5,22,530330,5,2,0,0,,0,0,64.5,65.9,0.0125412
1,1,2021,7,5,22,530330,3,16,0,0,,0,0,64.5,65.9,2.55569e-11
1,1,2021,7,5,22,530330,3,2,0,0,,0,0,64.5,65.9,0.12705
1,1,2021,7,5,22,530330,2,16,0,0,,0,0,64.5,65.9,0.0532284
1,1,2021,7,5,22,530330,2,2,0,0,,0,0,64.5,65.9,0.132831
1,1,2021,7,5,22,530330,1,16,0,0,,0,0,64.5,65.9,1.69027e-05
1,1,2021,7,5,22,530330,1,2,0,0,,0,0,64.5,65.9,0.0322389
1,1,2021,7,5,21,530330,119,16,0,0,,0,0,67.2,61.5,0.0
1,1,2021,7,5,21,530330,119,2,0,0,,0,0,67.2,61.5,0.0
1,1,2021,7,5,21,530330,118,16,0,0,,0,0,67.2,61.5,2.08057e-06
1,1,2021,7,5,21,530330,118,2,0,0,,0,0,67.2,61.5,0.00018699
1,1,2021,7,5,21,530330,115,16,0,0,,0,0,67.2,61.5,7.71583e-08
1,1,2021,7,5,21,530330,115,2,0,0,,0,0,67.2,61.5,0.000139331
1,1,2021,7,5,21,530330,112,16,0,0,,0,0,67.2,61.5,3.61349e-08
1,1,2021,7,5,21,530330,112,2,0,0,,0,0,67.2,61.5,3.72826e-05
1,1,2021,7,5,21,530330,110,16,0,0,,0,0,67.2,61.5,2.11671e-06
1,1,2021,7,5,21,530330,110,2,0,0,,0,0,67.2,61.5,0.000224273
1,1,2021,7,5,21,530330,100,16,0,0,,0,0,67.2,61.5,2.30102e-06
1,1,2021,7,5,21,530330,100,2,0,0,,0,0,67.2,61.5,0.000243805
1,1,2021,7,5,21,530330,98,2,0,0,,0,0,67.2,61.5,5.92497
1,1,2021,7,5,21,530330,91,2,0,0,,0,0,67.2,61.5,68584.6
1,1,2021,7,5,21,530330,90,2,0,0,,0,0,67.2,61.5,5.04192
1,1,2021,7,5,21,530330,87,16,0,0,,0,0,67.2,61.5,5.61209e-06
1,1,2021,7,5,21,530330,87,2,0,0,,0,0,67.2,61.5,0.0107007
1,1,2021,7,5,21,530330,79,16,0,0,,0,0,67.2,61.5,4.93599e-06
1,1,2021,7,5,21,530330,79,2,0,0,,0,0,67.2,61.5,0.0107969
1,1,2021,7,5,21,530330,31,2,0,0,,0,0,67.2,61.5,4.1946e-05
1,1,2021,7,5,21,530330,6,2,0,0,,0,0,67.2,61.5,0.00238679
1,1,2021,7,5,21,530330,5,2,0,0,,0,0,67.2,61.5,0.00687105
1,1,2021,7,5,21,530330,3,16,0,0,,0,0,67.2,61.5,1.82545e-11
1,1,2021,7,5,21,530330,3,2,0,0,,0,0,67.2,61.5,0.086116
1,1,2021,7,5,21,530330,2,16,0,0,,0,0,67.2,61.5,0.0368494
1,1,2021,7,5,21,530330,2,2,0,0,,0,0,67.2,61.5,0.0921411
1,1,2021,7,5,21,530330,1,16,0,0,,0,0,67.2,61.5,9.18762e-06
1,1,2021,7,5,21,530330,1,2,0,0,,0,0,67.2,61.5,0.0176679
1,1,2021,7,5,20,530330,119,16,0,0,,0,0,71.1,55.8,0.0
1,1,2021,7,5,20,530330,119,2,0,0,,0,0,71.1,55.8,0.0
1,1,2021,7,5,20,530330,118,16,0,0,,0,0,71.1,55.8,2.37752e-06
1,1,2021,7,5,20,530330,118,2,0,0,,0,0,71.1,55.8,0.000230392
1,1,2021,7,5,20,530330,115,16,0,0,,0,0,71.1,55.8,8.80963e-08
1,1,2021,7,5,20,530330,115,2,0,0,,0,0,71.1,55.8,0.00017181
1,1,2021,7,5,20,530330,112,16,0,0,,0,0,71.1,55.8,4.16017e-08
1,1,2021,7,5,20,530330,112,2,0,0,,0,0,71.1,55.8,4.55295e-05
1,1,2021,7,5,20,530330,110,16,0,0,,0,0,71.1,55.8,2.41911e-06
1,1,2021,7,5,20,530330,110,2,0,0,,0,0,71.1,55.8,0.000275922
1,1,2021,7,5,20,530330,100,16,0,0,,0,0,71.1,55.8,2.6299e-06
1,1,2021,7,5,20,530330,100,2,0,0,,0,0,71.1,55.8,0.000299968
1,1,2021,7,5,20,530330,98,2,0,0,,0,0,71.1,55.8,6.73912
1,1,2021,7,5,20,530330,91,2,0,0,,0,0,71.1,55.8,80488.7
1,1,2021,7,5,20,530330,90,2,0,0,,0,0,71.1,55.8,5.91452
1,1,2021,7,5,20,530330,87,16,0,0,,0,0,71.1,55.8,2.9477e-06
1,1,2021,7,5,20,530330,87,2,0,0,,0,0,71.1,55.8,0.00599492
1,1,2021,7,5,20,530330,79,16,0,0,,0,0,71.1,55.8,2.59311e-06
1,1,2021,7,5,20,530330,79,2,0,0,,0,0,71.1,55.8,0.0060587
