pollutantID,pollutant_name,veh_type,intrazonal_vmt,interzonal_vmt,start_tons,intrazonal_tons,interzonal_tons,total_daily_tons
1,Total Gaseous HCs,heavy,0.0,32368.139137945618,0.00023427085871853038,0.0,0.010202685461122952,0.010436956319841482
1,Total Gaseous HCs,light,5693.2785988,1454211.3790309858,0.14144839415695315,0.0005812151459704758,0.0904788609583865,0.23250847026131014
1,Total Gaseous HCs,medium,23.221720373705747,75475.0012813102,0.019636313686558996,2.061107007429835e-05,0.029581173360293662,0.049238098116926955
1,Total Gaseous HCs,transit,0.0,2723.425828000835,0.0,0.0,0.007412516319471676,0.007412516319471676
2,CO,heavy,0.0,32368.139137945618,0.0005202350356770335,0.0,0.09487256407874561,0.09539279911442265
2,CO,light,5693.2785988,1454211.3790309858,1.3776607207478317,0.025798726066697215,4.221624308481022,5.6250837552955515
2,CO,medium,23.221720373705747,75475.0012813102,0.07926553404475709,0.00010273638591160612,0.2230421799918662,0.3024104504225349
2,CO,transit,0.0,2723.425828000835,0.0,0.0,0.02233189494164298,0.02233189494164298
3,NOx,heavy,0.0,32368.139137945618,0.0003462113464711445,0.0,0.21532161931030627,0.21566783065677742
3,NOx,light,5693.2785988,1454211.3790309858,0.08656740380065664,0.0018210498055564804,0.35251652554552454,0.44090497915173765
3,NOx,medium,23.221720373705747,75475.0012813102,0.013792465442638017,6.236969019985834e-05,0.10656840355788023,0.12042323869071811
3,NOx,transit,0.0,2723.425828000835,0.0,0.0,0.009145430144130239,0.009145430144130239
5,Methane,heavy,0.0,32368.139137945618,8.09664664314322e-05,0.0,0.00406207660487852,0.004143043071309953
5,Methane,light,5693.2785988,1454211.3790309858,0.01722590527362033,0.00010933167245020067,0.017292343934078677,0.034627580880149215
5,Methane,medium,23.221720373705747,75475.0012813102,0.0060876889251565034,1.429888053376998e-05,0.02026903348498066,0.026371021290670933
5,Methane,transit,0.0,2723.425828000835,0.0,0.0,0.0068031120120686395,0.0068031120120686395
6,N20,heavy,0.0,32368.139137945618,1.4518906579781392e-06,0.0,0.006485894540856336,0.0064873464315143145
6,N20,light,5693.2785988,1454211.3790309858,0.006065504612722144,4.5724413543648705e-05,0.00686751235261345,0.012978741378879244
6,N20,medium,23.221720373705747,75475.0012813102,0.001161475730194663,2.5286764307336443e-06,0.005992823310281708,0.007156827716907104
6,N20,transit,0.0,2723.425828000835,0.0,0.0,0.0004405937310068351,0.0004405937310068351
79,Non-methane HCs,heavy,0.0,32368.139137945618,0.00015328831960978798,0.0,0.00614061341336959,0.006293901732979378
79,Non-methane HCs,light,5693.2785988,1454211.3790309858,0.1240227773955375,0.0004718834164652323,0.07318652639688983,0.19768118720889258
79,Non-methane HCs,medium,23.221720373705747,75475.0012813102,0.013535684783083243,6.312185501632769e-06,0.009312135644758947,0.022854132613343823
79,Non-methane HCs,transit,0.0,2723.425828000835,0.0,0.0,0.0006094123782972513,0.0006094123782972513
87,VOCs,heavy,0.0,32368.139137945618,5.322390527944822e-05,0.0,0.0068653585448749214,0.00691858245015437
87,VOCs,light,5693.2785988,1454211.3790309858,0.07959038555204406,0.0004963429824547989,0.07694280639438039,0.15702953492887925
87,VOCs,medium,23.221720373705747,75475.0012813102,0.006751302707494784,6.719631521250913e-06,0.00997844982939483,0.016736472168410864
87,VOCs,transit,0.0,2723.425828000835,0.0,0.0,0.0006128867749993752,0.0006128867749993752
90,Atmospheric CO2,heavy,0.0,32368.139137945618,0.029614280561604166,0.0,61.77843377873654,61.808048059298144
90,Atmospheric CO2,light,5693.2785988,1454211.3790309858,23.208107527635516,3.1837562447464736,576.6690209673244,603.0608847397065
90,Atmospheric CO2,medium,23.221720373705747,75475.0012813102,0.9198563022370316,0.032062768179875974,74.77675539694482,75.72867446736173
90,Atmospheric CO2,transit,0.0,2723.425828000835,0.0,0.0,5.037252362462511,5.037252362462511
91,Total Energy,heavy,0.0,32368.139137945618,399.86436725104636,0.0,834222.0257363046,834621.8901035556
91,Total Energy,light,5693.2785988,1454211.3790309858,319057.94252866623,44013.75279338425,7988901.541547191,8351973.236869242
91,Total Energy,medium,23.221720373705747,75475.0012813102,12525.078628278467,438.0773267103665,1020311.4753737077,1033274.6313286965
91,Total Energy,transit,0.0,2723.425828000835,0.0,0.0,70375.41072213688,70375.41072213688
98,CO2 Equivalent,heavy,0.0,32368.139137945618,0.032071104799913056,0.0,63.812819534900434,63.844890639700346
98,CO2 Equivalent,light,5693.2785988,1454211.3790309858,25.446282128792475,3.200114892421514,579.1478386194249,607.7942356406389
98,CO2 Equivalent,medium,23.221720373705747,75475.0012813102,1.4181676354573214,0.03317370340825173,77.0693391077926,78.52068044665818
98,CO2 Equivalent,transit,0.0,2723.425828000835,0.0,0.0,5.338628923656567,5.338628923656567
100,PM10 Exhaust,heavy,0.0,32368.139137945618,1.5501176933274637e-06,0.0,0.005232838512601547,0.005234388630294875
100,PM10 Exhaust,light,5693.2785988,1454211.3790309858,0.004546651343785996,5.386552048674412e-05,0.008137007751206042,0.012737524615478783
100,PM10 Exhaust,medium,23.221720373705747,75475.0012813102,0.0003113317437123684,1.4331446354520015e-06,0.002788146923219994,0.0031009118115678143
100,PM10 Exhaust,transit,0.0,2723.425828000835,0.0,0.0,7.463164408747927e-05,7.463164408747927e-05
106,PM10 Brakewear,heavy,0.0,32368.139137945618,0.0,0.0,0.005123925375809574,0.005123925375809574
106,PM10 Brakewear,light,5693.2785988,1454211.3790309858,0.0,0.0004967617979375603,0.05739546812106646,0.05789222991900402
106,PM10 Brakewear,medium,23.221720373705747,75475.0012813102,0.0,6.514048064097543e-06,0.006255382006745946,0.006261896054810044
106,PM10 Brakewear,transit,0.0,2723.425828000835,0.0,0.0,0.0005193330203396657,0.0005193330203396657
107,PM10 Tirewear,heavy,0.0,32368.139137945618,0.0,0.0,0.001167288733867308,0.001167288733867308
