FromZone,ToZone,Trv_Time
1,1,5
1,2,10
1,3,12
1,4,15
1,5,24
1,6,11
1,7,10
1,8,13
1,9,19
1,10,22
1,11,21
1,12,17
1,13,25
1,14,16
1,15,20
1,16,21
1,17,27
1,18,23
1,19,29
1,20,25
1,21,31
2,1,14
2,2,5
2,3,10
2,4,13
2,5,17
2,6,22
2,7,19
2,8,23
2,9,26
2,10,29
2,11,27
2,12,28
2,13,32
2,14,8
2,15,12
2,16,11
2,17,16
2,18,12
2,19,17
2,20,15
2,21,20
3,1,16
3,2,13
3,3,5
3,4,8
3,5,14
3,6,15
3,7,15
3,8,18
3,9,24
3,10,26
3,11,27
3,12,25
3,13,28
3,14,12
3,15,15
3,16,11
3,17,15
3,18,11
3,19,15
3,20,14
3,21,19
4,1,19
4,2,16
4,3,11
4,4,4
4,5,10
4,6,10
4,7,14
4,8,17
4,9,25
4,10,27
4,11,28
4,12,23
4,13,25
4,14,15
4,15,18
4,16,14
4,17,15
4,18,13
4,19,12
4,20,10
4,21,14
5,1,28
5,2,20
5,3,17
5,4,12
5,5,5
5,6,10
5,7,12
5,8,16
5,9,21
5,10,22
5,11,19
5,12,14
5,13,13
5,14,15
5,15,19
5,16,16
5,17,15
5,18,14
5,19,15
5,20,11
5,21,12
6,1,15
6,2,25
6,3,18
6,4,13
6,5,12
6,6,5
6,7,12
6,8,15
6,9,19
6,10,20
6,11,18
6,12,13
6,13,14
6,14,17
6,15,19
6,16,18
6,17,18
6,18,16
6,19,17
6,20,15
6,21,17
7,1,14
7,2,22
7,3,18
7,4,16
7,5,13
7,6,13
7,7,5
7,8,8
7,9,13
7,10,12
7,11,10
7,12,11
7,13,17
7,14,16
7,15,18
7,16,16
7,17,17
7,18,14
7,19,18
7,20,16
7,21,20
8,1,17
8,2,26
8,3,21
8,4,19
8,5,17
8,6,17
8,7,10
8,8,4
8,9,10
8,10,10
8,11,11
8,12,14
8,13,18
8,14,18
8,15,20
8,16,19
8,17,19
8,18,16
8,19,20
8,20,19
8,21,22
9,1,23
9,2,29
9,3,27
9,4,27
9,5,22
9,6,21
9,7,14
9,8,12
9,9,5
9,10,12
9,11,13
9,12,16
9,13,18
9,14,22
9,15,25
9,16,26
9,17,27
9,18,25
9,19,28
9,20,27
9,21,33
10,1,26
10,2,32
10,3,29
10,4,29
10,5,23
10,6,22
10,7,13
10,8,11
10,9,12
10,10,5
10,11,10
10,12,13
10,13,15
10,14,21
10,15,23
10,16,24
10,17,25
10,18,24
10,19,27
10,20,26
10,21,32
11,1,25
11,2,30
11,3,30
11,4,30
11,5,22
11,6,20
11,7,11
11,8,12
11,9,13
11,10,10
11,11,5
11,12,10
11,13,14
11,14,20
11,15,22
11,16,23
11,17,24
11,18,23
11,19,26
11,20,24
11,21,30
12,1,21
12,2,31
12,3,28
12,4,25
12,5,15
12,6,15
12,7,12
12,8,15
12,9,16
12,10,13
12,11,10
12,12,5
12,13,12
12,14,18
12,15,20
12,16,21
12,17,22
12,18,21
12,19,24
12,20,22
12,21,28
13,1,29
13,2,35
13,3,31
13,4,27
13,5,14
13,6,16
13,7,18
13,8,19
13,9,18
13,10,15
13,11,14
13,12,12
13,13,6
13,14,22
13,15,25
13,16,26
13,17,27
13,18,26
13,19,28
13,20,26
13,21,33
14,1,20
14,2,12
14,3,15
14,4,17
14,5,16
14,6,19
14,7,17
14,8,19
14,9,22
14,10,21
14,11,20
14,12,18
14,13,22
14,14,6
14,15,13
14,16,16
14,17,18
14,18,17
14,19,21
14,20,20
14,21,24
15,1,24
15,2,15
15,3,18
15,4,20
15,5,20
15,6,21
15,7,19
15,8,21
15,9,25
15,10,23
15,11,22
15,12,20
15,13,25
15,14,13
15,15,6
15,16,12
15,17,15
15,18,18
15,19,21
15,20,19
15,21,23
16,1,25
16,2,14
16,3,14
16,4,16
16,5,17
16,6,20
16,7,17
16,8,20
16,9,26
16,10,24
16,11,23
16,12,21
16,13,26
16,14,16
16,15,12
16,16,5
16,17,10
16,18,12
16,19,14
16,20,15
16,21,17
17,1,31
17,2,19
17,3,18
17,4,17
17,5,16
17,6,20
17,7,18
17,8,20
17,9,27
17,10,25
17,11,24
17,12,22
17,13,27
17,14,18
17,15,15
17,16,10
17,17,5
17,18,10
17,19,12
17,20,13
17,21,15
18,1,27
18,2,15
18,3,14
18,4,15
18,5,15
18,6,18
18,7,15
18,8,17
18,9,25
18,10,24
18,11,23
18,12,21
18,13,26
18,14,17
18,15,18
18,16,12
18,17,10
18,18,5
18,19,14
18,20,12
18,21,15
19,1,33
19,2,20
19,3,18
19,4,14
19,5,16
19,6,19
19,7,19
19,8,21
19,9,28
19,10,27
19,11,26
19,12,24
19,13,28
19,14,21
19,15,21
19,16,14
19,17,12
19,18,14
19,19,6
19,20,12
19,21,14
20,1,29
20,2,18
20,3,17
20,4,10
20,5,12
20,6,17
20,7,17
20,8,20
20,9,27
20,10,26
20,11,24
20,12,22
20,13,26
20,14,20
20,15,19
20,16,15
20,17,13
20,18,12
20,19,12
20,20,6
20,21,14
21,1,35
21,2,23
21,3,22
21,4,16
21,5,12
21,6,19
21,7,21
21,8,23
21,9,33
21,10,32
21,11,30
21,12,28
21,13,33
21,14,24
21,15,23
21,16,17
21,17,15
21,18,15
21,19,14
21,20,14
21,21,7
