pollutantID,pollutant_name,veh_type,intrazonal_vmt,interzonal_vmt,start_tons,intrazonal_tons,interzonal_tons,total_daily_tons
1,Total Gaseous HCs,heavy,0.0,40.258963434166944,1.8206074269292337e-05,0.0,9.064510716023784e-06,2.7270584985316123e-05
1,Total Gaseous HCs,light,42.740410739999994,31631.203564574,0.004780660030842452,1.0874598537906995e-06,0.0005172535877497093,0.005299001078445952
1,Total Gaseous HCs,medium,0.2879720174653656,2688.100342040154,0.0013472507142428612,6.288071321773122e-08,0.00022120225086067117,0.0015685158458167501
2,CO,heavy,0.0,40.258963434166944,3.412535706822071e-05,0.0,8.667639143406699e-05,0.0001208017485022877
2,CO,light,42.740410739999994,31631.203564574,0.04308696178968654,7.106425305990164e-05,0.03355858986730351,0.07671661591004995
2,CO,medium,0.2879720174653656,2688.100342040154,0.006108205645479442,5.86854913191723e-07,0.003361607510191816,0.009470400010584449
3,NOx,heavy,0.0,40.258963434166944,2.8945975167284415e-05,0.0,0.00011875308778519625,0.00014769906295248065
3,NOx,light,42.740410739999994,31631.203564574,0.0026454707627989477,1.204533054924904e-06,0.0007465838352820934,0.003393259131135966
3,NOx,medium,0.2879720174653656,2688.100342040154,0.0008581824290401128,2.2208802695150926e-07,0.0007109301492654021,0.0015693346663324663
5,Methane,heavy,0.0,40.258963434166944,7.021356560576787e-06,0.0,6.961486660409713e-06,1.39828432209865e-05
5,Methane,light,42.740410739999994,31631.203564574,0.0005123673181780747,3.344679868006162e-07,0.0001606451086474396,0.000673346894812315
5,Methane,medium,0.2879720174653656,2688.100342040154,0.0003460360078613059,4.909006399247445e-08,0.00016869467383472938,0.0005147797717600278
6,N20,heavy,0.0,40.258963434166944,7.434071209035282e-07,0.0,9.838258050938825e-08,8.417897014129164e-07
6,N20,light,42.740410739999994,31631.203564574,0.00022320900449088763,1.3216970170722412e-07,4.9486515288325694e-05,0.00027282768948092055
6,N20,medium,0.2879720174653656,2688.100342040154,6.596293976840703e-05,1.47339075387834e-09,5.5912527275947055e-06,7.155566588675561e-05
79,Non-methane HCs,heavy,0.0,40.258963434166944,1.1178000544097638e-05,0.0,2.103035693340852e-06,1.328103623743849e-05
79,Non-methane HCs,light,42.740410739999994,31631.203564574,0.004262027154981068,7.52992654955471e-07,0.00035660830198224884,0.004619388449618272
79,Non-methane HCs,medium,0.2879720174653656,2688.100342040154,0.0010000875245146416,1.3790543050708962e-08,5.250760179689017e-05,0.0010526089168545823
87,VOCs,heavy,0.0,40.258963434166944,3.7544693060023425e-06,0.0,2.1897929887301002e-06,5.944262294732443e-06
87,VOCs,light,42.740410739999994,31631.203564574,0.0022254718090251317,8.35991433849962e-07,0.00039743237404217253,0.002623740174501154
87,VOCs,medium,0.2879720174653656,2688.100342040154,0.00048753755524697797,1.4629652840136022e-08,5.629885302545088e-05,0.0005438510379252691
90,Atmospheric CO2,heavy,0.0,40.258963434166944,0.0019425812792803374,0.0,0.05645903740646483,0.05840161868574517
90,Atmospheric CO2,light,42.740410739999994,31631.203564574,1.2960892022356807,0.01710871527289238,9.01485107301296,10.328048990521532
90,Atmospheric CO2,medium,0.2879720174653656,2688.100342040154,0.19845206487125264,0.00021229073500887927,1.2576430146276103,1.4563073702338718
91,Total Energy,heavy,0.0,40.258963434166944,26.47696394126401,0.0,768.0813851441259,794.5583490853899
91,Total Energy,light,42.740410739999994,31631.203564574,18021.22873454219,237.79342770119382,125295.93728193497,143554.95944417836
91,Total Energy,medium,0.2879720174653656,2688.100342040154,2750.7291549700617,2.929998715552018,17363.69321336435,20117.352367049964
98,CO2 Equivalent,heavy,0.0,40.258963434166944,0.00233964938942785,0.0,0.05666248857918149,0.05900213796860934
98,CO2 Equivalent,light,42.740410739999994,31631.203564574,1.3754146686623523,0.017156441022111522,9.033610941063507,10.42618205074797
98,CO2 Equivalent,medium,0.2879720174653656,2688.100342040154,0.22675996029638226,0.0002139569516966468,1.2635263395328122,1.4905002567808912
100,PM10 Exhaust,heavy,0.0,40.258963434166944,7.376995709541927e-08,0.0,1.0844168551957095e-06,1.1581868122911288e-06
100,PM10 Exhaust,light,42.740410739999994,31631.203564574,0.00026474159047075723,8.426869109904231e-08,4.142444905247908e-05,0.0003062503082143354
100,PM10 Exhaust,medium,0.2879720174653656,2688.100342040154,4.395401659199958e-05,1.5696465904627846e-09,7.632452282645122e-06,5.158803852123517e-05
106,PM10 Brakewear,heavy,0.0,40.258963434166944,,0.0,4.664915651895912e-06,
106,PM10 Brakewear,light,42.740410739999994,31631.203564574,,3.6585390942135602e-06,0.0012260108804426576,
106,PM10 Brakewear,medium,0.2879720174653656,2688.100342040154,,5.050328492864154e-08,0.00013346258243738501,
107,PM10 Tirewear,heavy,0.0,40.258963434166944,,0.0,1.405899525880977e-06,
107,PM10 Tirewear,light,42.740410739999994,31631.203564574,,6.542385158259073e-07,0.0003591826446220379,
107,PM10 Tirewear,medium,0.2879720174653656,2688.100342040154,,5.665200225423825e-09,3.524356256221629e-05,
110,PM25 Exhaust,heavy,0.0,40.258963434166944,6.784542469238585e-08,0.0,9.975451107516404e-07,1.0653905354440264e-06
110,PM25 Exhaust,light,42.740410739999994,31631.203564574,0.00023431475470292887,7.468773516497999e-08,3.671532582504598e-05,0.00027110476826313983
110,PM25 Exhaust,medium,0.2879720174653656,2688.100342040154,3.891895770623291e-05,1.4175444018343425e-09,6.870995002351589e-06,4.5791370252986334e-05
112,Elemental Carbon,heavy,0.0,40.258963434166944,9.657043423212383e-09,0.0,6.359114858814346e-07,6.45568529304647e-07
112,Elemental Carbon,light,42.740410739999994,31631.203564574,0.0001614225221163599,4.344564937777035e-08,2.1376507179069687e-05,0.00018284247494480737
112,Elemental Carbon,medium,0.2879720174653656,2688.100342040154,2.3569868893506035e-05,2.871155098024582e-10,1.5989076941691e-06,2.5169063703184938e-05
115,Sulfate Particulate,heavy,0.0,40.258963434166944,4.440718581357304e-08,0.0,2.7644428897659616e-07,3.208514747901692e-07
115,Sulfate Particulate,light,42.740410739999994,31631.203564574,3.4390503148580454e-06,4.359756950645695e-09,2.1531879546356856e-06,5.596598026444377e-06
115,Sulfate Particulate,medium,0.2879720174653656,2688.100342040154,9.714822097661649e-07,5.561240239665802e-10,2.3310282908217026e-06,3.303066624611834e-06
116,PM25 Brakewear,heavy,0.0,40.258963434166944,,0.0,5.831130368037323e-07,
116,PM25 Brakewear,light,42.740410739999994,31631.203564574,,4.573172689935035e-07,0.00015325135453423826,
116,PM25 Brakewear,medium,0.2879720174653656,2688.100342040154,,6.312926487833743e-09,1.6682807399340227e-05,
117,PM25 Tirewear,heavy,0.0,40.258963434166944,,0.0,2.108840163626061e-07,
117,PM25 Tirewear,light,42.740410739999994,31631.203564574,,9.813554180750301e-08,5.3877169956089844e-05,
117,PM25 Tirewear,medium,0.2879720174653656,2688.100342040154,,8.497768594628637e-10,5.2865084962422874e-06,
118,Composite NonECPM,heavy,0.0,40.258963434166944,5.818835563164202e-08,0.0,3.6163413809646945e-07,4.198224937281115e-07
118,Composite NonECPM,light,42.740410739999994,31631.203564574,7.289236049176475e-05,3.1242038673933005e-08,1.5338800540319884e-05,8.826240307075858e-05
118,Composite NonECPM,medium,0.2879720174653656,2688.100342040154,1.5349083061144803e-05,1.130427554450296e-09,5.272090554142108e-06,2.0622304042841363e-05
119,H20 Aerosol,heavy,0.0,40.258963434166944,0.0,0.0,0.0,0.0
119,H20 Aerosol,light,42.740410739999994,31631.203564574,0.0,0.0,0.0,0.0
119,H20 Aerosol,medium,0.2879720174653656,2688.100342040154,0.0,0.0,0.0,0.0
PM10,PM10 Total,heavy,0.0,120.77689030250083,7.376995709541927e-08,0.0,7.155232032972599e-06,7.229001990068018e-06
PM10,PM10 Total,light,128.22123222,94893.610693722,0.00026474159047075723,4.39704630113851e-06,0.0016266179741171744,0.00189575661088907
PM10,PM10 Total,medium,0.8639160523960968,8064.301026120462,4.395401659199958e-05,5.7738131744528146e-08,0.00017633859728224643,0.00022035035200599053
PM25,PM25 Total,heavy,0.0,120.77689030250083,6.784542469238585e-08,0.0,1.7915421639179788e-06,1.8593875886103648e-06
PM25,PM25 Total,light,128.22123222,94893.610693722,0.00023431475470292887,6.301405459659865e-07,0.00024384385031537406,0.0004787887455642689
PM25,PM25 Total,medium,0.8639160523960968,8064.301026120462,3.891895770623291e-05,8.58024774913095e-09,2.8840310897934104e-05,6.776784885191614e-05
