pollutant_name,veh_type,total_daily_tons,vmt
Atmospheric CO2,heavy,2845.129001187573,1868115.5464295056
Atmospheric CO2,light,13869.319742182926,47233498.71179927
Atmospheric CO2,medium,1165.7625791193684,2296791.9683942134
CO,heavy,4.9228933840902,1868115.5464295056
CO,light,54.60895730940975,47233498.71179927
CO,medium,3.373379853295457,2296791.9683942134
CO2 Equivalent,heavy,2857.106641955189,1868115.5464295056
CO2 Equivalent,light,13902.94256023931,47233498.71179927
CO2 Equivalent,medium,1173.1952333934864,2296791.9683942134
Composite NonECPM,heavy,0.0198419335779459,1868115.5464295056
Composite NonECPM,light,0.0272538484689406,47233498.71179927
Composite NonECPM,medium,0.0058209323380028,2296791.9683942134
Elemental Carbon,heavy,0.0334120853486148,1868115.5464295056
Elemental Carbon,light,0.0403855872572511,47233498.71179927
Elemental Carbon,medium,0.0025431033709649,2296791.9683942134
H20 Aerosol,heavy,0.0,1868115.5464295056
H20 Aerosol,light,0.0,47233498.71179927
H20 Aerosol,medium,0.0,2296791.9683942134
Methane,heavy,0.409214251518765,1868115.5464295056
Methane,light,0.2762963292696877,47233498.71179927
Methane,medium,0.1924261285474018,2296791.9683942134
N20,heavy,0.0058558539741828,1868115.5464295056
N20,light,0.089682721766774,47233498.71179927
N20,medium,0.0088003665510152,2296791.9683942134
NOx,heavy,7.147122678780778,1868115.5464295056
NOx,light,1.2725632571268286,47233498.71179927
NOx,medium,0.795007154748814,2296791.9683942134
Non-methane HCs,heavy,0.1200669969468279,1868115.5464295056
Non-methane HCs,light,0.7643480110914087,47233498.71179927
Non-methane HCs,medium,0.0997965255367254,2296791.9683942134
PM10 Brakewear,heavy,0.0,1868115.5464295056
PM10 Brakewear,light,0.0,47233498.71179927
PM10 Brakewear,medium,0.0,2296791.9683942134
PM10 Exhaust,heavy,0.0578919668633709,1868115.5464295056
PM10 Exhaust,light,0.0763345272983849,47233498.71179927
PM10 Exhaust,medium,0.0093175181236641,2296791.9683942134
PM10 Tirewear,heavy,0.0,1868115.5464295056
PM10 Tirewear,light,0.0,47233498.71179927
PM10 Tirewear,medium,0.0,2296791.9683942134
PM10 Total,heavy,0.4913599682180637,5604346.639288517
PM10 Total,light,2.6016107438247293,141700496.13539782
PM10 Total,medium,0.1951160906596768,6890375.905182639
PM25 Brakewear,heavy,0.0,1868115.5464295056
PM25 Brakewear,light,0.0,47233498.71179927
PM25 Brakewear,medium,0.0,2296791.9683942134
PM25 Exhaust,heavy,0.0532540362151782,1868115.5464295056
PM25 Exhaust,light,0.0676394719335005,47233498.71179927
PM25 Exhaust,medium,0.0083640325603724,2296791.9683942134
PM25 Tirewear,heavy,0.0,1868115.5464295056
PM25 Tirewear,light,0.0,47233498.71179927
PM25 Tirewear,medium,0.0,2296791.9683942134
PM25 Total,heavy,0.1091365461884573,5604346.639288517
PM25 Total,light,0.3968648304820332,141700496.13539782
PM25 Total,medium,0.0323919179850052,6890375.905182639
Sulfate Particulate,heavy,0.0151653402515115,1868115.5464295056
Sulfate Particulate,light,0.0034565179874428,47233498.71179927
Sulfate Particulate,medium,0.0023755471636836,2296791.9683942134
Total Energy,heavy,38707279.82867415,1868115.5464295056
Total Energy,light,192768015.8714013,47233498.71179927
Total Energy,medium,16093283.47524724,2296791.9683942134
Total Gaseous HCs,heavy,0.5292813463598668,1868115.5464295056
Total Gaseous HCs,light,1.040934261208314,47233498.71179927
Total Gaseous HCs,medium,0.2922747919288965,2296791.9683942134
VOCs,heavy,0.1238562119605373,1868115.5464295056
VOCs,light,0.7340924213789088,47233498.71179927
VOCs,medium,0.0797537292711023,2296791.9683942134
