,County Group,Year,Season,Pollutant,Unit,Speed (mph),LDV,MDV,HDV
0,"King County, Washington",2018,Winter,CO,g/mi,2.5,9.8725,13.7581,18.3386
2,"King County, Washington",2018,Winter,CO,g/mi,5.0,6.55499,9.16798,11.0495
4,"King County, Washington",2018,Winter,CO,g/mi,10.0,4.89623,6.76829,6.89467
8,"King County, Washington",2018,Winter,CO,g/mi,20.0,3.88832,5.34103,4.40885
6,"King County, Washington",2018,Winter,CO,g/mi,25.0,4.34331,5.92174,5.45641
10,"King County, Washington",2018,Winter,CO,g/mi,25.0,3.25591,4.67987,3.89359
12,"King County, Washington",2018,Winter,CO,g/mi,30.0,3.096,4.35308,3.51605
14,"King County, Washington",2018,Winter,CO,g/mi,35.0,2.80123,3.89077,3.04762
16,"King County, Washington",2018,Winter,CO,g/mi,40.0,2.53536,3.5756,2.82544
18,"King County, Washington",2018,Winter,CO,g/mi,45.0,2.3722,3.35362,2.65264
20,"King County, Washington",2018,Winter,CO,g/mi,50.0,2.31564,3.21485,2.47984
22,"King County, Washington",2018,Winter,CO,g/mi,55.0,2.32449,3.14837,2.32744
24,"King County, Washington",2018,Winter,CO,g/mi,60.0,2.39756,3.1452,2.26494
26,"King County, Washington",2018,Winter,CO,g/mi,65.0,2.5526,3.29332,2.26632
28,"King County, Washington",2018,Winter,CO,g/mi,70.0,2.92188,3.57566,2.26751
30,"King County, Washington",2018,Winter,CO,g/mi,75.0,3.85778,4.23306,2.29156
2,"King County, Washington",2018,Summer,CO2e,g/mi,2.5,1924.07,3037.55,7525.91
5,"King County, Washington",2018,Summer,CO2e,g/mi,5.0,1087.67,1746.76,4299.94
8,"King County, Washington",2018,Summer,CO2e,g/mi,10.0,669.48,1111.97,2811.66
14,"King County, Washington",2018,Summer,CO2e,g/mi,20.0,457.825,794.149,2278.17
11,"King County, Washington",2018,Summer,CO2e,g/mi,25.0,530.081,908.316,2526.69
17,"King County, Washington",2018,Summer,CO2e,g/mi,25.0,409.322,713.433,2107.0
20,"King County, Washington",2018,Summer,CO2e,g/mi,30.0,365.687,662.845,2060.25
23,"King County, Washington",2018,Summer,CO2e,g/mi,35.0,345.993,602.027,1789.19
26,"King County, Washington",2018,Summer,CO2e,g/mi,40.0,333.984,580.432,1753.73
29,"King County, Washington",2018,Summer,CO2e,g/mi,45.0,325.028,563.727,1726.14
32,"King County, Washington",2018,Summer,CO2e,g/mi,50.0,318.513,552.122,1664.3
35,"King County, Washington",2018,Summer,CO2e,g/mi,55.0,315.33,544.768,1597.19
38,"King County, Washington",2018,Summer,CO2e,g/mi,60.0,315.236,534.405,1602.56
41,"King County, Washington",2018,Summer,CO2e,g/mi,65.0,318.53,544.522,1706.9
44,"King County, Washington",2018,Summer,CO2e,g/mi,70.0,329.911,561.61,1796.32
47,"King County, Washington",2018,Summer,CO2e,g/mi,75.0,348.592,583.234,1899.92
0,"King County, Washington",2018,Summer,NOx,g/mi,2.5,0.65027,6.24553,53.4572
3,"King County, Washington",2018,Summer,NOx,g/mi,5.0,0.49393,3.5966,28.6905
6,"King County, Washington",2018,Summer,NOx,g/mi,10.0,0.415761,2.32913,17.3594
12,"King County, Washington",2018,Summer,NOx,g/mi,20.0,0.373308,1.64655,12.401
9,"King County, Washington",2018,Summer,NOx,g/mi,25.0,0.389704,1.91203,14.3577
15,"King County, Washington",2018,Summer,NOx,g/mi,25.0,0.356691,1.45502,11.144
18,"King County, Washington",2018,Summer,NOx,g/mi,30.0,0.324788,1.33714,10.614
21,"King County, Washington",2018,Summer,NOx,g/mi,35.0,0.315477,1.19504,9.15853
24,"King County, Washington",2018,Summer,NOx,g/mi,40.0,0.311857,1.12888,8.74426
