,avgspeedbinId,roadtypeId,hourId,sov_vmt,hov2_vmt,hov3_vmt,tnc_vmt,bus_vmt,medium_truck_vmt,heavy_truck_vmt
276,10,3,16,16765.40296260076,4057.5471919541696,1699.765538595519,0,19.599172053392973,301.6289916816457,143.04694576507111
277,10,3,17,17318.12563702671,4223.801544895966,1857.9466778557285,0,28.00089500797912,214.85184130044598,95.11722405437727
278,10,3,18,19598.093337573242,5566.37503391757,2390.2253776835882,0,32.754096116870635,219.5309650463824,82.09293884309251
279,10,3,20,18991.591820756967,5067.4847403167005,2230.8955820853857,0,5.782668052590451,529.350776857667,126.77206080129766
280,10,4,5,7159.456405800647,906.4215475172598,512.0023975633337,0,17.596601262688637,415.9812417069357,228.2132109464577
281,10,4,6,10620.699907944532,1483.051754274505,863.5082430058557,0,24.10622336156666,468.451526275023,243.626038614571
282,10,4,7,13210.669276399296,1996.4311188785673,1027.8081176051865,0,10.097776126116512,670.674486083914,471.1666536935572
283,10,4,8,12390.16225881487,2258.8872843593163,1073.0416517728538,0,12.936074197292326,619.9921406690388,322.34917262388115
284,10,4,9,10078.392478253769,2131.3232376341007,893.7029095458288,0,12.936074197292326,646.4901779993091,316.73033585071613
285,10,4,10,49127.757678800175,10806.218878180422,4886.047724208131,0,56.52304687537252,3760.253987505601,2063.4626838385966
286,10,4,14,12693.813012027173,2813.445848783632,1245.7262785900266,0,12.852367199957369,890.9553570418136,485.4134183848341
287,10,4,15,12583.265647104317,2608.8918841602717,1237.2782192206346,0,25.505302382633086,589.480947646551,293.0589021967337
288,10,4,16,11947.056077634024,2362.6498651392135,1049.0761697819325,0,19.97492032125592,290.2773357930152,116.1682264470089
289,10,4,17,10980.23860122367,1978.4794744726826,990.5975405811555,0,14.707495188340543,175.96087077655372,77.08092461986804
290,10,4,18,22833.861541052953,4693.690706983291,2062.9404132317673,0,51.28038981184363,433.08498430816877,236.70141464096972
291,10,4,20,27265.14112348574,4664.0975450135475,2110.303451339316,0,21.86232186947018,905.721056237272,495.94161166253554
292,10,5,5,1249.8322845572293,179.78327143387273,112.77567050358905,0,0.9713839888572692,105.6307263046734,8.416400978839464
293,10,5,6,2175.495714093491,367.4068601793348,177.64613873633937,0,1.1604379974305628,133.3341886266302,7.366373492003798
294,10,5,7,3588.9055074626685,637.0210091760393,300.4656425226431,0,1.6583330035209651,184.19721371909932,9.955356727991926
295,10,5,8,3686.4359376728967,782.6001484496411,389.9503638688075,0,2.0834409967064853,175.72236901918123,9.440015282968753
296,10,5,9,3721.9621271329274,945.507492922689,373.0646039059902,0,2.0834409967064853,228.17408972973632,18.06809715089149
297,10,5,10,13561.583398767576,3670.49799743712,1519.1181309834167,0,8.333763986825941,952.5314795181657,78.19274022638247
298,10,5,14,3345.235578435585,883.4349732791145,363.5873338091085,0,2.0834409967064853,218.80494535182623,18.241802734980222
299,10,5,15,4161.852470552919,961.8478540813381,447.0300353336987,0,2.3316979929804798,180.38807938353366,13.986583147370851
300,10,5,16,4187.232384196288,1043.4501940565128,481.35181097871185,0,2.4238669928163286,113.79926513945821,7.730797112423366
301,10,5,17,4494.589301951541,1035.9884441743288,508.6484290168466,0,2.526823988184332,74.97732183900442,5.0302796276667925
302,10,5,18,6198.384185527857,1539.6492156943784,698.4470774311395,0,3.7403929866850367,106.4195075848241,8.88803377941254
303,10,5,20,5778.864613738683,1356.8176218878539,579.5189358184198,0,0.37238549441099156,228.32929128751962,18.41215765790549
304,11,3,5,6738.240977176521,903.4178507305056,464.5276190888068,0,8.130813002586365,227.21482384946273,236.458033152328
305,11,3,6,12071.482610365765,1778.875863574875,1011.9638682468859,0,14.490206044167278,337.7197220870995,383.2409515363876
306,11,3,7,14052.225458343037,2293.210249254967,1088.9393839831955,0,11.233265053480862,405.15535858683074,421.67256915643804
307,11,3,8,14052.648266517645,2905.145298721969,1194.9537655353834,0,8.958674039691687,426.2389260013571,405.0694987770097
308,11,3,9,12696.51823561176,2885.2186840031295,1214.9392679287143,0,9.024150040000675,459.8829808329326,445.5735187559542
309,11,3,10,53004.691226725954,12218.592252682727,5055.5340296925115,0,42.36072620376944,2026.4106638259404,2157.5836909281934
310,11,3,14,12907.050088928174,2843.4608541162006,1183.579290826891,0,5.38485699892044,469.56749673769866,452.6417759825908
311,11,3,15,13720.958079243217,3099.7385149733245,1284.4818407717755,0,14.139779042452572,356.653331021966,344.7887222165795
312,11,3,16,14904.840872520053,3116.5294952463705,1290.8246804376226,0,11.401332046836613,235.66198173340095,246.49740592046345
313,11,3,17,14328.842207545462,2977.4114943118234,1255.8611480589157,0,12.50936212390661,148.52967470379946,172.83897581198264
314,11,3,18,22598.82012537506,4987.795520047372,2118.857097886605,0,27.78193702921271,235.35469219679769,220.60887022258714
315,11,3,20,29790.53055862926,5012.2449476505435,2257.234205053409,0,12.035636991262434,491.5713126234516,519.0412110434742
316,11,4,7,2741.750909828035,382.06252765448744,218.60068847715524,0,0.0,205.74345210261208,211.33448780966955
317,11,4,8,2610.659507781187,501.46094747469306,227.04366086898108,0,0.0,173.34252643710693,154.54739589158407
318,11,4,16,3255.168876829335,517.8492606727905,273.4956182769363,0,0.0,131.38947846985297,134.9193948092975
319,11,4,17,3376.615804802761,549.4348318441762,280.3724350114321,0,0.0,90.51288355872725,92.87859539267207
320,11,5,5,860.7465185481018,85.14648225241741,42.48432579350381,0,0.3822270110249514,5.126718908340613,0.8187111111573796
321,11,5,6,1252.932422426746,138.73577701931623,75.64137157767009,0,0.5053000040352338,8.463706793538869,1.5357840306156378
322,11,5,7,1360.4895725371168,156.91800710564817,72.94619229970792,0,0.3194750044494863,9.101288649950904,2.2117394410394717
323,11,5,8,1308.4021507918703,152.196921800128,70.88653052112996,0,0.2526500020176169,9.81958198641516,2.048279172394978
324,11,5,9,1267.127721113785,149.91468231338285,67.35967141781569,0,0.2526500020176169,11.147629655348096,2.1049304209622752
325,11,5,10,4987.989165111314,591.8508123547114,270.46976112724496,0,1.1358410064131008,49.71530446395487,7.74112510644486
326,11,5,14,1327.1611869037501,177.5545661918211,83.81080644459492,0,0.2526500020176169,11.943302757892598,2.1889778106247717
327,11,5,15,1348.8957027294143,180.3091691375867,88.19629985595036,0,0.5703420024365179,8.362570185007806,1.5121438337653896
