,pollutant_name,veh_type,total_daily_tons,vmt,city
0,Atmospheric CO2,heavy,22.082984994521897,12880.892036170062,Algona
1,Atmospheric CO2,light,47.95995802303275,151603.29387038192,Algona
2,Atmospheric CO2,medium,5.508508352971096,10160.060865906504,Algona
3,CO,heavy,0.0357143808171047,12880.892036170062,Algona
4,CO,light,0.2751759866296444,151603.29387038192,Algona
5,CO,medium,0.0273119272452622,10160.060865906504,Algona
6,CO2 Equivalent,heavy,22.160272104317,12880.892036170062,Algona
7,CO2 Equivalent,light,48.14887379952301,151603.29387038192,Algona
8,CO2 Equivalent,medium,5.564071723326298,10160.060865906504,Algona
9,Composite NonECPM,heavy,0.0002317845964057,12880.892036170062,Algona
10,Composite NonECPM,light,0.0002073235126974,151603.29387038192,Algona
11,Composite NonECPM,medium,4.69672137410084e-05,10160.060865906504,Algona
12,Elemental Carbon,heavy,0.0005239436183898,12880.892036170062,Algona
13,Elemental Carbon,light,0.0002735536956088,151603.29387038192,Algona
14,Elemental Carbon,medium,4.141389425014552e-05,10160.060865906504,Algona
15,H20 Aerosol,heavy,0.0,12880.892036170062,Algona
16,H20 Aerosol,light,0.0,151603.29387038192,Algona
17,H20 Aerosol,medium,0.0,10160.060865906504,Algona
18,Methane,heavy,0.0026112499352584,12880.892036170062,Algona
19,Methane,light,0.0017196658037856,151603.29387038192,Algona
20,Methane,medium,0.0010344642480923,10160.060865906504,Algona
21,N20,heavy,4.020611275713789e-05,12880.892036170062,Algona
22,N20,light,0.0004897206156906,151603.29387038192,Algona
23,N20,medium,9.967598502699629e-05,10160.060865906504,Algona
24,NOx,heavy,0.0600472212713781,12880.892036170062,Algona
25,NOx,light,0.01675868512833,151603.29387038192,Algona
26,NOx,medium,0.0049923694602637,10160.060865906504,Algona
27,Non-methane HCs,heavy,0.0012994774974995,12880.892036170062,Algona
28,Non-methane HCs,light,0.0081927926908407,151603.29387038192,Algona
29,Non-methane HCs,medium,0.0015502844899425,10160.060865906504,Algona
30,PM10 Brakewear,heavy,0.0,12880.892036170062,Algona
31,PM10 Brakewear,light,0.0,151603.29387038192,Algona
32,PM10 Brakewear,medium,0.0,10160.060865906504,Algona
33,PM10 Exhaust,heavy,0.0008214906020278,12880.892036170062,Algona
34,PM10 Exhaust,light,0.0005422963265098,151603.29387038192,Algona
35,PM10 Exhaust,medium,9.875015362222662e-05,10160.060865906504,Algona
36,PM10 Tirewear,heavy,0.0,12880.892036170062,Algona
37,PM10 Tirewear,light,0.0,151603.29387038192,Algona
38,PM10 Tirewear,medium,0.0,10160.060865906504,Algona
39,PM10 Total,heavy,0.0038396986196722,38642.67610851018,Algona
40,PM10 Total,light,0.0073148029679491,454809.8816111458,Algona
41,PM10 Total,medium,0.000771447449794,30480.18259771951,Algona
42,PM25 Brakewear,heavy,0.0,12880.892036170062,Algona
43,PM25 Brakewear,light,0.0,151603.29387038192,Algona
44,PM25 Brakewear,medium,0.0,10160.060865906504,Algona
45,PM25 Exhaust,heavy,0.000755727950757,12880.892036170062,Algona
46,PM25 Exhaust,light,0.0004808772612561,151603.29387038192,Algona
47,PM25 Exhaust,medium,8.838107100797922e-05,10160.060865906504,Algona
48,PM25 Tirewear,heavy,0.0,12880.892036170062,Algona
49,PM25 Tirewear,light,0.0,151603.29387038192,Algona
50,PM25 Tirewear,medium,0.0,10160.060865906504,Algona
51,PM25 Total,heavy,0.0011449280584057,38642.67610851018,Algona
52,PM25 Total,light,0.0013683825690564,454809.8816111458,Algona
53,PM25 Total,medium,0.0001757870581598,30480.18259771951,Algona
54,Sulfate Particulate,heavy,0.0001231257814901,12880.892036170062,Algona
55,Sulfate Particulate,light,1.7061456408025002e-05,151603.29387038192,Algona
56,Sulfate Particulate,medium,1.137547556022543e-05,10160.060865906504,Algona
57,Total Energy,heavy,300358.75863119564,12880.892036170062,Algona
58,Total Energy,light,666739.6987770917,151603.29387038192,Algona
59,Total Energy,medium,76071.40353071841,10160.060865906504,Algona
60,Total Gaseous HCs,heavy,0.0039107305603024,12880.892036170062,Algona
61,Total Gaseous HCs,light,0.0099213231127579,151603.29387038192,Algona
62,Total Gaseous HCs,medium,0.0025862398693733,10160.060865906504,Algona
63,VOCs,heavy,0.0013901238052675,12880.892036170062,Algona
64,VOCs,light,0.0067495306452789,151603.29387038192,Algona
65,VOCs,medium,0.0010975253477979,10160.060865906504,Algona
0,Atmospheric CO2,heavy,130.37208258477142,76059.31995094802,Auburn
1,Atmospheric CO2,light,668.2751847016796,1979001.367493691,Auburn
2,Atmospheric CO2,medium,53.166414815295774,87469.58240379208,Auburn
3,CO,heavy,0.2103868169752074,76059.31995094802,Auburn
4,CO,light,4.873452600427041,1979001.367493691,Auburn
5,CO,medium,0.4379971669739416,87469.58240379208,Auburn
6,CO2 Equivalent,heavy,130.8265870822073,76059.31995094802,Auburn
7,CO2 Equivalent,light,672.3337654763858,1979001.367493691,Auburn
8,CO2 Equivalent,medium,54.31031058913144,87469.58240379208,Auburn
9,Composite NonECPM,heavy,0.0013583826390714,76059.31995094802,Auburn
10,Composite NonECPM,light,0.0042078628248177,1979001.367493691,Auburn
11,Composite NonECPM,medium,0.0007848603615564,87469.58240379208,Auburn
12,Elemental Carbon,heavy,0.0030576213534329,76059.31995094802,Auburn
13,Elemental Carbon,light,0.0062894006562895,1979001.367493691,Auburn
14,Elemental Carbon,medium,0.0008757549324963,87469.58240379208,Auburn
15,H20 Aerosol,heavy,0.0,76059.31995094802,Auburn
16,H20 Aerosol,light,0.0,1979001.367493691,Auburn
17,H20 Aerosol,medium,0.0,87469.58240379208,Auburn
18,Methane,heavy,0.0152144065200396,76059.31995094802,Auburn
19,Methane,light,0.035215612506695,1979001.367493691,Auburn
20,Methane,medium,0.0174340065141123,87469.58240379208,Auburn
21,N20,heavy,0.0002481459242033,76059.31995094802,Auburn
22,N20,light,0.010665689476761,1979001.367493691,Auburn
23,N20,medium,0.0023760147541256,87469.58240379208,Auburn
24,NOx,heavy,0.3511959860120432,76059.31995094802,Auburn
25,NOx,light,0.2829120867662525,1979001.367493691,Auburn
26,NOx,medium,0.0679100673142022,87469.58240379208,Auburn
27,Non-methane HCs,heavy,0.0077973056906363,76059.31995094802,Auburn
28,Non-methane HCs,light,0.2041435908726047,1979001.367493691,Auburn
29,Non-methane HCs,medium,0.038505135091767,87469.58240379208,Auburn
30,PM10 Brakewear,heavy,0.0,76059.31995094802,Auburn
31,PM10 Brakewear,light,0.0,1979001.367493691,Auburn
32,PM10 Brakewear,medium,0.0,87469.58240379208,Auburn
33,PM10 Exhaust,heavy,0.0048002783859795,76059.31995094802,Auburn
34,PM10 Exhaust,light,0.0118466308864683,1979001.367493691,Auburn
35,PM10 Exhaust,medium,0.0018655074933673,87469.58240379208,Auburn
36,PM10 Tirewear,heavy,0.0,76059.31995094802,Auburn
37,PM10 Tirewear,light,0.0,1979001.367493691,Auburn
38,PM10 Tirewear,medium,0.0,87469.58240379208,Auburn
39,PM10 Total,heavy,0.0216805242549181,228177.95985284404,Auburn
40,PM10 Total,light,0.1135931091049031,5937004.102481074,Auburn
41,PM10 Total,medium,0.0083127037512784,262408.74721137626,Auburn
42,PM25 Brakewear,heavy,0.0,76059.31995094802,Auburn
43,PM25 Brakewear,light,0.0,1979001.367493691,Auburn
44,PM25 Brakewear,medium,0.0,87469.58240379208,Auburn
45,PM25 Exhaust,heavy,0.0044160029817297,76059.31995094802,Auburn
46,PM25 Exhaust,light,0.0104972624303548,1979001.367493691,Auburn
47,PM25 Exhaust,medium,0.001660614419045,87469.58240379208,Auburn
48,PM25 Tirewear,heavy,0.0,76059.31995094802,Auburn
49,PM25 Tirewear,light,0.0,1979001.367493691,Auburn
50,PM25 Tirewear,medium,0.0,87469.58240379208,Auburn
51,PM25 Total,heavy,0.0065958876625015,228177.95985284404,Auburn
52,PM25 Total,light,0.0237808032429697,5937004.102481074,Auburn
53,PM25 Total,medium,0.0024964170173169,262408.74721137626,Auburn
54,Sulfate Particulate,heavy,0.0007229537408208,76059.31995094802,Auburn
