,pollutantID,pollutant_name,veh_type,intrazonal_vmt,interzonal_vmt,daily_vmt_total,intrazonal_tons,interzonal_tons,running_daily_tons
0,1,Total Gaseous HCs,heavy,1275.4571426111136,90396.60736137345,91672.06450398455,0.0009101022427778364,0.022434982866984234,0.02334508510976207
1,1,Total Gaseous HCs,light,440918.910192822,4048891.2928325357,4489810.203025358,0.04501254440243495,0.2406145639083798,0.2856271083108147
2,1,Total Gaseous HCs,medium,1602.5453407148143,144970.66430016837,146573.20964088317,0.0014223827315038818,0.048220772261438796,0.04964315499294268
3,1,Total Gaseous HCs,transit,0.0,5764.454425353555,5764.454425353555,0.0,0.013349877732786314,0.013349877732786314
4,2,CO,heavy,1275.4571426111136,90396.60736137345,91672.06450398455,0.007733959077844402,0.2176449338095048,0.22537889288734922
5,2,CO,light,440918.910192822,4048891.2928325357,4489810.203025358,1.9979982012490327,11.473721496856141,13.471719698105174
6,2,CO,medium,1602.5453407148143,144970.66430016837,146573.20964088317,0.0070899016662659825,0.41067770809382365,0.41776760976008964
7,2,CO,transit,0.0,5764.454425353555,5764.454425353555,0.0,0.047128114807508385,0.047128114807508385
8,3,NOx,heavy,1275.4571426111136,90396.60736137345,91672.06450398455,0.016013297708112256,0.5014041557330301,0.5174174534411423
9,3,NOx,light,440918.910192822,4048891.2928325357,4489810.203025358,0.14106488848294485,0.983394388997925,1.1244592774808697
10,3,NOx,medium,1602.5453407148143,144970.66430016837,146573.20964088317,0.004303599467372637,0.18074145085918863,0.18504505032656127
11,3,NOx,transit,0.0,5764.454425353555,5764.454425353555,0.0,0.016695045316344265,0.016695045316344265
12,5,Methane,heavy,1275.4571426111136,90396.60736137345,91672.06450398455,0.0004210952721017038,0.008032160247164893,0.008453255519266597
13,5,Methane,light,440918.910192822,4048891.2928325357,4489810.203025358,0.008467244722247443,0.04614382309255919,0.05461106781480663
14,5,Methane,medium,1602.5453407148143,144970.66430016837,146573.20964088317,0.000986774615523839,0.03290891825700046,0.033895692872524294
15,5,Methane,transit,0.0,5764.454425353555,5764.454425353555,0.0,0.012234450103217238,0.012234450103217238
16,6,N20,heavy,1275.4571426111136,90396.60736137345,91672.06450398455,0.00035295721525821337,0.016874172282906257,0.017227129498164472
17,6,N20,light,440918.910192822,4048891.2928325357,4489810.203025358,0.003541160431126454,0.017733785551919297,0.021274945983045752
18,6,N20,medium,1602.5453407148143,144970.66430016837,146573.20964088317,0.00017450553058429887,0.011011610346822838,0.011186115877407136
19,6,N20,transit,0.0,5764.454425353555,5764.454425353555,0.0,0.0008773618289321,0.0008773618289321
20,79,Non-methane HCs,heavy,1275.4571426111136,90396.60736137345,91672.06450398455,0.0004890069706761326,0.014402830618093993,0.014891837588770126
21,79,Non-methane HCs,light,440918.910192822,4048891.2928325357,4489810.203025358,0.03654529497871562,0.19447072795477174,0.23101602293348736
22,79,Non-methane HCs,medium,1602.5453407148143,144970.66430016837,146573.20964088317,0.00043560784052947167,0.015311835401682362,0.015747443242211834
23,79,Non-methane HCs,transit,0.0,5764.454425353555,5764.454425353555,0.0,0.001115445544004395,0.001115445544004395
24,87,VOCs,heavy,1275.4571426111136,90396.60736137345,91672.06450398455,0.0005438981479475826,0.016172512542733372,0.016716410690680954
25,87,VOCs,light,440918.910192822,4048891.2928325357,4489810.203025358,0.03843210612421362,0.20435979511757266,0.2427919012417863
26,87,VOCs,medium,1602.5453407148143,144970.66430016837,146573.20964088317,0.000463725948978322,0.016452748460888032,0.016916474409866353
27,87,VOCs,transit,0.0,5764.454425353555,5764.454425353555,0.0,0.0011236620067518726,0.0011236620067518726
28,90,Atmospheric CO2,heavy,1275.4571426111136,90396.60736137345,91672.06450398455,3.3807380757941696,160.31451775450887,163.69525583030304
29,90,Atmospheric CO2,light,440918.910192822,4048891.2928325357,4489810.203025358,246.56796446067506,1549.9241008291706,1796.4920652898456
30,90,Atmospheric CO2,medium,1602.5453407148143,144970.66430016837,146573.20964088317,2.2126715389812373,137.3373964140526,139.55006795303382
31,90,Atmospheric CO2,transit,0.0,5764.454425353555,5764.454425353555,0.0,10.107152297613576,10.107152297613576
32,91,Total Energy,heavy,1275.4571426111136,90396.60736137345,91672.06450398455,45657.11757634707,2164755.5015674587,2210412.619143806
33,91,Total Energy,light,440918.910192822,4048891.2928325357,4489810.203025358,3408692.3276307243,21487217.070963964,24895909.39859469
34,91,Total Energy,medium,1602.5453407148143,144970.66430016837,146573.20964088317,30231.966012267774,1873399.0178754835,1903630.9838877514
35,91,Total Energy,transit,0.0,5764.454425353555,5764.454425353555,0.0,141147.51289505884,141147.51289505884
36,98,CO2 Equivalent,heavy,1275.4571426111136,90396.60736137345,91672.06450398455,3.4964479238921236,165.54388139561087,169.040329319503
37,98,CO2 Equivalent,light,440918.910192822,4048891.2928325357,4489810.203025358,247.8348708175682,1556.362387271409,1804.1972580889772
38,98,CO2 Equivalent,medium,1602.5453407148143,144970.66430016837,146573.20964088317,2.2893378688404757,141.44157095570387,143.73090882454434
39,98,CO2 Equivalent,transit,0.0,5764.454425353555,5764.454425353555,0.0,10.674468799083346,10.674468799083346
40,100,PM10 Exhaust,heavy,1275.4571426111136,90396.60736137345,91672.06450398455,0.0003592376027606868,0.011413644638066154,0.011772882240826841
41,100,PM10 Exhaust,light,440918.910192822,4048891.2928325357,4489810.203025358,0.004171661697391644,0.022322179762590197,0.02649384145998184
42,100,PM10 Exhaust,medium,1602.5453407148143,144970.66430016837,146573.20964088317,9.890220143789427e-05,0.004838559625679807,0.004937461827117701
